,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
12,Academy Of Math And Science (Tucson),Charter,1557 W Prince Rd.,Tucson,Pima,85705.0,N,69,98.60%,98.60%,98.60%,98.60%,98.60%,1.40%,1.40%,1.40%,1.40%,1.40%,2015
13,Academy Of Tucson Elementary School,Charter,9209 E. Wrightstown Rd.,Tucson,Pima,85715.0,N,64,95.30%,100%,96.90%,100%,96.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
14,Accelerated Learning Laboratory,Charter,5245 N Camino De Oeste,Tucson,Pima,85745.0,N,<20,,,,,,,,,,,2015
15,Acclaim Academy,Charter,7624 W Indian School Rd.,Phoenix,Maricopa,85033.0,N,46,84.80%,82.60%,80.40%,87.00%,80.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
16,Acorn Montessori,Charter,7555 E Long Look Dr.,Prescott Valley,Yavapai,86314.0,N,64,84.40%,89.10%,84.40%,93.80%,79.70%,15.60%,10.90%,15.60%,6.30%,6.30%,2015
17,Adams Elementary School,Public,738 S Longmore Ave. ,Mesa,Maricopa,85202.0,Y,114,96.50%,99.10%,98.20%,99.10%,93.00%,0.90%,0.90%,1.80%,0.00%,0.00%,2015
18,Adams Traditional Academy,Charter,2323 W. Parkside Ln.,Phoenix,Maricopa,85027.0,N,140,91.40%,91.40%,91.40%,91.40%,72.10%,8.60%,8.60%,8.60%,8.60%,8.60%,2015
19,Adobe Montessori School Kindergarten,Private,64000 West Del Rio St.,Chandler,Maricopa,85226.0,N,<20,,,,,,,,,,,2015
20,Advance U,Charter,449 E Southern Ave.,Phoenix,Maricopa,85040.0,N,24,75.00%,87.50%,79.20%,95.80%,54.20%,25.00%,12.50%,20.80%,4.20%,16.70%,2015
21,Adventure School,Charter,5757 E. Pima St.,Tucson,Pima,85711.0,N,24,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
22,Agua Caliente Elementary School,Public,11420 E Limberlost Rd.,Tucson,Pima,85749.0,Y,58,94.80%,94.80%,94.80%,94.80%,82.80%,5.20%,5.20%,5.20%,5.20%,1.70%,2015
23,Aguila Elementary School (Aguila),Public,50023 N 514th  Ave.,Aguila,Maricopa,85320.0,N,<20,,,,,,,,,,,2015
24,Aguilar Elementary  School (Tempe),Public,5800 S Forest Ave. ,Tempe,Maricopa,85283.0,Y,73,95.90%,97.30%,97.30%,98.60%,93.20%,4.10%,2.70%,2.70%,1.40%,1.40%,2015
25,Ahwatukee Foothills Montessori,Private,3221 E Chandler Blvd.,Phoenix,Maricopa,85048.0,N,<20,,,,,,,,,,,2015
26,Aire Libre Elementary School,Public,16428 N 21 St.,Phoenix,Maricopa,85022.0,Y,47,93.60%,95.70%,95.70%,91.50%,93.60%,4.30%,4.30%,4.30%,4.30%,0.00%,2015
27,Ajo Elementary School,Public,111 Well Rd.,Ajo,Pima,85321.0,N,37,94.60%,94.60%,83.80%,94.60%,75.70%,0.00%,5.40%,16.20%,5.40%,0.00%,2015
28,Aldea Montessori,Private,15369 N. 40th St.,Phoenix,Maricopa,85032.0,N,<20,,,,,,,,,,,2015
29,Alfred F Garcia School,Public,1441 S. 27th Ave.,Phoenix,Maricopa,85009.0,Y,54,98.10%,98.10%,98.10%,98.10%,94.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
30,Alhambra Traditional School,Public,3736 W. Osborn Rd.,Phoenix,Maricopa,85019.0,Y,96,96.90%,100%,95.80%,94.80%,96.90%,3.10%,0.00%,3.10%,5.20%,3.10%,2015
31,Alice Byrne Elementary,Public,811 W 16th St.,Yuma,Yuma,85364.0,Y,46,97.80%,97.80%,97.80%,97.80%,95.70%,2.20%,2.20%,2.20%,2.20%,2.20%,2015
32,All Aboard Charter School,Charter,5827 N 35th Ave.,Phoenix,Maricopa,85017.0,N,22,100%,100%,100%,100%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
33,All Saints Catholic School,Private,1425 Yaqui St.,Sierra Vista,Cochise,85650.0,N,<20,,,,,,,,,,,2015
34,All Saints Episcopal Day School,Private,6300 N Central Ave.,Phoenix,Maricopa,85012.0,Y,38,97.40%,97.40%,97.40%,94.70%,92.10%,2.60%,2.60%,2.60%,5.30%,2.60%,2015
35,Alpine Elementary School,Public,P.O. Box 170,Alpine,Apache,85920.0,N,<20,,,,,,,,,,,2015
36,Alta E Butler School,Public,3843 W Roosevelt St. ,Phoenix,Maricopa,85009.0,N,121,92.60%,95.00%,96.70%,98.30%,89.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
37,Alta Loma School,Public,9750 N 87th Ave.,Peoria,Maricopa,85345.0,Y,62,96.80%,93.50%,98.40%,98.40%,91.90%,1.60%,1.60%,1.60%,1.60%,1.60%,2015
38,Alta Vista Elementary School,Public,8710 N 31st Ave.,Phoenix,Maricopa,85051.0,Y,92,97.80%,98.90%,98.90%,95.70%,94.60%,0.00%,0.00%,0.00%,1.10%,1.10%,2015
39,Ambassador Academy,Charter,3820 E Ray Rd.,Phoenix,Maricopa,85044.0,N,<20,,,,,,,,,,,2015
40,Amberlea Elementary,Public,8455 W. Virginia Ave.,Phoenix,Maricopa,85037.0,N,93,100%,98.90%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
41,American Heritage Academy - Camp Verde,Charter,132 General Crook Trl.,Camp Verde,Yavapai,86322.0,N,<20,,,,,,,,,,,2015
42,American Heritage Academy- Cottonwood,Charter,2030 E. Cherry St.,Cottonwood,Yavapai,86326.0,N,<20,,,,,,,,,,,2015
43,American Leadership Academy - Anthem South Campus,Charter,4380 N Hunt Hwy,Florence,Pinal,85312.0,N,63,87.30%,88.90%,87.30%,92.10%,69.80%,12.70%,11.10%,12.70%,7.90%,7.90%,2015
44,American Leadership Academy - Gilbert Campus,Charter,3155 S Santan Village Pkwy,Gilbert,Maricopa,85295.0,N,115,81.70%,81.70%,83.50%,87.00%,65.20%,18.30%,18.30%,16.50%,13.00%,13.90%,2015
45,American Leadership Academy - Ironwood Elementary Campus,Charter,650 W Combs Rd.,Queen Creek,Maricopa,85140.0,N,86,83.70%,87.20%,83.70%,87.20%,73.30%,15.10%,12.80%,16.30%,11.60%,9.30%,2015
46,American Leadership Academy - Mesa Campus,Charter,4507 S Mountain Rd.,Mesa,Maricopa,85212.0,N,78,88.50%,88.50%,88.50%,88.50%,65.40%,11.50%,11.50%,11.50%,11.50%,7.70%,2015
47,American Leadership Academy - Queen Creek Elementary,Charter,19843 E Chandler Heights Rd.,Queen Creek,Maricopa,85142.0,N,73,82.20%,86.30%,89.00%,89.00%,65.80%,16.40%,13.70%,11.00%,9.60%,6.80%,2015
48,American Leadership Academy - San Tan Valley Campus,Charter,34696 N Village Ln.,San Tan Valley,Pinal,85142.0,N,96,90.60%,91.70%,91.70%,93.80%,80.20%,9.40%,8.30%,8.30%,6.30%,5.20%,2015
49,Amerischools Academy - Camelback Campus,Charter,1333 West Camelback Rd.,Phoenix,Maricopa,85013.0,N,28,96.40%,92.90%,92.90%,96.40%,92.90%,3.60%,3.60%,3.60%,3.60%,3.60%,2015
50,Amerischools Academy - North Campus,Charter,1220 S. 4th Ave.,Yuma,Yuma,85364.0,N,43,97.70%,97.70%,97.70%,97.70%,97.70%,2.30%,2.30%,2.30%,2.30%,2.30%,2015
51,Amerischools Academy - Tucson Campus,Charter,1150 N. Country Club Rd. ,Tucson,Pima,85716.0,N,<20,,,,,,,,,,,2015
52,Amerischools Academy - Yuma South Campus,Charter,2098 S 3rd Ave,Yuma,Yuma,85364.0,N,47,91.50%,89.40%,89.40%,87.20%,83.00%,8.50%,10.60%,8.50%,6.40%,6.40%,2015
53,Amy L. Houston Academy,Public,7139 S 10th St.,Phoenix,Maricopa,85042.0,Y,<20,,,,,,,,,,,2015
54,Anasazi Elementary School,Public,12121 N 124th St.,Scottsdale,Maricopa,85259.0,Y,78,88.50%,89.70%,89.70%,89.70%,85.90%,6.40%,7.70%,6.40%,9.00%,7.70%,2015
55,Anna Marie Jacebsen Elementary School,Public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248.0,N,95,95.80%,98.90%,95.80%,98.90%,98.90%,3.20%,1.10%,3.20%,1.10%,1.10%,2015
56,Annie Kellond Elementary School,Public,6606 E Lehigh Dr.,Tucson,Pima,85710.0,N,60,93.30%,95.00%,96.70%,96.70%,93.30%,1.70%,1.70%,1.70%,0.00%,0.00%,2015
57,Annunciation Catholic School,Private,32648 N Cave Creek Rd.,Cave Creek,Maricopa,85331.0,Y,<20,,,,,,,,,,,2015
58,Anthem Elementary School (Florence),Public,2700 N Anthem Way,Florence,Pinal,85232.0,N,69,91.30%,95.70%,92.80%,94.20%,88.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
59,Anthem Preparatory Academy,Charter,39808 N Gavilan Peak Pkwy,Anthem,Maricopa,85086.0,N,57,86.00%,89.50%,82.50%,91.20%,63.20%,8.80%,8.80%,8.80%,8.80%,8.80%,2015
60,Anthem School (Anthem),Public,41020 N Freedmon Way,Anthem,Maricopa,85086.0,Y,68,89.70%,89.70%,83.80%,85.30%,67.60%,10.30%,10.30%,11.80%,10.30%,10.30%,2015
61,Anza Trail Elementary,Public,15490 S Rancho Sahuarita Blvd.,Sahuarita,Pima,85629.0,N,117,90.60%,84.60%,88.90%,94.00%,61.50%,3.40%,3.40%,3.40%,3.40%,3.40%,2015
62,Apache Elementary School (Douglas),Public,P.O. Drawer 1119,Douglas,Cochise,85608.0,N,<20,,,,,,,,,,,2015
63,Apache Elementary School (Peoria),Public,8633 W John Cabot Rd.,Peoria,Maricopa,85382.0,Y,55,92.70%,92.70%,92.70%,92.70%,72.70%,7.30%,7.30%,7.30%,7.30%,0.00%,2015
64,Arcadia Montessori School,Private,5115 East Virginia Ave.,Phoenix,Maricopa,85008.0,N,<20,,,,,,,,,,,2015
65,Arcadia Neighborhood Learning Center,Public,4330 N 62nd St.,Scottsdale,Maricopa,85251.0,Y,41,85.40%,85.40%,85.40%,85.40%,78.00%,14.60%,14.60%,14.60%,12.20%,12.20%,2015
66,Archway Classical Academy - Chandler,Charter,1951 N Alma School Rd.,Chandler,Maricopa,85225.0,N,85,90.60%,90.60%,88.20%,89.40%,77.60%,9.40%,9.40%,11.80%,10.60%,8.20%,2015
67,Archway Classical Academy - Cicero,Charter,7205 N Pima Rd.,Scottsdale,Maricopa,85250.0,N,84,89.30%,91.70%,89.30%,83.30%,71.40%,10.70%,8.30%,10.70%,16.70%,4.80%,2015
68,Archway Classical Academy - North Phoenix,Charter,13613 N Cave Creek Rd. Building C,Phoenix,Maricopa,85022.0,N,87,88.50%,87.40%,83.90%,87.40%,75.90%,11.50%,12.60%,16.10%,12.60%,11.50%,2015
69,Archway Classical Academy - Scottsdale,Charter,7496 E. Tierra Buena Ln.,Scottsdale,Maricopa,85260.0,Y,90,95.60%,93.30%,91.10%,88.90%,88.90%,4.40%,6.70%,8.90%,11.10%,3.30%,2015
70,Archway Classical Academy - Trivium,Charter,14130 W Mcdowell Rd.,Goodyear,Maricopa,85395.0,N,81,97.50%,97.50%,97.50%,96.30%,84.00%,2.50%,2.50%,2.50%,3.70%,4.90%,2015
71,Archway Classical Academy - Trivium West,Charter,2001 N Bullard Ave.,Goodyear,Maricopa,85395.0,N,84,94.00%,94.00%,94.00%,92.90%,86.90%,6.00%,6.00%,6.00%,7.10%,4.80%,2015
72,Archway Classical Academy - Veritas,Charter,3102 N 56th St.,Phoenix,Maricopa,85018.0,Y,89,83.10%,82.00%,83.10%,88.80%,75.30%,16.90%,18.00%,16.90%,11.20%,11.20%,2015
73,Archway Classical Academy- Arete,Charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234.0,Y,87,89.70%,88.50%,88.50%,87.40%,75.90%,10.30%,11.50%,11.50%,12.60%,10.30%,2015
74,Archway Classical Academy Glendale,Charter,23276 N 83rd Ave.,Peoria,Maricopa,85383.0,Y,86,87.20%,86.00%,86.00%,88.40%,81.40%,12.80%,14.00%,14.00%,11.60%,8.10%,2015
75,Archway Classical Academy- Lincoln,Charter,2250 S Gilbert Rd.,Chandler,Maricopa,85286.0,Y,90,93.30%,96.70%,92.20%,95.60%,74.40%,6.70%,3.30%,7.80%,3.30%,4.40%,2015
76,Arizona Academy Of Science And Technology,Charter,P.O. Box 13606,Phoenix,Maricopa,85002.0,N,<20,,,,,,,,,,,2015
77,Arizona Autism Charter School,Public,4433 North 7th St.,Phoenix,Maricopa,85014.0,N,<20,,,,,,,,,,,2015
78,Arizona Charter Academy,Charter,16011 N Dysart Rd.,Surprise,Maricopa,85378.0,N,75,93.30%,96.00%,93.30%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
79,Arizona Connections Academy,Charter,"335 E. Germann Rd., Suite 140",Gilbert,Maricopa,85297.0,N,69,82.60%,79.70%,79.70%,84.10%,75.40%,17.40%,18.80%,18.80%,15.90%,14.50%,2015
80,Arizona Conservatory For Arts And Academics Elementary,Charter,16454 N 28th Ave.,Phoenix,Maricopa,85053.0,N,55,81.80%,83.60%,81.80%,83.60%,74.50%,18.20%,16.40%,18.20%,16.40%,16.40%,2015
81,Arizona Cultural Academy,Private,7810 S 42nd Pl.,Phoenix,Maricopa,85034.0,N,25,96.00%,96.00%,92.00%,96.00%,80.00%,4.00%,4.00%,8.00%,4.00%,4.00%,2015
82,Arizona Desert Elementary School (San Luis),Public,P.O. Box 6870,San Luis,Yuma,85349.0,Y,82,100%,100%,100%,100%,90.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
83,Arizona Desert Elementary School (Tolleson),Public,8803 W Van Buren St.,Tolleson,Maricopa,85353.0,N,79,98.70%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
84,Arizona Language Preparatory,Charter,4645 E Marilyn Rd.,Phoenix,Maricopa,85032.0,N,<20,,,,,,,,,,,2015
85,Arizona School For The Deaf And Blind Tucson Campus,Public,1200 W Speedway Blvd. ,Tucson,Pima,85754.0,Y,<20,,,,,,,,,,,2015
86,Arlington Elementary School,Public,P.O. Box 39,Arlington,Maricopa,85322.0,N,<20,,,,,,,,,,,2015
87,Arredondo Elementary School,Public,1330 E Carson Dr.,Tempe,Maricopa,85282.0,Y,44,95.50%,95.50%,100%,97.70%,97.70%,0.00%,0.00%,0.00%,0.00%,2.30%,2015
88,Arrowhead Christian Academy,Private,4030 W. Yorkshire Dr. ,Glendale,Maricopa,85308.0,N,<20,,,,,,,,,,,2015
89,Arrowhead Elementary School (Glendale),Public,7490 W. Union Hills Dr.,Glendale,Maricopa,85308.0,Y,102,95.10%,95.10%,96.10%,95.10%,89.20%,4.90%,4.90%,3.90%,4.90%,3.90%,2015
90,Arrowhead Elementary School (Phoenix),Public,3820 E Nisbet Rd. ,Phoenix,Maricopa,85032.0,Y,52,92.30%,96.20%,94.20%,98.10%,88.50%,3.80%,3.80%,3.80%,1.90%,3.80%,2015
91,Arroyo School,Public,4535 W Cholla St. ,Glendale,Maricopa,85304.0,N,39,97.40%,97.40%,97.40%,97.40%,89.70%,2.60%,2.60%,2.60%,2.60%,0.00%,2015
92,Arthur M. Hamilton School,Public,2020 W. Durango St.,Phoenix,Maricopa,85009.0,N,23,95.70%,95.70%,100%,95.70%,95.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
93,Arts Academy At Estrella Mountain,Charter,2504 S 91st Ave.,Tolleson,Maricopa,85353.0,N,120,95.00%,95.80%,95.80%,99.20%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
94,Ascension Lutheran School,Private,1220 W Magee Rd.,Tucson,Pima,85704.0,N,<20,,,,,,,,,,,2015
95,Ash Creek Elementary,Public,6460 Ehwy 181,Pearce,Cochise,86525.0,N,<20,,,,,,,,,,,2015
96,Ash Fork Joint Unified,Public,P.O. Box 247,Ash Fork,Yavapai,86320.0,Y,<20,,,,,,,,,,,2015
97,Ashland Ranch Elementary,Public,1945 South Ashland Ranch Rd.,Gilbert,Maricopa,85295.0,Y,107,96.30%,95.30%,95.30%,97.20%,73.80%,3.70%,4.70%,4.70%,2.80%,2.80%,2015
98,Ashton Ranch,Public,14898 W Acoma Dr. ,Surprise,Maricopa,85379.0,Y,65,90.80%,95.40%,92.30%,93.80%,75.40%,7.70%,4.60%,7.70%,4.60%,0.00%,2015
99,ASU Preparatory Academy,Charter,735 EaSt. Filmore St.,Phoenix,Maricopa,85006.0,Y,75,96.00%,96.00%,96.00%,96.00%,85.30%,4.00%,4.00%,4.00%,4.00%,4.00%,2015
100,ASU Preparatory Academy Polytechnic Elementary,Charter,6950 E. William's Field Rd.,Mesa,Maricopa,85212.0,N,75,97.30%,97.30%,97.30%,98.70%,89.30%,2.70%,2.70%,2.70%,1.30%,0.00%,2015
101,Athos Traditional Academy,Charter,3201 S Gilbert Rd.,Chandler,Maricopa,85286.0,N,139,92.10%,92.10%,92.80%,91.40%,84.90%,7.90%,7.90%,7.20%,8.60%,7.20%,2015
102,Atonement Lutheran School,Private,4001 W. Beardsley Rd.,Glendale,Maricopa,85308.0,N,<20,,,,,,,,,,,2015
103,Audrey And Robert Ryan Elementary,Public,4600 S Bright Angel Way,Chandler,Maricopa,85249.0,N,73,94.50%,95.90%,94.50%,94.50%,94.50%,5.50%,4.10%,5.50%,5.50%,5.50%,2015
104,Augusta Ranch Elementary,Public,9430 E. Neville Ave.,Mesa,Maricopa,85209.0,Y,104,92.30%,92.30%,92.30%,91.30%,77.90%,7.70%,7.70%,7.70%,8.70%,7.70%,2015
105,Augustus H Shaw Jr School,Public,123 N 13th St.,Phoenix,Maricopa,85034.0,Y,55,83.60%,83.60%,83.60%,85.50%,83.60%,16.40%,16.40%,16.40%,14.50%,14.50%,2015
106,Avalon Elementary,Charter,1045 S. San Marcos Dr. ,Apache Junction,Pinal,85120.0,N,58,82.80%,86.20%,82.80%,87.90%,70.70%,17.20%,13.80%,17.20%,12.10%,0.00%,2015
107,Awakening Seed School,Private,6630 S 40th St.,Phoenix,Maricopa,85042.0,N,<20,,,,,,,,,,,2015
108,Bagdad School,Public,515 Breezy Circle,Bagdad,Yavapai,86321.0,N,38,97.40%,97.40%,97.40%,100%,94.70%,2.60%,2.60%,2.60%,0.00%,0.00%,2015
109,Bales Elementary School,Public,25400 W Maricopa Rd.,Buckeye,Maricopa,85326.0,N,96,95.80%,96.90%,96.90%,95.80%,84.40%,2.10%,2.10%,1.00%,1.00%,0.00%,2015
110,Balsz Elementary School,Public,4309 E. Belleview St. ,Phoenix,Maricopa,85008.0,Y,85,97.60%,100%,100%,100%,98.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
111,Barbara B. Robey Elementary,Public,5340 Wigwam Creek Blvd.,Pitchfield Park,Maricopa,85340.0,Y,123,98.40%,98.40%,98.40%,98.40%,98.40%,1.60%,1.60%,1.60%,1.60%,1.60%,2015
112,Barbara Bush Elementary School,Public,4925 E Ingram St. ,Mesa,Maricopa,85205.0,Y,68,92.60%,92.60%,92.60%,91.20%,82.40%,7.40%,7.40%,7.40%,8.80%,1.50%,2015
113,Basha Elementary,Public,3535 S Basha Rd.,Chandler,Maricopa,85248.0,N,105,100%,100%,100%,100%,66.70%,0.00%,0.00%,0.00%,0.00%,3.80%,2015
114,Basis - Goodyear Primary,Charter,15800 W. Sherman St.,Goodyear,Maricopa,85338.0,N,89,86.50%,92.10%,91.00%,92.10%,86.50%,13.50%,7.90%,9.00%,7.90%,6.70%,2015
115,Basis - Oro Valley Primary,Charter,11129 North Oracle Rd.,Oro Valley,Pima,85737.0,N,126,97.60%,96.80%,96.80%,96.80%,92.90%,2.40%,3.20%,3.20%,3.20%,2.40%,2015
116,Basis - Phoenix Central,Charter,201 E Indianola Ave.,Phoenix,Maricopa,85012.0,N,144,92.40%,93.10%,92.40%,92.40%,84.70%,7.60%,6.90%,7.60%,7.60%,5.60%,2015
117,Basis - Prescott,Charter,1901 Prescott Lakes Pkwy,Prescott,Yavapai,86301.0,N,53,75.50%,75.50%,71.70%,84.90%,60.40%,24.50%,24.50%,28.30%,15.10%,17.00%,2015
118,Basis - Scottsdale Primary,Charter,7214 E Jenan Dr. ,Scottsdale,Maricopa,85260.0,N,56,96.40%,96.40%,96.40%,94.60%,91.10%,3.60%,3.60%,3.60%,5.40%,3.60%,2015
119,Basis - Tucson Middle School,Charter,3825 E 2nd St.,Tucson,Pima,85716.0,N,161,95.00%,93.80%,94.40%,95.70%,89.40%,5.00%,6.20%,5.60%,4.30%,4.30%,2015
120,Basis Chandler Primary School,Charter,204 W Chandler Heights Rd.,Chandler,Maricopa,85248.0,N,64,96.90%,95.30%,96.90%,96.90%,95.30%,3.10%,4.70%,3.10%,3.10%,3.10%,2015
121,Bayer Private School,Private,23555 N. 67th Ave.,Glendale,Maricopa,85310.0,Y,21,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
122,Beautiful Savior Academy,Private,P.O. Box 90925,Tucson,Pima,85752.0,N,<20,,,,,,,,,,,2015
123,Beaver Creek School,Public,4810 East Beaver Creek Rd.,Rimrock,Yavapai,86335.0,N,32,78.10%,75.00%,78.10%,96.90%,81.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
124,Beaver Dam Elementary,Public,3436 E. Rio Virgin Rd.,Beaver Dam,Mohave,86432.0,N,37,91.90%,91.90%,91.90%,91.90%,81.10%,8.10%,8.10%,8.10%,8.10%,8.10%,2015
125,Bella Vista Elementary School,Public,801 N Lenzner Ave.,Sierra Vista,Cochise,85635.0,Y,48,93.80%,95.80%,93.80%,95.80%,83.30%,4.20%,4.20%,4.20%,4.20%,0.00%,2015
126,Bellair Elementary School,Public,4701 W Grovers Ave. ,Glendale,Maricopa,85308.0,Y,63,90.50%,90.50%,92.10%,92.10%,88.90%,7.90%,7.90%,6.30%,7.90%,4.80%,2015
127,Benchmark School,Charter,4120 E. Acoma Dr.,Phoenix,Maricopa,85032.0,N,60,95.00%,96.70%,85.00%,95.00%,75.00%,3.30%,3.30%,3.30%,3.30%,3.30%,2015
128,Benjamin Franklin Charter School - Gilbert,Charter,1475 S Val Vista Dr. ,Gilbert,Maricopa,85296.0,Y,83,86.70%,86.70%,88.00%,86.70%,80.70%,13.30%,13.30%,12.00%,13.30%,10.80%,2015
129,Benjamin Franklin Charter School - Power,Charter,22951 S Power Rd.,Queen Creek,Maricopa,85142.0,Y,92,77.20%,79.30%,76.10%,82.60%,58.70%,22.80%,20.70%,23.90%,17.40%,14.10%,2015
130,Benjamin Franklin Charter School - Queen,Charter,22120 Queen Creek Rd.,Queen Creek,Maricopa,85142.0,Y,110,80.90%,80.90%,81.80%,82.70%,75.50%,19.10%,19.10%,18.20%,17.30%,17.30%,2015
131,Bennett Academy,Charter,2930 W Bethany Home Rd.,Phoenix,Maricopa,85017.0,N,22,95.50%,95.50%,100%,100%,77.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
132,Bennette Academy Venture Site,Charter,1535 W Dunlap Ave.,Phoenix,Maricopa,85021.0,N,22,77.30%,81.80%,68.20%,81.80%,59.10%,9.10%,13.60%,13.60%,13.60%,13.60%,2015
133,Benson Unified School,Public,360 S Patagonia St.,Benson,Cochise,85602.0,Y,73,97.30%,97.30%,91.80%,90.40%,86.30%,2.70%,2.70%,8.20%,8.20%,5.50%,2015
134,Bernard Black Elementary,Public,6550 S 27th Ave.,Phoenix,Maricopa,85041.0,Y,96,99.00%,99.00%,99.00%,100%,94.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
135,Bethany Christian School,Private,6304 S. Price Rd.,Tempe,Maricopa,85283.0,Y,<20,,,,,,,,,,,2015
136,Big Park Community School,Public,25 W Saddlehorn Ct.,Sedona,Yavapai,86351.0,N,23,95.70%,95.70%,95.70%,95.70%,91.30%,4.30%,4.30%,4.30%,4.30%,4.30%,2015
137,Biltmore Prep,Public,4601 N 34th St.,Phoenix,Maricopa,85018.0,Y,104,100%,100%,100%,100%,71.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
138,Black Mountain Elementary School (Cave Creek),Public,33016 N 60th St.,Cave Creek,Maricopa,85327.0,Y,40,97.50%,92.50%,92.50%,92.50%,92.50%,2.50%,7.50%,7.50%,7.50%,7.50%,2015
139,Black Mountain Elementary School (Golden Valley),Public,3404 Santa Maria Rd.,Golden Valley,Mohave,86413.0,Y,52,92.30%,92.30%,96.20%,92.30%,57.70%,7.70%,7.70%,3.80%,7.70%,0.00%,2015
140,Black Mountain Science Academy Kindergarten,Private,21461 N 78th Ave.,Peoria,Maricopa,85382.0,N,<20,,,,,,,,,,,2015
141,Blackwater Community School,Charter,3652 E. Blackwater School Rd.,Coolidge,Pinal,85128.0,Y,61,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
142,Blake Primary School,Public,701 S Navajo Ave.,Parker,La Paz,85344.0,N,135,96.30%,97.00%,96.30%,98.50%,93.30%,0.70%,0.70%,0.70%,0.70%,0.00%,2015
143,Blenman Elementary School,Public,1695 N Country Club Rd. ,Tucson,Pima,85716.0,Y,62,98.40%,98.40%,100%,98.40%,96.80%,0.00%,0.00%,0.00%,1.60%,0.00%,2015
144,Blessed Sacrament Kindergarten And Preschool,Private,11300 N 64th St.,Scottsdale,Maricopa,85254.0,N,<20,,,,,,,,,,,2015
