SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,145,100%,0%,100%,100%,0%,100%,99%,0%,99%,99%,0%,99%,100%,0%,100%,0%,0%,0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,173,98%,2%,100%,98%,2%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,60,98%,0%,100%,100%,0%,100%,100%,0%,100%,98%,0%,98%,100%,0%,100%,0%,0%,0%
ACADEMY OF TUCSON ELEMENTARY SCHOOL,9209 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,CHARTER,37,92%,8%,100%,92%,8%,100%,92%,8%,100%,89%,11%,100%,92%,8%,100%,14%,0%,8%
ACCEL - EAST CAMPUS,1430 E BASELINE RD,TEMPE,MARICOPA,85283,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCEL - METRO CAMPUS (LATCH SCHOOL),10251 N 35TH AVE,PHOENIX,MARICOPA,85051,YES,LPN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,43,98%,2%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,2%,2%,2%
ACORN MONTESSORI CHARTER SCHOOL - WEST,7555 LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,71,76%,7%,86%,68%,7%,77%,77%,7%,87%,90%,6%,99%,92%,7%,99%,7%,0%,4%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,102,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,1%,2%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,109,91%,9%,100%,91%,9%,100%,91%,9%,100%,94%,6%,100%,93%,7%,100%,9%,0%,5%
ADOBE MONTESSORI SCHOOL,6400 W DEL RIO ST,CHANDLER,MARICOPA,85226,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADVANCE U,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,NO,,CHARTER,23,87%,9%,100%,83%,9%,100%,91%,9%,100%,78%,9%,100%,91%,9%,100%,9%,0%,9%
AFM CHANDLER MONTESSORI,5570 W CHANDLER BLVD,CHANDLER,MARICOPA,85226,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,56,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,2%,0%,0%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUILAR SCHOOL,5800 S FOREST AVE,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,95,95%,4%,100%,92%,5%,100%,95%,5%,100%,98%,2%,100%,97%,3%,100%,3%,0%,2%
AHWATUKEE FOOTHILLS MONTESSORI,3221 E CHANDLER BLVD,PHOENIX,MARICOPA,85048,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRE LIBRE ELEMENTARY SCHOOL,16428 N 21ST ST,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,44,89%,7%,100%,89%,11%,100%,84%,11%,100%,93%,5%,100%,95%,5%,100%,11%,0%,11%
AKIMEL O'OTHAM PEE POSH,4 MI E OF HWY 87 ON BLACKWAT,COOLIDGE,PINAL,85128,YES,RN,CHARTER,82,90%,0%,90%,90%,0%,90%,90%,0%,90%,99%,0%,99%,100%,0%,100%,0%,0%,0%
ALFRED F GARCIA SCHOOL,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,36,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ALHAMBRA TRADITIONAL SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,YES,LPN,PUBLIC,86,94%,2%,97%,95%,2%,98%,94%,2%,97%,97%,2%,99%,97%,2%,99%,2%,0%,2%
ALICE BYRNE ELEMENTARY SCHOOL,811 W 16TH ST,YUMA,YUMA,85364,NO,,PUBLIC,62,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,2%
ALL ABOARD CHARTER SCHOOL,5827 N 35TH AVE,PHOENIX,MARICOPA,85017,NO,,CHARTER,24,100%,0%,100%,100%,0%,100%,100%,0%,100%,96%,4%,100%,96%,4%,100%,4%,0%,0%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,21,95%,0%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,5%,5%,0%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,47,94%,6%,100%,94%,6%,100%,94%,6%,100%,91%,9%,100%,94%,6%,100%,9%,0%,6%
ALPINE ELEMENTARY SCHOOL,COUNTY RD 2052,ALPINE,APACHE,85920,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTA E BUTLER SCHOOL,3843 W ROOSEVELT RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,73,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,69,97%,1%,99%,99%,1%,100%,93%,1%,94%,99%,1%,100%,97%,1%,99%,1%,0%,1%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,103,91%,4%,100%,93%,4%,99%,96%,4%,100%,96%,3%,100%,97%,3%,100%,4%,0%,3%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,58,95%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,21,71%,24%,95%,76%,24%,100%,43%,24%,67%,71%,24%,95%,71%,24%,95%,24%,0%,24%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,121,77%,22%,99%,76%,22%,98%,74%,26%,100%,80%,20%,100%,84%,16%,100%,28%,0%,16%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,94,88%,11%,100%,89%,11%,100%,89%,11%,100%,94%,6%,100%,94%,6%,100%,12%,0%,6%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,69,90%,9%,100%,91%,7%,99%,91%,9%,100%,91%,9%,100%,96%,4%,100%,12%,0%,4%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,111,92%,8%,100%,92%,6%,98%,92%,8%,100%,95%,5%,100%,96%,4%,100%,12%,1%,5%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,72,92%,4%,99%,94%,4%,99%,93%,6%,99%,96%,4%,100%,97%,3%,100%,6%,0%,3%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,97,80%,20%,100%,80%,19%,99%,82%,18%,100%,89%,11%,100%,89%,11%,100%,21%,1%,10%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,44,84%,16%,100%,84%,16%,100%,82%,18%,100%,91%,9%,100%,95%,5%,100%,20%,0%,5%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,52,81%,19%,100%,77%,21%,100%,75%,25%,100%,81%,17%,100%,83%,17%,100%,25%,0%,13%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,82,83%,17%,100%,82%,17%,99%,83%,17%,100%,85%,15%,100%,87%,13%,100%,17%,1%,15%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,45,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,22,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
AMY L. HOUSTON ACADEMY,7139 S 10TH ST,PHOENIX,MARICOPA,85042,YES,Both,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANASAZI ELEMENTARY,12121 N 124TH ST,SCOTTSDALE,MARICOPA,85259,YES,RN,PUBLIC,46,87%,13%,100%,87%,13%,100%,87%,13%,100%,85%,13%,100%,85%,13%,98%,13%,0%,7%
ANNA HENRY ELEMENTARY SCHOOL,650 N IGO WAY,TUCSON,PIMA,85710,YES,RN,PUBLIC,55,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,98,89%,11%,100%,92%,8%,100%,89%,11%,100%,95%,5%,100%,92%,8%,100%,9%,0%,4%
ANNIE KELLOND ELEMENTARY SCHOOL,6606 E LEHIGH DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,81,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,2%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,85,92%,7%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,94%,6%,100%,7%,0%,6%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,61,89%,10%,98%,89%,10%,98%,87%,11%,98%,85%,13%,98%,92%,8%,100%,16%,2%,8%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,52,92%,8%,100%,92%,8%,100%,94%,6%,100%,96%,4%,100%,94%,6%,100%,10%,0%,6%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,98,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
APACHE ELEMENTARY SCHOOL,10482 N. SKELETON CANYON RD,PORTAL,COCHISE,85632,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,71,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
ARCADIA MONTESSORI SCHOOL,5115 E VIRGINIA AVE,PHOENIX,MARICOPA,85008,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARCADIA NEIGHBORHOOD LEARNING CENTER,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,42,93%,7%,100%,95%,5%,100%,95%,5%,100%,93%,5%,100%,95%,5%,100%,5%,2%,5%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,83,93%,7%,100%,92%,8%,100%,93%,7%,100%,95%,5%,100%,96%,4%,100%,8%,0%,4%
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,7496 E TIERRA BUENA LN,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,170,88%,12%,100%,87%,13%,100%,87%,13%,100%,87%,13%,100%,89%,11%,100%,13%,0%,7%
ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,91,95%,5%,100%,93%,7%,100%,93%,7%,100%,91%,8%,100%,95%,5%,100%,9%,0%,4%
ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY,2920 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,124,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,115,73%,25%,100%,74%,26%,100%,72%,26%,98%,75%,25%,100%,75%,25%,100%,26%,1%,26%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,26,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,78,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,73,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,5%,0%,5%
ARIZONA SCHOOL FOR THE DEAF & BLIND,1200 W SPEEDWAY BLVD,TUCSON,PIMA,85745,YES,Both,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,23,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,4%,0%
ARREDONDO ELEMENTARY SCHOOL,1330 E CARSON DRIVE,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,76,92%,4%,100%,95%,3%,100%,96%,4%,100%,95%,4%,100%,99%,1%,100%,5%,0%,1%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL-85032,3820 E NISBET RD,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,31,97%,3%,100%,97%,3%,100%,94%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,81,96%,4%,100%,96%,4%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,4%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,42,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,35,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,97%,3%,100%,0%,3%,0%
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,121,90%,2%,92%,93%,2%,95%,93%,2%,95%,98%,2%,99%,99%,0%,99%,2%,1%,2%
ASCENSION LUTHERAN SCHOOL,1220 W MAGEE RD,TUCSON,PIMA,85704,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASH CREEK ELEMENTARY,6460 E HIGHWAY 181,PEARCE,COCHISE,85625,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASHTON RANCH ELEMENTARY SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,68,94%,4%,99%,93%,4%,97%,96%,4%,100%,94%,3%,97%,96%,4%,100%,6%,0%,1%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,69,96%,1%,97%,97%,1%,99%,97%,1%,99%,96%,1%,99%,97%,1%,99%,1%,0%,1%
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212,NO,,PUBLIC,74,97%,3%,100%,97%,3%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,7%,0%,1%
ATONEMENT LUTHERAN SCHOOL,4001 W BEARDSLEY RD,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,79,90%,9%,100%,92%,8%,100%,92%,8%,100%,96%,4%,100%,94%,6%,100%,8%,1%,4%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,138,93%,7%,100%,93%,7%,100%,93%,7%,100%,94%,6%,100%,95%,5%,100%,7%,1%,5%
AUGUSTUS H SHAW JR SCHOOL,123 N 13TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,69,88%,10%,99%,88%,12%,100%,88%,10%,99%,88%,12%,100%,88%,12%,100%,12%,0%,10%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,,CHARTER,52,83%,6%,88%,85%,6%,90%,87%,6%,92%,94%,4%,100%,96%,4%,100%,6%,0%,6%
AWAKENING SEED SCHOOL,6630 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AZ ASPIRE ACADEMY,2150 E SOUTHERN AVE,TEMPE,MARICOPA,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAGDAD ELEMENTARY SCHOOL,515 BREEZY CIR,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,30,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,93%,7%,100%,7%,3%,3%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,72,89%,4%,96%,93%,4%,100%,94%,4%,100%,97%,3%,100%,96%,4%,100%,4%,0%,4%
BARBARA B ROBEY ELEMENTARY,5340 N WIGWAM CREEK BLVD,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,114,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
BARBARA BUSH ELEMENTARY SCHOOL,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,80,95%,5%,100%,95%,5%,100%,94%,6%,100%,96%,4%,100%,96%,4%,100%,8%,1%,3%
BARCELONA ELEMENTARY SCHOOL,6530 N 44TH AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,119,95%,4%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,100%,0%,100%,4%,2%,4%
