SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,75,95%,1%,97%,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,1%,0%,0%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,123 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86332,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,110,82%,18%,100%,84%,16%,100%,84%,16%,100%,84%,16%,100%,91%,9%,100%,23%,0%,10%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,110,85%,15%,100%,88%,12%,100%,85%,15%,100%,88%,12%,100%,89%,11%,100%,15%,2%,10%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,77,83%,17%,100%,83%,17%,100%,83%,17%,100%,88%,12%,100%,88%,12%,100%,19%,0%,10%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,91,85%,13%,100%,89%,11%,100%,87%,13%,100%,88%,11%,100%,95%,5%,100%,16%,0%,7%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,67,93%,7%,100%,94%,6%,100%,88%,12%,100%,91%,9%,100%,96%,4%,100%,15%,0%,4%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,90,82%,18%,100%,81%,19%,100%,80%,20%,100%,83%,17%,100%,84%,16%,100%,21%,0%,13%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,29,76%,24%,100%,72%,28%,100%,79%,21%,100%,86%,14%,100%,93%,7%,100%,31%,0%,10%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,23,96%,4%,100%,96%,4%,100%,83%,17%,100%,96%,4%,100%,96%,4%,100%,22%,0%,4%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,87,85%,15%,100%,85%,15%,100%,85%,15%,100%,85%,15%,100%,85%,15%,100%,16%,0%,9%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,37,97%,0%,97%,97%,0%,97%,97%,0%,97%,97%,0%,97%,100%,0%,100%,0%,0%,0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,25,92%,4%,96%,92%,4%,96%,92%,4%,96%,100%,0%,100%,96%,4%,100%,4%,0%,4%
ANASAZI ELEMENTARY,12121 N 124TH ST,SCOTTSDALE,MARICOPA,85259,YES,RN,PUBLIC,71,94%,3%,97%,93%,4%,97%,93%,4%,97%,94%,4%,99%,96%,4%,100%,4%,0%,4%
ANNA HENRY ELEMENTARY SCHOOL,650 N IGO WAY,TUCSON,PIMA,85710,YES,RN,PUBLIC,64,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,96,93%,7%,100%,94%,6%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,7%,0%,1%
ANNIE KELLOND ELEMENTARY SCHOOL,6606 E LEHIGH DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,70,90%,10%,100%,89%,11%,100%,90%,10%,100%,89%,11%,100%,100%,0%,100%,11%,11%,6%
ANNUNCIATION CATHOLIC SCHOOL,32648 N CAVE CREEK RD,CAVE CREEK,MARICOPA,85331,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,75,97%,3%,100%,95%,4%,99%,93%,4%,99%,96%,4%,100%,99%,1%,100%,4%,0%,1%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,58,86%,14%,100%,84%,14%,98%,84%,14%,100%,84%,16%,100%,86%,14%,100%,17%,0%,10%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,39,95%,5%,100%,95%,5%,100%,92%,5%,100%,97%,3%,100%,95%,5%,100%,5%,0%,5%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,110,97%,2%,99%,97%,2%,100%,97%,1%,98%,95%,4%,99%,98%,2%,100%,4%,0%,2%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,58,88%,12%,100%,91%,9%,100%,90%,10%,100%,91%,9%,100%,91%,9%,100%,12%,0%,9%
ARCADIA MONTESSORI SCHOOL,5115 E VIRGINIA AVE,PHOENIX,MARICOPA,85008,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARCADIA NEIGHBORHOOD LEARNING CENTER,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,25,80%,20%,100%,80%,20%,100%,72%,20%,100%,88%,12%,100%,76%,24%,100%,32%,0%,12%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,87,90%,10%,100%,89%,11%,100%,90%,10%,100%,89%,11%,100%,90%,10%,100%,11%,1%,9%
ARCHWAY CLASSICAL ACADEMY - NORTH PHOENIX,"13613 N CAVE CREEK RD, BUILDING C",PHOENIX,MARICOPA,85018,NO,,CHARTER,117,89%,11%,100%,89%,11%,100%,89%,11%,100%,86%,14%,100%,91%,9%,100%,13%,2%,8%
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,7496 E TIERRA BUENA LN,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,86,90%,7%,100%,88%,7%,100%,88%,6%,100%,87%,8%,100%,93%,7%,100%,10%,1%,2%
ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,88,93%,7%,100%,92%,8%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,9%,0%,5%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,124,97%,2%,100%,97%,2%,100%,97%,2%,100%,99%,1%,100%,98%,1%,99%,2%,0%,1%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,92,73%,27%,100%,71%,29%,100%,70%,30%,100%,72%,28%,100%,74%,26%,100%,32%,0%,28%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,YES,RN,PRIVATE,33,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,NO,,PUBLIC,100,95%,2%,100%,96%,2%,100%,93%,2%,100%,96%,2%,100%,85%,2%,87%,2%,0%,2%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,71,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,33,100%,0%,100%,100%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARREDONDO ELEMENTARY SCHOOL,1330 E CARSON DRIVE,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,56,91%,5%,100%,91%,5%,100%,91%,5%,100%,91%,5%,100%,98%,2%,100%,5%,0%,2%
ARROWHEAD ELEMENTARY SCHOOL,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,85,95%,4%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,98%,2%,100%,5%,0%,2%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,54,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,2%,0%,0%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,116,99%,1%,100%,98%,2%,100%,97%,3%,100%,99%,1%,100%,99%,1%,100%,3%,0%,1%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASHTON RANCH ELEMENTARY SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,59,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,3%,0%,2%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,75,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
ATHOS TRADITIONAL ACADEMY,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,YES,RN,CHARTER,105,90%,10%,100%,90%,9%,100%,90%,10%,100%,92%,8%,100%,100%,0%,100%,11%,0%,8%
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,71,97%,3%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,1%,0%,1%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,130,95%,3%,100%,97%,3%,100%,97%,3%,100%,97%,2%,100%,98%,2%,100%,3%,0%,2%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,,CHARTER,44,82%,11%,100%,84%,11%,100%,86%,11%,100%,89%,11%,100%,89%,11%,100%,14%,0%,11%
AWAKENING SEED SCHOOL,6630 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B.U.S.D. #20 - BAGDAD SPECIAL NEEDS PRESCHOOL,6 SOUTH LINDAHL,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,27,85%,11%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,11%,0%,11%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,62,97%,0%,100%,97%,0%,100%,94%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
BALSZ SCHOOL,4309 E BELLEVIEW ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,73,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
BARBARA B ROBEY ELEMENTARY,5340 N WIGWAM CREEK BLVD,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,108,98%,1%,99%,98%,1%,99%,98%,1%,99%,98%,1%,99%,98%,1%,99%,1%,0%,1%
BARBARA BUSH ELEMENTARY SCHOOL,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,75,88%,12%,100%,89%,11%,100%,88%,12%,100%,89%,11%,100%,89%,11%,100%,12%,0%,11%
BASHA ELEMENTARY,3535 S BASHA RD,CHANDLER,MARICOPA,85248,NO,,PUBLIC,82,94%,6%,100%,93%,6%,99%,94%,6%,100%,91%,7%,99%,94%,6%,100%,11%,0%,5%
BASIS - ORO VALLEY PRI MARY,11155 N ORACLE RD,ORO VALLEY,PIMA,85737,NO,,CHARTER,128,98%,2%,100%,98%,2%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,3%,0%,2%
BASIS - PEORIA PRIMARY,25950 N. LAKE PLEASANT PKWY,PEORIA,MARICOPA,85383,NO,,CHARTER,124,95%,5%,100%,96%,4%,100%,94%,6%,100%,95%,5%,100%,98%,2%,100%,6%,1%,2%
BASIS - TUCSON MIDDLE SCHOOL,3825 E 2ND ST,TUCSON,PIMA,85716,NO,,CHARTER,160,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
BASIS CHANDLER PRIMARY NORTH CAMPUS,1800 E CHANDLER BLVD,CHANDLER,MARICOPA,85248,NO,,CHARTER,118,97%,3%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,2%,1%,2%
BASIS CHANDLER PRIMARY SOUTH CAMPUS,204 W CHANDLER HEIGHTS BLVD,CHANDLER,MARICOPA,,NO,,CHARTER,88,97%,3%,100%,97%,3%,100%,95%,5%,100%,97%,3%,100%,95%,5%,100%,6%,6%,3%
BASIS GOODYEAR,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338,NO,,CHARTER,121,93%,7%,100%,93%,7%,100%,91%,9%,100%,93%,7%,100%,93%,7%,100%,9%,0%,6%
BASIS GOODYEAR PRIMARY,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338,NO,,CHARTER,121,93%,7%,100%,93%,7%,100%,91%,9%,100%,93%,7%,100%,93%,7%,100%,9%,0%,6%
BASIS PHOENIX CENTRAL PRIMARY,201 E INDIANOLA AVE,PHOENIX,MARICOPA,85012,NO,,CHARTER,140,94%,6%,100%,95%,5%,100%,95%,5%,100%,95%,4%,100%,96%,4%,100%,6%,0%,2%
BASIS PHOENIX SOUTH PRIMARY SCHOOL,5700 S 19TH AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,90,96%,4%,100%,96%,3%,100%,97%,3%,100%,96%,3%,100%,97%,3%,100%,6%,2%,3%
BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,PRESCOTT,YAVAPAI,86301,YES,RN,PUBLIC,64,64%,36%,100%,66%,34%,100%,63%,38%,100%,75%,23%,100%,81%,19%,100%,45%,45%,19%
BASIS SCOTTSDALE PRIMARY,11440 N 136TH ST,SCOTTSDALE,MARICOPA,85259,NO,,CHARTER,135,95%,5%,100%,94%,6%,100%,93%,7%,100%,94%,6%,100%,97%,3%,100%,8%,0%,2%
