SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
MITCHELL ELEMENTARY SCHOOL,1700 N 41ST AVE,PHOENIX,MARICOPA,85009,NO,,PUBLIC,71,99%,1%,100%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
ESPERANZA ELEMENTARY SCHOOL-85009,3025 W MCDOWELL RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,63,98%,2%,100%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
RICHARD B WILSON JR SCHOOL,2330 W GLOVER RD,TUCSON,PIMA,85742,YES,RN,PUBLIC,44,98%,2%,100%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,2.3%,0.0%,2.3%
PUEBLO DEL SOL MIDDLE SCHOOL,3449 N 39TH AVE,PHOENIX,MARICOPA,85019,NO,,PUBLIC,36,92%,0%,100%,91.7%,0.0%,100.0%,91.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MOYA ELEMENTARY,406 N 41ST AVE,PHOENIX,MARICOPA,85009,NO,,PUBLIC,73,95%,4%,100%,95.9%,2.7%,100.0%,94.5%,4.1%,100.0%,95.9%,2.7%,100.0%,100.0%,0.0%,100.0%,4.1%,1.4%,0.0%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,NO,,PUBLIC,124,90%,9%,100%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,91.9%,8.1%,100.0%,100.0%,0.0%,100.0%,8.9%,0.0%,8.9%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,77,86%,5%,97%,94.8%,3.9%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,5.2%,0.0%,3.9%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,53,94%,6%,100%,92.5%,7.5%,100.0%,94.3%,5.7%,100.0%,96.2%,3.8%,100.0%,92.5%,1.9%,96.2%,5.7%,1.9%,5.7%
CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,45,93%,2%,98%,91.1%,4.4%,100.0%,97.8%,2.2%,100.0%,95.6%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
CHAPARRAL ELEMENTARY SCHOOL-85029,3808 W JOAN DE ARC,PHOENIX,MARICOPA,85029,NO,,PUBLIC,63,95%,3%,100%,95.2%,3.2%,100.0%,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,3.2%,0.0%,3.2%
DESERT VIEW ELEMENTARY SCHOOL - PHOENIX,8621 N 3RD ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,39,92%,8%,100%,92.3%,7.7%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,7.7%,0.0%,5.1%
IRONWOOD ELEMENTARY SCHOOL,14850 N 39TH AVE,PHOENIX,MARICOPA,85053,NO,,PUBLIC,56,93%,7%,100%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,100.0%,0.0%,100.0%,7.1%,0.0%,7.1%
JOHN JACOBS ELEMENTARY SCHOOL,14421 N 23RD AVE,PHOENIX,MARICOPA,85023,NO,,PUBLIC,55,95%,4%,100%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,1.8%,1.8%,1.8%
LAKEVIEW ELEMENTARY SCHOOL,3040 W YUCCA ST,PHOENIX,MARICOPA,85029,NO,,PUBLIC,72,93%,4%,100%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,94.4%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,4.2%
LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,PHOENIX,MARICOPA,85023,NO,,PUBLIC,145,94%,6%,100%,93.8%,6.2%,100.0%,94.5%,5.5%,100.0%,93.1%,5.5%,100.0%,95.2%,4.8%,100.0%,5.5%,0.7%,4.8%
MANZANITA ELEMENTARY SCHOOL,8430 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,79,95%,4%,100%,94.9%,3.8%,100.0%,94.9%,3.8%,100.0%,97.5%,1.3%,100.0%,97.5%,2.5%,100.0%,3.8%,0.0%,2.5%
MARYLAND ELEMENTARY SCHOOL,6503 N 21ST AVE,PHOENIX,MARICOPA,85015,YES,RN,PUBLIC,52,96%,4%,100%,96.2%,3.8%,100.0%,94.2%,3.8%,98.1%,98.1%,1.9%,100.0%,98.1%,0.0%,98.1%,3.8%,0.0%,3.8%
MOON MOUNTAIN SCHOOL,13425 N 19TH AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,71,97%,0%,100%,97.2%,0.0%,100.0%,97.2%,0.0%,100.0%,95.8%,1.4%,100.0%,100.0%,0.0%,100.0%,0.0%,2.8%,0.0%
MOUNTAIN VIEW ELEMENTARY SCHOOL,801 W PEORIA AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,93,98%,2%,100%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,100.0%,0.0%,100.0%,2.2%,0.0%,0.0%
OCOTILLO SCHOOL,3225 W OCOTILLO RD,PHOENIX,MARICOPA,85017,NO,,PUBLIC,94,97%,2%,100%,97.9%,2.1%,100.0%,95.7%,2.1%,100.0%,97.9%,2.1%,100.0%,98.9%,1.1%,100.0%,2.1%,0.0%,2.1%
ORANGEWOOD ELEMENTARY SCHOOL,7337 N 19TH AVE,PHOENIX,MARICOPA,85021,YES,RN,PUBLIC,106,90%,0%,92%,91.5%,0.0%,94.3%,91.5%,0.0%,91.5%,94.3%,0.0%,97.2%,100.0%,0.0%,100.0%,7.5%,0.0%,0.0%
RICHARD E MILLER SCHOOL,2021 W ALICE AVE,PHOENIX,MARICOPA,85021,NO,,PUBLIC,69,90%,6%,96%,91.3%,8.7%,100.0%,92.8%,0.0%,92.8%,97.1%,0.0%,97.1%,100.0%,0.0%,100.0%,4.3%,0.0%,4.3%
ROADRUNNER ELEMENTARY SCHOOL-85051,7702 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,88,95%,2%,100%,96.6%,2.3%,100.0%,95.5%,2.3%,100.0%,97.7%,2.3%,100.0%,95.5%,2.3%,100.0%,2.3%,2.3%,2.3%
SAHUARO SCHOOL,12835 N 33RD AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,71,92%,8%,100%,95.8%,4.2%,100.0%,94.4%,5.6%,100.0%,95.8%,4.2%,100.0%,100.0%,0.0%,100.0%,8.5%,0.0%,4.2%
SHAW BUTTE SCHOOL,12202 N 21ST AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,83,96%,4%,100%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,4.8%,0.0%,3.6%
SUNBURST ELEMENTARY SCHOOL,14218 N 47TH AVE,GLENDALE,MARICOPA,85306,NO,,PUBLIC,73,90%,8%,100%,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,93.2%,6.8%,100.0%,91.8%,8.2%,100.0%,8.2%,0.0%,4.1%
SWEETWATER SCHOOL-85304,4602 W SWEETWATER AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,43,88%,12%,100%,88.4%,11.6%,100.0%,88.4%,11.6%,100.0%,90.7%,9.3%,100.0%,90.7%,9.3%,100.0%,11.6%,0.0%,9.3%
SUNNYSLOPE ELEMENTARY SCHOOL,245 EAST MOUNTAIN VIEW ROAD,PHOENIX,MARICOPA,85020,NO,,PUBLIC,64,91%,6%,97%,93.8%,4.7%,98.4%,93.8%,4.7%,98.4%,96.9%,3.1%,100.0%,95.3%,4.7%,100.0%,4.7%,0.0%,0.0%
CRAYCROFT ELEMENTARY SCHOOL,5455 E LITTLETOWN RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,80,99%,1%,100%,98.8%,1.3%,100.0%,96.3%,3.8%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,3.8%,0.0%,1.3%
SUNSET SCHOOL-85302,4626 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,NO,,PUBLIC,72,90%,10%,100%,88.9%,9.7%,100.0%,90.3%,9.7%,100.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,9.7%,0.0%,6.9%
TUMBLEWEED ELEMENTARY SCHOOL - 85029,4001 W LAUREL LN,PHOENIX,MARICOPA,85029,NO,,PUBLIC,49,90%,10%,100%,91.8%,6.1%,100.0%,93.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,10.2%,2.0%,4.1%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,60,95%,2%,100%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,96.7%,1.7%,100.0%,98.3%,1.7%,100.0%,1.7%,0.0%,1.7%
WASHINGTON ELEMENTARY SCHOOL-85051,8033 N 27TH AVE,PHOENIX,MARICOPA,85051,YES,RN,PUBLIC,102,94%,3%,100%,95.1%,2.0%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,100.0%,0.0%,100.0%,3.9%,0.0%,2.9%
WILSON ELEMENTARY SCHOOL,2929 E FILLMORE ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,114,84%,10%,95%,86.8%,9.6%,97.4%,82.5%,9.6%,92.1%,86.8%,7.9%,95.6%,88.6%,7.9%,96.5%,9.6%,0.0%,9.6%
ENCANTO ELEMENTARY SCHOOL,1420 W OSBORN RD,PHOENIX,MARICOPA,85013,NO,,PUBLIC,150,93%,4%,100%,94.0%,4.0%,100.0%,95.3%,4.0%,100.0%,95.3%,4.0%,100.0%,96.7%,3.3%,100.0%,4.0%,0.0%,4.0%
MONTECITO COMMUNITY SCHOOL,715 E MONTECITO AVE,PHOENIX,MARICOPA,85014,YES,RN,CHARTER,<20,93%,0%,93%,100.0%,0.0%,100.0%,86.7%,0.0%,86.7%,86.7%,0.0%,86.7%,93.3%,0.0%,93.3%,0.0%,0.0%,0.0%
SOLANO SCHOOL,1526 W MISSOURI AVE,PHOENIX,MARICOPA,85015,NO,,PUBLIC,71,82%,0%,82%,76.1%,0.0%,76.1%,84.5%,0.0%,84.5%,88.7%,0.0%,88.7%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,NO,,PUBLIC,58,91%,0%,97%,94.8%,0.0%,94.8%,86.2%,0.0%,86.2%,93.1%,0.0%,93.1%,94.8%,0.0%,94.8%,0.0%,0.0%,0.0%
THE CREIGHTON ACADEMY,2802 E MCDOWELL RD,PHOENIX,MARICOPA,85008,YES,LPN,PUBLIC,45,89%,0%,89%,88.9%,0.0%,88.9%,91.1%,0.0%,91.1%,97.8%,0.0%,97.8%,93.3%,0.0%,93.3%,0.0%,0.0%,0.0%
GATEWAY SCHOOL,1100 N 35TH ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,36,94%,0%,94%,94.4%,0.0%,94.4%,91.7%,0.0%,91.7%,94.4%,0.0%,94.4%,94.4%,0.0%,94.4%,0.0%,0.0%,0.0%
LARRY C KENNEDY SCHOOL,2702 E OSBORN RD,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,23,78%,13%,96%,78.3%,13.0%,95.7%,78.3%,13.0%,95.7%,82.6%,13.0%,100.0%,87.0%,13.0%,100.0%,13.0%,0.0%,13.0%
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,40,88%,5%,93%,87.5%,5.0%,92.5%,90.0%,5.0%,95.0%,95.0%,5.0%,100.0%,92.5%,5.0%,97.5%,5.0%,0.0%,5.0%
WILLIAM T MACHAN ELEMENTARY SCHOOL,2140 E VIRGINIA AVE,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,62,89%,2%,90%,85.5%,1.6%,87.1%,88.7%,1.6%,90.3%,98.4%,1.6%,100.0%,87.1%,1.6%,88.7%,1.6%,0.0%,1.6%
MONTE VISTA ELEMENTARY SCHOOL,3501 E OSBORN RD,PHOENIX,MARICOPA,85018,YES,RN,PUBLIC,79,99%,1%,100%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
PAPAGO SCHOOL,2013 N 36TH ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,83,99%,1%,100%,98.8%,1.2%,100.0%,91.6%,1.2%,92.8%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,1.2%,0.0%,1.2%
BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,PHOENIX,MARICOPA,85018,YES,LPN,PUBLIC,84,96%,4%,100%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,3.6%,0.0%,3.6%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,64,92%,2%,97%,92.2%,0.0%,96.9%,95.3%,3.1%,98.4%,96.9%,1.6%,98.4%,98.4%,1.6%,100.0%,3.1%,0.0%,0.0%
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,54,94%,2%,100%,94.4%,1.9%,100.0%,96.3%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
PORFIRIO H. GONZALES ELEMENTARY SCHOOL,9401 W GARFIELD ST,TOLLESON,MARICOPA,85353,YES,Both,PUBLIC,64,92%,6%,100%,93.8%,6.3%,100.0%,90.6%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,6.3%,0.0%,6.3%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,85,95%,4%,100%,94.1%,3.5%,98.8%,94.1%,3.5%,97.6%,97.6%,2.4%,100.0%,95.3%,3.5%,98.8%,3.5%,0.0%,2.4%
SHEELY FARMS ELEMENTARY SCHOOL,9450 W ENCANTO BLVD,PHOENIX,MARICOPA,85037,YES,RN,PUBLIC,71,93%,4%,100%,95.8%,2.8%,100.0%,94.4%,5.6%,100.0%,95.8%,2.8%,100.0%,95.8%,4.2%,100.0%,5.6%,0.0%,2.8%
DESERT OASIS ELEMENTARY SCHOOL-85037,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037,NO,,PUBLIC,74,89%,0%,89%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,25,96%,0%,100%,100.0%,0.0%,100.0%,96.0%,0.0%,96.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
JACK L KUBAN ELEMENTARY SCHOOL,3201 W SHERMAN ST,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,36,94%,3%,100%,97.2%,2.8%,100.0%,94.4%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,2.8%,0.0%,2.8%
WILLIAM R SULLIVAN ELEMENTARY SCHOOL,2 N 31ST AVE,PHOENIX,MARICOPA,85009,NO,,PUBLIC,56,96%,2%,98%,96.4%,1.8%,98.2%,96.4%,1.8%,98.2%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,1.8%,0.0%,1.8%
LIBERTY ELEMENTARY SCHOOL-85326,19818 W HWY 85,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,45,98%,2%,100%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
CAVETT ELEMENTARY SCHOOL,2120 E NACO VISTA DR,TUCSON,PIMA,85713,YES,RN,PUBLIC,28,82%,0%,82%,92.9%,0.0%,92.9%,92.9%,0.0%,92.9%,96.4%,0.0%,96.4%,92.9%,0.0%,92.9%,0.0%,0.0%,0.0%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,109,97%,1%,99%,97.2%,1.8%,99.1%,98.2%,1.8%,100.0%,98.2%,0.9%,99.1%,99.1%,0.9%,100.0%,1.8%,0.0%,0.9%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,47,91%,6%,100%,91.5%,6.4%,100.0%,91.5%,6.4%,100.0%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,6.4%,0.0%,6.4%
WESTAR ELEMENTARY SCHOOL,17777 W WESTAR DR,GOODYEAR,MARICOPA,85338,YES,LPN,PUBLIC,55,91%,9%,100%,89.1%,9.1%,100.0%,85.5%,14.5%,100.0%,87.3%,9.1%,100.0%,90.9%,9.1%,100.0%,9.1%,0.0%,9.1%
LAS BRISAS ACADEMY,18211 W LAS BRISAS DR,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,76,95%,5%,100%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,5.3%,0.0%,5.3%
FREEDOM ELEMENTARY SCHOOL - 85326,22150 W. SUNDANCE PKWY S,BUCKEYE,MARICOPA,85326,YES,RN,PUBLIC,62,89%,10%,98%,88.7%,9.7%,98.4%,88.7%,9.7%,98.4%,87.1%,9.7%,98.4%,90.3%,9.7%,100.0%,9.7%,0.0%,9.7%
ESPERANZA ELEMENTARY SCHOOL - 85706,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,85,98%,0%,100%,98.8%,0.0%,100.0%,100.0%,0.0%,100.0%,98.8%,0.0%,100.0%,100.0%,0.0%,100.0%,1.2%,0.0%,0.0%
C I WAGGONER SCHOOL,1050 E CARVER RD,TEMPE,MARICOPA,85284,NO,,PUBLIC,60,90%,8%,98%,91.7%,6.7%,98.3%,91.7%,6.7%,98.3%,95.0%,5.0%,100.0%,90.0%,10.0%,100.0%,10.0%,0.0%,0.0%
KYRENE DEL NORTE SCHOOL,1331 E REDFIELD RD,TEMPE,MARICOPA,85283,NO,,PUBLIC,105,86%,8%,93%,88.6%,7.6%,96.2%,86.7%,7.6%,94.3%,90.5%,7.6%,98.1%,91.4%,7.6%,99.0%,8.6%,0.0%,7.6%
KYRENE DE LAS LOMAS SCHOOL,11820 S WARNER ELLIOT LOOP,PHOENIX,MARICOPA,85044,NO,,PUBLIC,70,93%,6%,99%,92.9%,5.7%,100.0%,92.9%,4.3%,98.6%,94.3%,2.9%,98.6%,98.6%,1.4%,100.0%,5.7%,0.0%,1.4%
KYRENE DE LOS NINOS SCHOOL,1330 E DAVA DR,TEMPE,MARICOPA,85283,NO,,PUBLIC,67,84%,9%,93%,86.6%,9.0%,95.5%,83.6%,7.5%,91.0%,94.0%,6.0%,100.0%,91.0%,7.5%,98.5%,9.0%,0.0%,6.0%
KYRENE DEL CIELO SCHOOL,1350 N LAKESHORE DR,CHANDLER,MARICOPA,85226,NO,,PUBLIC,95,87%,7%,95%,88.4%,7.4%,95.8%,88.4%,11.6%,100.0%,92.6%,2.1%,94.7%,92.6%,7.4%,100.0%,11.6%,1.1%,11.6%
KYRENE DE LA PALOMA SCHOOL,5000 W WHITTEN ST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,70,89%,7%,97%,90.0%,7.1%,97.1%,91.4%,8.6%,100.0%,88.6%,10.0%,98.6%,91.4%,8.6%,100.0%,11.4%,0.0%,0.0%
KYRENE DE LA COLINA SCHOOL,13612 S 36TH ST,PHOENIX,MARICOPA,85044,NO,,PUBLIC,72,89%,6%,94%,90.3%,5.6%,95.8%,90.3%,5.6%,95.8%,93.1%,5.6%,98.6%,93.1%,5.6%,98.6%,5.6%,0.0%,5.6%
KYRENE DEL SURENO SCHOOL,3375 W GALVESTON RD,CHANDLER,MARICOPA,85226,NO,,PUBLIC,58,91%,0%,91%,91.4%,6.9%,98.3%,86.2%,6.9%,93.1%,89.7%,8.6%,98.3%,96.6%,3.4%,100.0%,10.3%,0.0%,3.4%
KYRENE DE LA MARIPOSA SCHOOL,50 E KNOX RD,TEMPE,MARICOPA,85284,NO,,PUBLIC,59,92%,3%,95%,93.2%,3.4%,96.6%,93.2%,3.4%,96.6%,94.9%,3.4%,98.3%,96.6%,3.4%,100.0%,3.4%,0.0%,3.4%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,68,100%,0%,100%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
KYRENE DE LOS LAGOS SCHOOL,17001 S 34TH WAY,PHOENIX,MARICOPA,85048,NO,,PUBLIC,84,90%,5%,95%,90.5%,4.8%,100.0%,90.5%,7.1%,97.6%,92.9%,3.6%,100.0%,95.2%,3.6%,98.8%,4.8%,0.0%,4.8%
KYRENE MONTE VISTA SCHOOL,15221 S RAY RD,PHOENIX,MARICOPA,85048,NO,,PUBLIC,72,90%,10%,100%,93.1%,6.9%,100.0%,91.7%,8.3%,100.0%,95.8%,4.2%,100.0%,100.0%,0.0%,100.0%,8.3%,0.0%,0.0%
KYRENE DE LA SIERRA SCHOOL,1122 E LIBERTY LN,PHOENIX,MARICOPA,85048,NO,,PUBLIC,88,95%,5%,100%,95.5%,4.5%,100.0%,96.6%,3.4%,100.0%,94.3%,5.7%,100.0%,97.7%,2.3%,100.0%,5.7%,0.0%,2.3%
KYRENE DE LA MIRADA SCHOOL,5500 W GALVESTON ST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,78,96%,4%,100%,94.9%,3.8%,100.0%,93.6%,3.8%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,5.1%,0.0%,0.0%
KYRENE DE LA ESPERANZA SCHOOL,14841 S 41ST PL,PHOENIX,MARICOPA,85044,NO,,PUBLIC,68,76%,12%,88%,77.9%,11.8%,89.7%,80.9%,11.8%,92.6%,89.7%,10.3%,100.0%,98.5%,0.0%,98.5%,11.8%,0.0%,0.0%
KYRENE DE LAS BRISAS SCHOOL,777 N DESERT BREEZE BLVD EAST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,72,97%,3%,100%,94.4%,2.8%,97.2%,93.1%,2.8%,95.8%,97.2%,1.4%,98.6%,95.8%,2.8%,98.6%,2.8%,0.0%,1.4%
KYRENE DE LOS CERRITOS SCHOOL,14620 S DESERT FOOTHILLS PKWY,PHOENIX,MARICOPA,85048,NO,,PUBLIC,57,93%,0%,93%,96.5%,0.0%,96.5%,93.0%,1.8%,94.7%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,1.8%,0.0%,1.8%
KYRENE DE LA ESTRELLA ELEMENTARY SCHOOL,2620 E LIBERTY LN,PHOENIX,MARICOPA,85048,NO,,PUBLIC,53,87%,4%,91%,86.8%,3.8%,90.6%,88.7%,3.8%,92.5%,84.9%,5.7%,90.6%,88.7%,5.7%,94.3%,5.7%,0.0%,3.8%
KYRENE DE LAS MANITAS SCHOOL,1201 W COURTNEY LN,TEMPE,MARICOPA,85284,NO,,PUBLIC,47,83%,6%,89%,85.1%,4.3%,89.4%,83.0%,6.4%,89.4%,97.9%,0.0%,97.9%,95.7%,2.1%,97.9%,6.4%,0.0%,0.0%
KYRENE DEL MILENIO,4630 E FRYE RD,PHOENIX,MARICOPA,85048,YES,RN,PUBLIC,80,84%,0%,84%,83.8%,0.0%,83.8%,83.8%,0.0%,83.8%,93.8%,0.0%,93.8%,95.0%,0.0%,95.0%,1.3%,0.0%,0.0%
GALLEGO BASIC ELEMENTARY SCHOOL,6200 S HEMISPHERE PL,TUCSON,PIMA,85706,YES,RN,PUBLIC,123,100%,0%,100%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DAVID CROCKETT SCHOOL,501 N 36TH ST,PHOENIX,MARICOPA,85008,YES,LPN,PUBLIC,72,96%,3%,99%,95.8%,2.8%,98.6%,94.4%,2.8%,97.2%,97.2%,2.8%,100.0%,93.1%,2.8%,95.8%,2.8%,0.0%,2.8%
GRIFFITH ELEMENTARY SCHOOL,4505 E PALM LN,PHOENIX,MARICOPA,85008,NO,,PUBLIC,87,100%,0%,100%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BRUNSON-LEE ELEMENTARY SCHOOL,1350 N 48TH ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,79,97%,0%,100%,98.7%,0.0%,100.0%,97.5%,0.0%,100.0%,98.7%,0.0%,100.0%,98.7%,0.0%,98.7%,0.0%,0.0%,0.0%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,67,93%,4%,100%,94.0%,4.5%,100.0%,95.5%,4.5%,100.0%,94.0%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,4.5%
WESTPARK ELEMENTARY SCHOOL,2700 S 257TH DR,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,51,94%,6%,100%,94.1%,5.9%,100.0%,96.1%,3.9%,100.0%,94.1%,5.9%,100.0%,100.0%,0.0%,100.0%,7.8%,0.0%,0.0%
STEVEN R JASINSKI ELEMENTARY SCHOOL,4280 S 246TH AVE,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,78,87%,6%,94%,87.2%,6.4%,93.6%,83.3%,6.4%,89.7%,93.6%,6.4%,100.0%,97.4%,2.6%,100.0%,6.4%,0.0%,2.6%
SUNDANCE ELEMENTARY SCHOOL-85326,23800 W HADLEY ST,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,51,82%,6%,88%,86.3%,5.9%,92.2%,80.4%,5.9%,86.3%,94.1%,5.9%,100.0%,98.0%,2.0%,100.0%,5.9%,0.0%,2.0%
MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,70,89%,0%,89%,87.1%,0.0%,87.1%,85.7%,0.0%,85.7%,97.1%,0.0%,97.1%,95.7%,0.0%,95.7%,0.0%,0.0%,0.0%
