SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Adventure School,Charter,5757 E. Pima St.,Tucson,Pima,85711,N,,24,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Agua Caliente Elementary School,Public,11420 E Limberlost Rd.,Tucson,Pima,85749,Y,RN,58,94.80%,5.20%,100%,94.80%,5.20%,100%,94.80%,5.20%,100%,94.80%,5.20%,100%,82.80%,1.70%,100%,3.40%,1.70%,0.00%
Aguila Elementary School (Aguila),Public,50023 N 514th  Ave.,Aguila,Maricopa,85320,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguilar Elementary  School (Tempe),Public,5800 S Forest Ave. ,Tempe,Maricopa,85283,Y,RN,73,95.90%,4.10%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,98.60%,1.40%,100%,93.20%,1.40%,100%,1.40%,0.00%,1.40%
Ahwatukee Foothills Montessori,Private,3221 E Chandler Blvd.,Phoenix,Maricopa,85048,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aire Libre Elementary School,Public,16428 N 21 St.,Phoenix,Maricopa,85022,Y,RN,47,93.60%,4.30%,97.90%,95.70%,4.30%,100%,95.70%,4.30%,100%,91.50%,4.30%,95.70%,93.60%,0.00%,100%,2.10%,2.10%,4.30%
Ajo Elementary School,Public,111 Well Rd.,Ajo,Pima,85321,N,,37,94.60%,0.00%,94.60%,94.60%,5.40%,100%,83.80%,16.20%,100%,94.60%,5.40%,100%,75.70%,0.00%,100%,27.00%,0.00%,0.00%
Aldea Montessori,Private,15369 N. 40th St.,Phoenix,Maricopa,85032,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfred F Garcia School,Public,1441 S. 27th Ave.,Phoenix,Maricopa,85009,Y,LPN,54,98.10%,0.00%,98.10%,98.10%,0.00%,98.10%,98.10%,0.00%,98.10%,98.10%,0.00%,98.10%,94.40%,0.00%,100%,0.00%,0.00%,0.00%
Alhambra Traditional School,Public,3736 W. Osborn Rd.,Phoenix,Maricopa,85019,Y,LPN,96,96.90%,3.10%,100%,100%,0.00%,100%,95.80%,3.10%,99.00%,94.80%,5.20%,100%,96.90%,3.10%,100%,6.30%,0.00%,2.10%
Alice Byrne Elementary,Public,811 W 16th St.,Yuma,Yuma,85364,Y,RN,46,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,95.70%,2.20%,100%,2.20%,0.00%,2.20%
All Aboard Charter School,Charter,5827 N 35th Ave.,Phoenix,Maricopa,85017,N,,22,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.50%,0.00%,100%,0.00%,0.00%,0.00%
All Saints Catholic School,Private,1425 Yaqui St.,Sierra Vista,Cochise,85650,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All Saints Episcopal Day School,Private,6300 N Central Ave.,Phoenix,Maricopa,85012,Y,RN,38,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,94.70%,5.30%,100%,92.10%,2.60%,100%,5.30%,0.00%,2.60%
Alpine Elementary School,Public,P.O. Box 170,Alpine,Apache,85920,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alta E Butler School,Public,3843 W Roosevelt St. ,Phoenix,Maricopa,85009,N,,121,92.60%,0.00%,92.60%,95.00%,0.00%,95.00%,96.70%,0.00%,96.70%,98.30%,0.00%,98.30%,89.30%,0.00%,98.30%,0.00%,0.00%,0.00%
Alta Loma School,Public,9750 N 87th Ave.,Peoria,Maricopa,85345,Y,RN,62,96.80%,1.60%,98.40%,93.50%,1.60%,95.20%,98.40%,1.60%,100%,98.40%,1.60%,100%,91.90%,1.60%,100%,1.60%,0.00%,1.60%
Alta Vista Elementary School,Public,8710 N 31st Ave.,Phoenix,Maricopa,85051,Y,RN,92,97.80%,0.00%,97.80%,98.90%,0.00%,98.90%,98.90%,0.00%,98.90%,95.70%,1.10%,96.70%,94.60%,1.10%,100%,0.00%,2.20%,0.00%
Ambassador Academy,Charter,3820 E Ray Rd.,Phoenix,Maricopa,85044,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amberlea Elementary,Public,8455 W. Virginia Ave.,Phoenix,Maricopa,85037,N,,93,100%,0.00%,100%,98.90%,0.00%,98.90%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
American Heritage Academy - Camp Verde,Charter,132 General Crook Trl.,Camp Verde,Yavapai,86322,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Heritage Academy- Cottonwood,Charter,2030 E. Cherry St.,Cottonwood,Yavapai,86326,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Leadership Academy - Anthem South Campus,Charter,4380 N Hunt Hwy,Florence,Pinal,85312,N,,63,87.30%,12.70%,100%,88.90%,11.10%,100%,87.30%,12.70%,100%,92.10%,7.90%,100%,69.80%,7.90%,100%,14.30%,0.00%,7.90%
American Leadership Academy - Gilbert Campus,Charter,3155 S Santan Village Pkwy,Gilbert,Maricopa,85295,N,,115,81.70%,18.30%,100%,81.70%,18.30%,100%,83.50%,16.50%,100%,87.00%,13.00%,100%,65.20%,13.90%,100%,13.90%,0.00%,9.60%
American Leadership Academy - Ironwood Elementary Campus,Charter,650 W Combs Rd.,Queen Creek,Maricopa,85140,N,,86,83.70%,15.10%,98.80%,87.20%,12.80%,100%,83.70%,16.30%,100%,87.20%,11.60%,98.80%,73.30%,9.30%,100%,17.40%,0.00%,11.60%
American Leadership Academy - Mesa Campus,Charter,4507 S Mountain Rd.,Mesa,Maricopa,85212,N,,78,88.50%,11.50%,100%,88.50%,11.50%,100%,88.50%,11.50%,100%,88.50%,11.50%,100%,65.40%,7.70%,100%,15.40%,0.00%,5.10%
American Leadership Academy - Queen Creek Elementary,Charter,19843 E Chandler Heights Rd.,Queen Creek,Maricopa,85142,N,,73,82.20%,16.40%,98.60%,86.30%,13.70%,100%,89.00%,11.00%,100%,89.00%,9.60%,98.60%,65.80%,6.80%,100%,23.30%,0.00%,6.80%
American Leadership Academy - San Tan Valley Campus,Charter,34696 N Village Ln.,San Tan Valley,Pinal,85142,N,,96,90.60%,9.40%,100%,91.70%,8.30%,100%,91.70%,8.30%,100%,93.80%,6.30%,100%,80.20%,5.20%,100%,10.40%,0.00%,4.20%
Amerischools Academy - Camelback Campus,Charter,1333 West Camelback Rd.,Phoenix,Maricopa,85013,N,,28,96.40%,3.60%,100%,92.90%,3.60%,96.40%,92.90%,3.60%,96.40%,96.40%,3.60%,100%,92.90%,3.60%,100%,3.60%,0.00%,3.60%
Amerischools Academy - North Campus,Charter,1220 S. 4th Ave.,Yuma,Yuma,85364,N,,43,97.70%,2.30%,100%,97.70%,2.30%,100%,97.70%,2.30%,100%,97.70%,2.30%,100%,97.70%,2.30%,100%,2.30%,0.00%,0.00%
Amerischools Academy - Tucson Campus,Charter,1150 N. Country Club Rd. ,Tucson,Pima,85716,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amerischools Academy - Yuma South Campus,Charter,2098 S 3rd Ave,Yuma,Yuma,85364,N,,47,91.50%,8.50%,100%,89.40%,10.60%,100%,89.40%,8.50%,97.90%,87.20%,6.40%,93.60%,83.00%,6.40%,100%,8.50%,0.00%,2.10%
Amy L. Houston Academy,Public,7139 S 10th St.,Phoenix,Maricopa,85042,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anasazi Elementary School,Public,12121 N 124th St.,Scottsdale,Maricopa,85259,Y,RN,78,88.50%,6.40%,94.90%,89.70%,7.70%,97.40%,89.70%,6.40%,96.20%,89.70%,9.00%,98.70%,85.90%,7.70%,100%,9.00%,1.30%,6.40%
Anna Marie Jacebsen Elementary School,Public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248,N,,95,95.80%,3.20%,98.90%,98.90%,1.10%,100%,95.80%,3.20%,98.90%,98.90%,1.10%,100%,98.90%,1.10%,100%,5.30%,0.00%,3.20%
Annie Kellond Elementary School,Public,6606 E Lehigh Dr.,Tucson,Pima,85710,N,,60,93.30%,1.70%,95.00%,95.00%,1.70%,96.70%,96.70%,1.70%,98.30%,96.70%,0.00%,96.70%,93.30%,0.00%,98.30%,1.70%,0.00%,0.00%
Annunciation Catholic School,Private,32648 N Cave Creek Rd.,Cave Creek,Maricopa,85331,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthem Elementary School (Florence),Public,2700 N Anthem Way,Florence,Pinal,85232,N,,69,91.30%,0.00%,91.30%,95.70%,0.00%,95.70%,92.80%,0.00%,92.80%,94.20%,0.00%,94.20%,88.40%,0.00%,97.10%,0.00%,0.00%,0.00%
Anthem Preparatory Academy,Charter,39808 N Gavilan Peak Pkwy,Anthem,Maricopa,85086,N,,57,86.00%,8.80%,94.70%,89.50%,8.80%,98.20%,82.50%,8.80%,91.20%,91.20%,8.80%,100%,63.20%,8.80%,96.50%,8.80%,0.00%,8.80%
Anthem School (Anthem),Public,41020 N Freedmon Way,Anthem,Maricopa,85086,Y,LPN,68,89.70%,10.30%,100%,89.70%,10.30%,100%,83.80%,11.80%,95.60%,85.30%,10.30%,95.60%,67.60%,10.30%,98.50%,10.30%,2.90%,0.00%
Anza Trail Elementary,Public,15490 S Rancho Sahuarita Blvd.,Sahuarita,Pima,85629,N,,117,90.60%,3.40%,94.00%,84.60%,3.40%,88.00%,88.90%,3.40%,92.30%,94.00%,3.40%,97.40%,61.50%,3.40%,96.60%,3.40%,0.00%,0.00%
Apache Elementary School (Douglas),Public,P.O. Drawer 1119,Douglas,Cochise,85608,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apache Elementary School (Peoria),Public,8633 W John Cabot Rd.,Peoria,Maricopa,85382,Y,RN,55,92.70%,7.30%,100%,92.70%,7.30%,100%,92.70%,7.30%,100%,92.70%,7.30%,100%,72.70%,0.00%,100%,5.50%,1.80%,0.00%
Arcadia Montessori School,Private,5115 East Virginia Ave.,Phoenix,Maricopa,85008,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcadia Neighborhood Learning Center,Public,4330 N 62nd St.,Scottsdale,Maricopa,85251,Y,RN,41,85.40%,14.60%,100%,85.40%,14.60%,100%,85.40%,14.60%,100%,85.40%,12.20%,97.60%,78.00%,12.20%,100%,14.60%,0.00%,12.20%
Archway Classical Academy - Chandler,Charter,1951 N Alma School Rd.,Chandler,Maricopa,85225,N,,85,90.60%,9.40%,100%,90.60%,9.40%,100%,88.20%,11.80%,100%,89.40%,10.60%,100%,77.60%,8.20%,100%,12.90%,0.00%,8.20%
Archway Classical Academy - Cicero,Charter,7205 N Pima Rd.,Scottsdale,Maricopa,85250,N,,84,89.30%,10.70%,100%,91.70%,8.30%,100%,89.30%,10.70%,100%,83.30%,16.70%,100%,71.40%,4.80%,100%,20.20%,0.00%,3.60%
Archway Classical Academy - North Phoenix,Charter,13613 N Cave Creek Rd. Building C,Phoenix,Maricopa,85022,N,RN,87,88.50%,11.50%,100%,87.40%,12.60%,100%,83.90%,16.10%,100%,87.40%,12.60%,100%,75.90%,11.50%,100%,18.40%,2.30%,10.30%
Archway Classical Academy - Scottsdale,Charter,7496 E. Tierra Buena Ln.,Scottsdale,Maricopa,85260,Y,RN,90,95.60%,4.40%,100%,93.30%,6.70%,100%,91.10%,8.90%,100%,88.90%,11.10%,100%,88.90%,3.30%,100%,10.00%,1.10%,1.10%
Archway Classical Academy - Trivium,Charter,14130 W Mcdowell Rd.,Goodyear,Maricopa,85395,N,,81,97.50%,2.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,96.30%,3.70%,100%,84.00%,4.90%,100%,4.90%,0.00%,2.50%
Archway Classical Academy - Trivium West,Charter,2001 N Bullard Ave.,Goodyear,Maricopa,85395,N,,84,94.00%,6.00%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,92.90%,7.10%,100%,86.90%,4.80%,100%,13.10%,0.00%,2.40%
Archway Classical Academy - Veritas,Charter,3102 N 56th St.,Phoenix,Maricopa,85018,Y,LPN,89,83.10%,16.90%,100%,82.00%,18.00%,100%,83.10%,16.90%,100%,88.80%,11.20%,100%,75.30%,11.20%,100%,20.20%,0.00%,0.00%
Archway Classical Academy- Arete,Charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234,Y,RN,87,89.70%,10.30%,100%,88.50%,11.50%,100%,88.50%,11.50%,100%,87.40%,12.60%,100%,75.90%,10.30%,100%,16.10%,0.00%,4.60%
Archway Classical Academy Glendale,Charter,23276 N 83rd Ave.,Peoria,Maricopa,85383,Y,RN,86,87.20%,12.80%,100%,86.00%,14.00%,100%,86.00%,14.00%,100%,88.40%,11.60%,100%,81.40%,8.10%,100%,16.30%,0.00%,8.10%
Archway Classical Academy- Lincoln,Charter,2250 S Gilbert Rd.,Chandler,Maricopa,85286,Y,LPN,90,93.30%,6.70%,100%,96.70%,3.30%,100%,92.20%,7.80%,100%,95.60%,3.30%,98.90%,74.40%,4.40%,100%,6.70%,1.10%,2.20%
Arizona Academy Of Science And Technology,Charter,P.O. Box 13606,Phoenix,Maricopa,85002,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona Autism Charter School,Public,4433 North 7th St.,Phoenix,Maricopa,85014,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona Charter Academy,Charter,16011 N Dysart Rd.,Surprise,Maricopa,85378,N,,75,93.30%,0.00%,93.30%,96.00%,0.00%,96.00%,93.30%,0.00%,93.30%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Arizona Connections Academy,Charter,"335 E. Germann Rd., Suite 140",Gilbert,Maricopa,85297,N,,69,82.60%,17.40%,100%,79.70%,18.80%,98.60%,79.70%,18.80%,98.60%,84.10%,15.90%,100%,75.40%,14.50%,100%,17.40%,1.40%,18.80%
Arizona Conservatory For Arts And Academics Elementary,Charter,16454 N 28th Ave.,Phoenix,Maricopa,85053,N,,55,81.80%,18.20%,100%,83.60%,16.40%,100%,81.80%,18.20%,100%,83.60%,16.40%,100%,74.50%,16.40%,100%,16.40%,1.80%,0.00%
Arizona Cultural Academy,Private,7810 S 42nd Pl.,Phoenix,Maricopa,85034,N,,25,96.00%,4.00%,100%,96.00%,4.00%,100%,92.00%,8.00%,100%,96.00%,4.00%,100%,80.00%,4.00%,100%,4.00%,4.00%,0.00%
Arizona Desert Elementary School (San Luis),Public,P.O. Box 6870,San Luis,Yuma,85349,Y,LPN,82,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,90.20%,0.00%,100%,0.00%,0.00%,0.00%
Arizona Desert Elementary School (Tolleson),Public,8803 W Van Buren St.,Tolleson,Maricopa,85353,N,,79,98.70%,0.00%,98.70%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Arizona Language Preparatory,Charter,4645 E Marilyn Rd.,Phoenix,Maricopa,85032,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona School For The Deaf And Blind Tucson Campus,Public,1200 W Speedway Blvd. ,Tucson,Pima,85754,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arlington Elementary School,Public,P.O. Box 39,Arlington,Maricopa,85322,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arredondo Elementary School,Public,1330 E Carson Dr.,Tempe,Maricopa,85282,Y,RN,44,95.50%,0.00%,95.50%,95.50%,0.00%,95.50%,100%,0.00%,100%,97.70%,0.00%,97.70%,97.70%,2.30%,100%,2.30%,0.00%,0.00%
Arrowhead Christian Academy,Private,4030 W. Yorkshire Dr. ,Glendale,Maricopa,85308,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arrowhead Elementary School (Glendale),Public,7490 W. Union Hills Dr.,Glendale,Maricopa,85308,Y,LPN,102,95.10%,4.90%,100%,95.10%,4.90%,100%,96.10%,3.90%,100%,95.10%,4.90%,100%,89.20%,3.90%,100%,5.90%,0.00%,0.00%
Arrowhead Elementary School (Phoenix),Public,3820 E Nisbet Rd. ,Phoenix,Maricopa,85032,Y,RN,52,92.30%,3.80%,96.20%,96.20%,3.80%,100%,94.20%,3.80%,98.10%,98.10%,1.90%,100%,88.50%,3.80%,100%,3.80%,0.00%,0.00%
Arroyo School,Public,4535 W Cholla St. ,Glendale,Maricopa,85304,N,,39,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,89.70%,0.00%,100%,2.60%,0.00%,0.00%
Arthur M. Hamilton School,Public,2020 W. Durango St.,Phoenix,Maricopa,85009,N,,23,95.70%,0.00%,95.70%,95.70%,0.00%,95.70%,100%,0.00%,100%,95.70%,0.00%,95.70%,95.70%,0.00%,100%,0.00%,0.00%,0.00%
Arts Academy At Estrella Mountain,Charter,2504 S 91st Ave.,Tolleson,Maricopa,85353,N,,120,95.00%,0.00%,95.00%,95.80%,0.00%,95.80%,95.80%,0.00%,95.80%,99.20%,0.00%,99.20%,100%,0.00%,100%,2.50%,0.00%,0.00%
Ascension Lutheran School,Private,1220 W Magee Rd.,Tucson,Pima,85704,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ash Creek Elementary,Public,6460 Ehwy 181,Pearce,Cochise,86525,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ash Fork Joint Unified,Public,P.O. Box 247,Ash Fork,Yavapai,86320,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashland Ranch Elementary,Public,1945 South Ashland Ranch Rd.,Gilbert,Maricopa,85295,Y,RN,107,96.30%,3.70%,100%,95.30%,4.70%,100%,95.30%,4.70%,100%,97.20%,2.80%,100%,73.80%,2.80%,100%,6.50%,0.00%,2.80%
Ashton Ranch,Public,14898 W Acoma Dr. ,Surprise,Maricopa,85379,Y,LPN,65,90.80%,7.70%,98.50%,95.40%,4.60%,100%,92.30%,7.70%,100%,93.80%,4.60%,98.50%,75.40%,0.00%,100%,7.70%,0.00%,1.50%
ASU Preparatory Academy,Charter,735 EaSt. Filmore St.,Phoenix,Maricopa,85006,Y,RN,75,96.00%,4.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,85.30%,4.00%,100%,4.00%,0.00%,4.00%
ASU Preparatory Academy Polytechnic Elementary,Charter,6950 E. William's Field Rd.,Mesa,Maricopa,85212,N,,75,97.30%,2.70%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,98.70%,1.30%,100%,89.30%,0.00%,100%,2.70%,0.00%,0.00%
Athos Traditional Academy,Charter,3201 S Gilbert Rd.,Chandler,Maricopa,85286,N,,139,92.10%,7.90%,100%,92.10%,7.90%,100%,92.80%,7.20%,100%,91.40%,8.60%,100%,84.90%,7.20%,100%,12.90%,0.00%,6.50%
