SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
LAWRENCE W CROSS MIDDLE SCHOOL,1000 W CHAPALA DR,TUCSON,PIMA,85704,YES,RN,PUBLIC,183,95.1%,3.3%,99.5%,95.1%,2.7%,98.9%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,98.4%,1.6%,100.0%,3.8%,0.5%,0.5%
LE PERA ELEMENTARY SCHOOL,TAHBO RD AND MOHAVE RD,PARKER,LA PAZ,85371,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,5761 E BROWN RD,MESA,MARICOPA,85205,NO,,CHARTER,22,77.3%,13.6%,90.9%,77.3%,13.6%,90.9%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,13.6%,0.0%,4.5%
LEARNING FOUNDATION AND PERFORMING ARTS WARNER,3939 E WARNER RD,GILBERT,MARICOPA,85296,NO,,CHARTER,56,71.4%,10.7%,82.1%,71.4%,10.7%,82.1%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,10.7%,0.0%,10.7%
LEE KORNEGAY INTERMEDIATE SCHOOL,PO BOX 2070,MIAMI,GILA,85539,NO,,PUBLIC,80,62.5%,0.0%,62.5%,56.3%,0.0%,56.3%,96.3%,0.0%,96.3%,97.5%,0.0%,97.5%,96.3%,0.0%,96.3%,97.5%,0.0%,97.5%,0.0%,0.0%,0.0%
LEGACY TRADITIONAL  SCHOOL- GOODYEAR,16060 W LOWER BUCKEYE PWY,GOODYEAR,MARICOPA,85338,NO,,CHARTER,51,78.4%,11.8%,100.0%,78.4%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,11.8%,0.0%,11.8%
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,2747 S RECKER RD,GILBERT,MARICOPA,85295,NO,,CHARTER,115,76.5%,9.6%,86.1%,77.4%,8.7%,86.1%,82.6%,5.2%,87.8%,93.9%,5.2%,99.1%,95.7%,3.5%,99.1%,95.7%,4.3%,100.0%,9.6%,0.0%,5.2%
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,7900 S 43RD AVE,LAVEEN,MARICOPA,85339,NO,,CHARTER,114,99.1%,0.9%,100.0%,78.9%,0.0%,99.1%,81.6%,0.9%,82.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.9%,0.0%,0.0%
LEGACY TRADITIONAL SCHOOL - AVONDALE,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323,YES,RN,CHARTER,156,81.4%,5.8%,89.7%,81.4%,5.8%,89.7%,96.2%,3.2%,99.4%,96.2%,3.2%,99.4%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,5.8%,0.0%,1.3%
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138,NO,,CHARTER,135,88.1%,5.9%,94.1%,86.7%,5.9%,94.1%,98.5%,0.7%,99.3%,99.3%,0.7%,100.0%,97.8%,0.7%,98.5%,99.3%,0.7%,100.0%,5.2%,0.0%,0.7%
LEGACY TRADITIONAL SCHOOL - CHANDLER,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,NO,,CHARTER,136,80.9%,7.4%,88.2%,80.1%,6.6%,86.8%,94.9%,5.1%,100.0%,94.1%,5.9%,100.0%,92.6%,7.4%,100.0%,93.4%,6.6%,100.0%,10.3%,0.7%,5.1%
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,NO,,PUBLIC,123,56.9%,4.1%,61.0%,55.3%,3.3%,58.5%,93.5%,3.3%,96.7%,92.7%,4.1%,96.7%,92.7%,4.1%,96.7%,94.3%,3.3%,97.6%,5.7%,0.8%,3.3%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,136,82.4%,12.5%,94.9%,82.4%,13.2%,95.6%,91.2%,7.4%,99.3%,91.2%,8.8%,100.0%,92.6%,7.4%,100.0%,94.1%,5.9%,100.0%,16.9%,0.0%,1.5%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,84,76.2%,23.8%,100.0%,76.2%,23.8%,100.0%,94.0%,6.0%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,23.8%,0.0%,4.8%
LEGACY TRADITIONAL SCHOOL - NORTH PHOENIX,4545 N 99TH AVENUE,PHOENIX,MARICOPA,85037,NO,,CHARTER,188,95.2%,3.2%,98.4%,95.2%,3.2%,98.4%,98.9%,1.1%,100.0%,97.9%,1.6%,99.5%,98.9%,1.1%,100.0%,98.4%,1.1%,99.5%,3.2%,0.0%,3.2%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,138,99.3%,0.0%,100.0%,87.0%,7.2%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,7.2%,0.7%,2.2%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,NO,,CHARTER,63,68.3%,20.6%,95.2%,68.3%,20.6%,95.2%,92.1%,7.9%,100.0%,92.1%,7.9%,100.0%,90.5%,9.5%,100.0%,92.1%,7.9%,100.0%,22.2%,1.6%,6.3%
LEGACY TRADITIONAL SCHOOL - WEST SURPRISE,17300 W CACTUS ROAD,SURPRISE,MARICOPA,85388,NO,,CHARTER,84,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,10.7%,0.0%,4.8%
LEGACY TRADITIONAL SCHOOL- EAST MESA,10707 E GUADALUPE RD,MESA,MARICOPA,85212,NO,,CHARTER,96,85.4%,12.5%,99.0%,84.4%,13.5%,97.9%,92.7%,7.3%,100.0%,91.7%,8.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,13.5%,0.0%,6.3%
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,226,78.8%,10.2%,89.4%,78.3%,9.7%,88.5%,94.2%,4.0%,98.2%,93.4%,4.9%,98.2%,94.7%,3.5%,98.2%,95.1%,4.0%,99.1%,12.4%,0.0%,4.0%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,160,85.0%,3.8%,92.5%,84.4%,3.1%,91.3%,93.8%,6.3%,100.0%,93.8%,5.6%,99.4%,95.6%,3.8%,99.4%,95.6%,4.4%,100.0%,3.8%,0.0%,3.8%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,88,87.5%,11.4%,100.0%,87.5%,11.4%,100.0%,96.6%,3.4%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,92.0%,8.0%,100.0%,18.2%,0.0%,3.4%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,59,96.6%,0.0%,96.6%,93.2%,0.0%,93.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,10200 E GOLF LINKS RD,TUCSON,PIMA,85743,YES,RN,CHARTER,112,89.3%,2.7%,92.0%,88.4%,3.6%,92.0%,95.5%,4.5%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,97.3%,2.7%,100.0%,4.5%,0.0%,1.8%
LEMAN ACADEMY OF EXCELLENCE - EAST MESA,3761 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,YES,RN,CHARTER,91,90.1%,7.7%,97.8%,89.0%,7.7%,96.7%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,93.4%,5.5%,98.9%,95.6%,4.4%,100.0%,8.8%,1.1%,4.4%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,74,78.4%,8.1%,86.5%,79.7%,8.1%,87.8%,91.9%,6.8%,98.6%,90.5%,8.1%,98.6%,91.9%,6.8%,98.6%,91.9%,6.8%,98.6%,8.1%,0.0%,5.4%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,58,81.0%,10.3%,91.4%,81.0%,10.3%,91.4%,91.4%,6.9%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,96.6%,3.4%,100.0%,10.3%,0.0%,3.4%
LEMAN ACADEMY OF EXCELLENCE CENTRAL TUCSON,6188 E PIMA STREET,TUCSON,PIMA,85712,NO,,CHARTER,45,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,97.8%,2.2%,100.0%,95.6%,4.4%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,4.4%,0.0%,2.2%
LEMAN VIRTUAL ACADEMY,7720 N SILVERBELL RD,TUCSON,PIMA,85743,YES,RN,CHARTER,80,72.5%,2.5%,75.0%,70.0%,2.5%,72.5%,95.0%,2.5%,97.5%,93.8%,2.5%,96.3%,96.3%,1.3%,97.5%,95.0%,1.3%,96.3%,3.8%,0.0%,1.3%
LEONOR HAMBLY K-8,824 THORNE AVE,WINKLEMAN,GILA,85292,NO,,PUBLIC,21,90.5%,0.0%,90.5%,90.5%,0.0%,90.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,26,69.2%,26.9%,96.2%,65.4%,26.9%,92.3%,80.8%,15.4%,96.2%,84.6%,15.4%,100.0%,84.6%,15.4%,100.0%,80.8%,15.4%,96.2%,26.9%,0.0%,15.4%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,34,97.1%,0.0%,97.1%,97.1%,0.0%,97.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LIBERTY ELEMENTARY SCHOOL-85254,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,82,87.8%,7.3%,96.3%,86.6%,7.3%,95.1%,97.6%,2.4%,100.0%,96.3%,3.7%,100.0%,97.6%,2.4%,100.0%,95.1%,4.9%,100.0%,8.5%,0.0%,3.7%
LIBERTY ELEMENTARY SCHOOL-85326,19818 W HWY 85,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,82,92.7%,1.2%,95.1%,91.5%,1.2%,93.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.8%,1.2%,100.0%,100.0%,0.0%,100.0%,2.4%,0.0%,2.4%
LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,3715 N WASHINGTON AVE,DOUGLAS,COCHISE,85607,YES,LPN,CHARTER,26,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,116,91.4%,0.0%,92.2%,89.7%,0.9%,91.4%,98.3%,0.9%,99.1%,99.1%,0.0%,99.1%,97.4%,0.9%,98.3%,99.1%,0.0%,99.1%,1.7%,0.0%,0.0%
LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,75,92.0%,1.3%,93.3%,90.7%,1.3%,92.0%,98.7%,1.3%,100.0%,97.3%,2.7%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,2.7%,0.0%,1.3%
LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621,NO,,PUBLIC,23,95.7%,0.0%,95.7%,95.7%,0.0%,95.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LITTLETON ELEMENTARY SCHOOL,1252 S 115TH AVE,CASHION,MARICOPA,85323,NO,,PUBLIC,65,98.5%,1.5%,100.0%,90.8%,1.5%,100.0%,98.5%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,68,86.8%,1.5%,89.7%,86.8%,1.5%,89.7%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,0.0%
LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,63,85.7%,12.7%,100.0%,84.1%,14.3%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,15.9%,0.0%,1.6%
LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MESA,MARICOPA,85204,YES,RN,PUBLIC,63,90.5%,3.2%,93.7%,90.5%,3.2%,93.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.8%,0.0%,0.0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,YES,LPN,PUBLIC,57,50.9%,1.8%,52.6%,45.6%,1.8%,47.4%,91.2%,1.8%,94.7%,96.5%,1.8%,98.2%,98.2%,1.8%,100.0%,94.7%,1.8%,96.5%,1.8%,0.0%,1.8%
LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,PHOENIX,MARICOPA,85023,NO,,PUBLIC,148,90.5%,9.5%,100.0%,88.5%,11.5%,100.0%,98.6%,1.4%,100.0%,98.0%,2.0%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,14.2%,0.0%,0.0%
LORETTO CATHOLIC SCHOOL,1200 14TH ST,DOUGLAS,COCHISE,85607,NO,,PRIVATE,29,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,21,90.5%,4.8%,95.2%,85.7%,4.8%,90.5%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,TUCSON,PIMA,85706,YES,RN,PUBLIC,27,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.3%,0.0%,100.0%,96.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOURDES CATHOLIC ELEMENTARY SCHOOL,555 E PATAGONIA HWY NOGALES SANTA CRUZ 85621,,SANTA CRUZ,,NO,,PRIVATE,32,43.8%,0.0%,43.8%,43.8%,0.0%,43.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MESA,MARICOPA,85204,YES,RN,PUBLIC,53,98.1%,1.9%,100.0%,90.6%,1.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.9%,0.0%,0.0%
LOWELL SCHOOL,1121 S 3RD AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,59,78.0%,0.0%,78.0%,79.7%,0.0%,79.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOWELL SCHOOL,100 OLD DOUGLAS RD,BISBEE,COCHISE,85603,NO,,PUBLIC,36,72.2%,0.0%,72.2%,72.2%,0.0%,72.2%,94.4%,0.0%,94.4%,91.7%,0.0%,91.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,GLENDALE,MARICOPA,85307,NO,,PUBLIC,74,67.6%,0.0%,68.9%,66.2%,0.0%,67.6%,94.6%,0.0%,94.6%,95.9%,0.0%,95.9%,97.3%,1.4%,98.6%,97.3%,0.0%,97.3%,1.4%,0.0%,0.0%
MACARTHUR ELEMENTARY SCHOOL,1435 E MCLELLAN RD,MESA,MARICOPA,85203,YES,RN,PUBLIC,80,86.3%,10.0%,96.3%,80.0%,15.0%,95.0%,91.3%,8.8%,100.0%,91.3%,8.8%,100.0%,92.5%,7.5%,100.0%,100.0%,0.0%,100.0%,16.3%,0.0%,5.0%
MADISON #1 ELEMENTARY SCHOOL,5525 N 16TH ST,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,229,76.9%,4.4%,81.2%,74.2%,4.4%,78.6%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,4.4%,0.0%,4.4%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,47,95.7%,2.1%,100.0%,95.7%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
MADISON MEADOWS SCHOOL,225 W OCOTILLO RD,PHOENIX,MARICOPA,85013,YES,RN,PUBLIC,195,68.2%,0.0%,99.5%,66.7%,1.5%,99.5%,94.4%,3.6%,97.9%,96.4%,3.1%,99.5%,94.4%,3.6%,99.5%,95.9%,3.6%,99.5%,4.1%,0.0%,3.1%
MADISON PARK SCHOOL,1431 E CAMPBELL AVE,PHOENIX,MARICOPA,,NO,,CHARTER,107,81.3%,0.0%,81.3%,81.3%,0.0%,81.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.9%,0.0%,0.9%
MADISON TRADITIONAL ACADEMY,925 E MARYLAND AVE,PHOENIX,MARICOPA,85014,NO,,PUBLIC,89,94.4%,3.4%,97.8%,92.1%,5.6%,97.8%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,94.4%,5.6%,100.0%,96.6%,3.4%,100.0%,7.9%,0.0%,3.4%
MADRID NEIGHBORHOOD SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,NO,,PUBLIC,70,91.4%,0.0%,91.4%,91.4%,0.0%,91.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.6%,1.4%,100.0%,0.0%,0.0%,0.0%
MAGEE MIDDLE SCHOOL,8300 E SPEEDWAY BLVD,TUCSON,PIMA,85710,YES,RN,PUBLIC,135,94.8%,2.2%,97.0%,94.1%,2.2%,96.3%,97.8%,0.7%,98.5%,98.5%,0.7%,99.3%,97.0%,1.5%,98.5%,98.5%,0.7%,99.3%,3.0%,0.0%,0.7%
MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,FLORENCE,PINAL,85232,NO,,PUBLIC,61,60.7%,3.3%,68.9%,55.7%,3.3%,63.9%,93.4%,3.3%,96.7%,93.4%,3.3%,100.0%,93.4%,3.3%,96.7%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,50,66.0%,0.0%,72.0%,64.0%,0.0%,68.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,PHOENIX,MARICOPA,85015,YES,RN,PUBLIC,46,47.8%,2.2%,50.0%,47.8%,2.2%,50.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.2%,0.0%,0.0%
MAINE CONSOLIDATED SCHOOL,10 SPRING VALLEY RD,PARKS,COCONINO,86018,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAMMOTH SAN MANUEL PK-12-  JR/SR HIGH (6-12),711 MCNAB PARKWAY,SAN MANUEL,PINAL,85631,NO,,PUBLIC,47,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
MANSFELD MIDDLE SCHOOL,1300 E 6TH ST,TUCSON,PIMA,85719,YES,RN,PUBLIC,269,90.0%,2.2%,92.2%,89.6%,2.2%,91.8%,98.9%,1.1%,100.0%,98.5%,1.5%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,2.2%,0.4%,0.7%
"MANY FARMS COMMUNITY SCHOOL, INC - 86538",HWY 191,MANY FARMS,APACHE,86538,NO,,PUBLIC,31,64.5%,0.0%,67.7%,64.5%,0.0%,67.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.8%,3.2%,100.0%,0.0%,0.0%,0.0%
MANY FARMS PUBLIC SCHOOL - 86503,HWY 191,CHINLE,APACHE,86538,NO,,PUBLIC,41,95.1%,0.0%,95.1%,95.1%,0.0%,95.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MANZANITA ELEMENTARY SCHOOL,8430 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,90,86.7%,3.3%,90.0%,85.6%,3.3%,90.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,3.3%,0.0%,1.1%
MARC T ATKINSON MIDDLE SCHOOL,4315 N MARYVALE PKWY,PHOENIX,MARICOPA,85031,YES,LPN,PUBLIC,65,95.4%,0.0%,95.4%,92.3%,0.0%,100.0%,96.9%,0.0%,100.0%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,0.0%,0.0%,0.0%
MARICOPA WELLS MIDDLE SCHOOL,45012 W HONEYCUTT AVE,MARICOPA,PINAL,85239,YES,RN,PUBLIC,320,90.3%,4.4%,97.5%,90.3%,4.4%,97.5%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.5%,2.5%,100.0%,97.8%,2.2%,100.0%,6.3%,0.0%,2.2%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,98,84.7%,0.0%,85.7%,83.7%,0.0%,83.7%,100.0%,0.0%,100.0%,99.0%,0.0%,99.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,73,83.6%,5.5%,89.0%,79.5%,5.5%,84.9%,97.3%,1.4%,98.6%,97.3%,1.4%,98.6%,97.3%,1.4%,98.6%,97.3%,1.4%,98.6%,5.5%,0.0%,1.4%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,83,88.0%,6.0%,94.0%,88.0%,6.0%,94.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,3.6%
MARLEY PARK ELEMENTARY,15042 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,PUBLIC,116,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,98.3%,1.7%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,98.3%,1.7%,100.0%,8.6%,0.0%,1.7%
MARSHALL HUMPHREY II ELEMENTARY SCHOOL,125 S 132ND ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,46,93.5%,2.2%,100.0%,93.5%,2.2%,100.0%,97.8%,2.2%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.3%,0.0%,0.0%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,84,91.7%,0.0%,92.9%,79.8%,6.0%,85.7%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,7.1%,0.0%,3.6%
MARY BELLE MCCORKLE,4455 S MISSION RD,TUCSON,PIMA,85746,YES,RN,PUBLIC,140,100.0%,0.0%,100.0%,62.1%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARY C O'BRIEN ELEMENTARY SCHOOL,1400 N ELEVEN MILE CORNER RD,CASA GRANDE,PINAL,85294,YES,RN,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
