SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,107,95.3%,0.0%,100.0%,95.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,111,61.3%,4.5%,65.8%,58.6%,5.4%,64.0%,93.7%,5.4%,99.1%,93.7%,4.5%,98.2%,91.9%,5.4%,97.3%,90.1%,9.0%,99.1%,4.5%,0.0%,4.5%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,28,46.4%,0.0%,46.4%,53.6%,0.0%,53.6%,89.3%,0.0%,89.3%,96.4%,0.0%,96.4%,89.3%,0.0%,89.3%,96.4%,0.0%,96.4%,0.0%,0.0%,0.0%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,45,95.6%,2.2%,97.8%,97.8%,2.2%,100.0%,95.6%,4.4%,100.0%,97.8%,2.2%,100.0%,95.6%,4.4%,100.0%,97.8%,2.2%,100.0%,6.7%,0.0%,2.2%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,70,95.7%,4.3%,100.0%,85.7%,4.3%,97.1%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,4.3%,0.0%,4.3%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,139,100.0%,0.0%,100.0%,76.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,2.2%,0.0%,2.2%
ASANTE PREPARATORY ACADEMY,23251 N 166TH DR,SURPRISE,MARICOPA,85387,NO,,PUBLIC,58,93.1%,5.2%,100.0%,93.1%,5.2%,100.0%,100.0%,0.0%,100.0%,98.3%,1.7%,100.0%,100.0%,0.0%,100.0%,98.3%,1.7%,100.0%,5.2%,0.0%,0.0%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,25,76.0%,12.0%,100.0%,76.0%,12.0%,100.0%,88.0%,12.0%,100.0%,88.0%,12.0%,100.0%,88.0%,12.0%,100.0%,88.0%,12.0%,100.0%,12.0%,0.0%,12.0%
