SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Laguna,Public,N,,57,5001 N SHANNON RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.5%,0.0%,100.0%,96.5%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,98.2%,0.0%,98.2%,1.8%,0.0%,0.0%
Laird School,Public,Y,RN,67,1500 N SCOVEL ST,TEMPE,AZ,85281,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,91.0%,0.0%,100.0%,91.0%,0.0%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,1.5%
Lake Pleasant Elementary,Public,Y,RN,66,31501 N WESTLAND RD,PEORIA,AZ,85383,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,90.9%,7.6%,100.0%,87.9%,12.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.1%,0.0%,0.0%
Lake Valley Elementary School,Public,Y,RN,62,3900 N STARLIGHT DR,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,95.2%,4.8%,100.0%,67.7%,4.8%,72.6%,69.4%,3.2%,72.6%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,91.9%,4.8%,96.8%,4.8%,0.0%,4.8%
Lakeview Elementary School,Public,N,,92,3040 W YUCCA ST,PHOENIX,AZ,85029,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.9%,0.0%,100.0%,97.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Larkspur Elementary School,Public,Y,RN,75,2430 E LARKSPUR DR,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,94.7%,1.3%,96.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,2.7%,0.0%,1.3%
Larry C Kennedy School,Public,Y,RN,65,2702 E OSBORN RD,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,98.5%,1.5%,100.0%,93.8%,1.5%,100.0%,96.9%,1.5%,100.0%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,1.5%,0.0%,0.0%
Las Brisas Academy,Public,N,,45,18211 W LAS BRISAS DR,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,82.2%,6.7%,100.0%,88.9%,6.7%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,97.8%,2.2%,100.0%,100.0%,0.0%,100.0%,4.4%,0.0%,4.4%
Las Brisas Elementary School,Public,Y,RN,137,5805 W ALAMEDA RD,GLENDALE,AZ,85310,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,94.9%,4.4%,100.0%,94.9%,4.4%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,95.6%,4.4%,100.0%,96.4%,3.6%,100.0%,4.4%,0.0%,0.0%
Las Puertas Community School,Charter,N,,< 20,4560 S COACH DR,TUCSON,AZ,85714,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Sendas Elementary School,Public,Y,RN,112,3120 N RED MTN,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,95.5%,4.5%,100.0%,94.6%,5.4%,100.0%,90.2%,9.8%,100.0%,93.8%,6.3%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,99.1%,0.9%,100.0%,9.8%,0.0%,0.0%
Laveen Elementary School,Public,Y,RN,92,4141 W MCNEIL ST,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,98.9%,0.0%,100.0%,95.7%,3.3%,100.0%,95.7%,4.3%,100.0%,96.7%,3.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,6.5%,0.0%,0.0%
Lawrence W Cross Middle School,Public,Y,RN,156,1000 W CHAPALA DR,TUCSON,AZ,85704,PIMA COUNTY,GREATER THAN,91.7%,5.1%,96.8%,93.6%,5.1%,99.4%,91.7%,5.1%,97.4%,95.5%,3.8%,99.4%,96.2%,3.8%,100.0%,95.5%,4.5%,100.0%,96.2%,3.8%,100.0%,5.8%,0.6%,0.0%
Le Pera Elementary School,Public,N,,34,19121 TAHBO RD.,POSTON,AZ,85371,LA PAZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Leading Edge Academy - East Mesa Campus,Charter,N,,< 20,10222 E CALYPSO AVE,MESA,AZ,85208,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leading Edge Academy - Gilbert Elementary Campus,Charter,N,,30,717 W RAY RD,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,90.0%,10.0%,100.0%,66.7%,30.0%,100.0%,66.7%,30.0%,100.0%,86.7%,13.3%,100.0%,83.3%,16.7%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,36.7%,0.0%,10.0%
Leading Edge Academy - San Tan Campus (queen Creek),Charter,N,,< 20,7377 W HUNT HWY,QUEEN CREEK,AZ,85142,PINAL COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leading Edge Academy Maricopa,Charter,N,,72,18700 N PORTER RD,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,95.8%,0.0%,95.8%,79.2%,2.8%,83.3%,70.8%,2.8%,75.0%,93.1%,0.0%,93.1%,95.8%,1.4%,97.2%,97.2%,0.0%,97.2%,95.8%,0.0%,95.8%,4.2%,0.0%,0.0%
Learning Foundation And Performing Arts Alta Mesa,Charter,N,,21,5761 E BROWN RD,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,85.7%,14.3%,100.0%,76.2%,19.0%,100.0%,76.2%,19.0%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,14.3%,0.0%,0.0%
Learning Foundation And Performing Arts Stapley,Charter,N,,25,851 N STAPLEY DR BLDG 6,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,96.0%,4.0%,100.0%,88.0%,12.0%,100.0%,72.0%,28.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,28.0%,0.0%,0.0%
Learning Foundation And Performing Arts Warner,Charter,N,,90,3939 E WARNER RD,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,90.0%,10.0%,100.0%,77.8%,21.1%,98.9%,77.8%,21.1%,98.9%,90.0%,10.0%,100.0%,88.9%,10.0%,98.9%,85.6%,14.4%,100.0%,90.0%,10.0%,100.0%,23.3%,0.0%,0.0%
Lee Kornegay Intermediate School,Public,N,,100,4635 S RAGUS RD,MIAMI,AZ,85539,GILA COUNTY,GREATER THAN,97.0%,1.0%,98.0%,75.0%,1.0%,77.0%,75.0%,1.0%,76.0%,99.0%,1.0%,100.0%,98.0%,1.0%,99.0%,98.0%,1.0%,99.0%,99.0%,1.0%,100.0%,1.0%,0.0%,0.0%
Legacy Traditional School,Charter,Y,RN,93,7900 S 43RD AVE,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,97.8%,1.1%,98.9%,93.5%,4.3%,100.0%,93.5%,4.3%,100.0%,95.7%,4.3%,100.0%,96.8%,3.2%,100.0%,97.8%,2.2%,100.0%,96.8%,3.2%,100.0%,9.7%,0.0%,9.7%
Legacy Traditional School,Charter,N,,134,3500 W CORTARO FARMS RD,TUCSON,AZ,85742,PIMA COUNTY,GREATER THAN,94.0%,4.5%,98.5%,88.8%,8.2%,98.5%,84.3%,11.2%,97.0%,94.0%,4.5%,98.5%,94.8%,3.7%,98.5%,91.8%,6.0%,97.8%,95.5%,4.5%,100.0%,6.0%,6.0%,2.2%
Legacy Traditional School - Avondale,Charter,N,,154,12320 W VAN BUREN ST,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,86.4%,9.7%,100.0%,85.7%,10.4%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.7%,1.3%,100.0%,7.1%,0.0%,7.1%
Legacy Traditional School - Casa Grande,Charter,Y,LPN,120,1274 E O'NEIL DR,CASA GRANDE,AZ,85138,PINAL COUNTY,GREATER THAN,95.8%,4.2%,100.0%,91.7%,5.0%,100.0%,91.7%,5.0%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,0.8%,4.2%
Legacy Traditional School - Maricopa,Charter,N,,119,17760 REGENT DR,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,97.5%,2.5%,100.0%,97.5%,0.0%,100.0%,93.3%,4.2%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,4.2%,0.0%,0.0%
Legacy Traditional School - Peoria,Charter,Y,LPN,< 20,7877 W HILLCREST BLVD,PEORIA,AZ,85383,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Legacy Traditional School Gilbert,Charter,N,,125,2747 S RECKER RD,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,79.2%,14.4%,100.0%,78.4%,15.2%,100.0%,92.8%,7.2%,100.0%,92.0%,8.0%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,9.6%,0.8%,8.0%
Legacy Traditional School- Glendale,Charter,Y,LPN,89,13901 N 67TH AVE,GLENDALE,AZ,85306,MARICOPA COUNTY,GREATER THAN,89.9%,10.1%,100.0%,89.9%,0.0%,100.0%,85.4%,4.5%,100.0%,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,10.1%,0.0%,10.1%
Legacy Traditional School- North Chandler,Charter,N,,36,1900 N MCQUEEN RD,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,94.4%,5.6%,100.0%,86.1%,13.9%,100.0%,86.1%,13.9%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,91.7%,8.3%,100.0%,16.7%,0.0%,0.0%
Legacy Traditional Surprise,Charter,N,,159,14506 W SWEETWATER AVE,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,96.9%,3.1%,100.0%,88.1%,11.3%,100.0%,87.4%,11.9%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,11.3%,0.0%,3.1%
Legacy Traditional/ Queen Creek,Charter,N,,111,41800 N BARNES PKWY,SAN TAN VALLEY,AZ,85140,PINAL COUNTY,GREATER THAN,92.8%,7.2%,100.0%,81.1%,15.3%,100.0%,79.3%,17.1%,100.0%,91.0%,9.0%,100.0%,91.9%,8.1%,100.0%,92.8%,7.2%,100.0%,91.9%,8.1%,100.0%,65.8%,0.0%,7.2%
Legend Springs Elementary,Public,Y,RN,110,21150 N ARROWHEAD LOOP RD,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,99.1%,0.9%,100.0%,98.2%,1.8%,100.0%,3.6%,0.0%,0.9%
Lehi Elementary School,Public,Y,RN,55,2555 N STAPLEY DR,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Leman Academy Of Excellence,Charter,N,,< 20,1000 E WILCOX DR,SIERRA VISTA,AZ,85635,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leman Academy Of Excellence,Charter,Y,RN,86,7720 N SILVERBELL RD,TUCSON,AZ,85743,PIMA COUNTY,GREATER THAN,90.7%,9.3%,100.0%,80.2%,10.5%,93.0%,76.7%,14.0%,93.0%,90.7%,9.3%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,91.9%,8.1%,100.0%,11.6%,3.5%,8.1%
Leonor Hambly K-8,Public,N,,24,824 THORNE AVE,WINKELMAN,AZ,85192,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Arts Academy,Charter,N,,< 20,3015 S POWER RD,MESA,AZ,85212,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty Elementary School,Public,Y,LPN,46,19818 W US HIGHWAY 85,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.8%,0.0%,97.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.8%,2.2%,100.0%,100.0%,0.0%,100.0%,2.2%,0.0%,0.0%
Liberty Elementary School,Public,Y,RN,76,5125 E MARILYN RD,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,97.4%,2.6%,100.0%,90.8%,5.3%,96.1%,89.5%,5.3%,94.7%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,5.3%,1.3%,2.6%
Liberty Elementary School,Public,Y,RN,103,5495 S LIBERTY AVE,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.1%,0.0%,100.0%,97.1%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Traditional Charter School,Charter,N,,40,4027 N 45TH AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,80.0%,0.0%,87.5%,100.0%,0.0%,100.0%,90.0%,0.0%,90.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Traditional Saddleback Charter School In Douglas,Charter,N,,24,3715 N WASHINGTON AVE,DOUGLAS,AZ,85607,COCHISE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Traditional School,Public,Y,RN,83,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,95.2%,4.8%,100.0%,91.6%,7.2%,100.0%,90.4%,8.4%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,97.6%,2.4%,100.0%,9.6%,1.2%,1.2%
Lifelong Learning Academy,Charter,N,,< 20,3295 W ORANGE GROVE RD,TUCSON,AZ,85741,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln Elementary School,Public,Y,RN,103,930 S SIRRINE,MESA,AZ,85210,MARICOPA COUNTY,GREATER THAN,98.1%,0.0%,98.1%,95.1%,0.0%,99.0%,99.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Lindbergh Elementary School,Public,Y,RN,79,930 S LAZONA DR,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.5%,0.0%,98.7%,97.5%,0.0%,98.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,1.3%,1.3%,0.0%
Little Red School House,Public,N,,26,7 DUQUESNE RD,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Littleton Elementary School,Public,Y,RN,62,1252 S 115TH AVE,CASHION,AZ,85323,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.8%,0.0%,100.0%,96.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Logos Christian Academy,Private,N,,< 20,9745 N TREKELL RD,CASA GRANDE,AZ,85122,PINAL COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loma Linda Elementary School,Public,Y,LPN,65,2002 E CLARENDON AVE,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.5%,0.0%,100.0%,98.5%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Lone Mountain Elementary School,Public,N,,87,5250 E MONTGOMERY RD,CAVE CREEK,AZ,85331,MARICOPA COUNTY,GREATER THAN,95.4%,3.4%,98.9%,90.8%,5.7%,96.6%,90.8%,5.7%,96.6%,95.4%,3.4%,98.9%,95.4%,3.4%,98.9%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,6.9%,1.1%,5.7%
Longfellow Elementary School,Public,Y,RN,102,345 S HALL,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,99.0%,0.0%,100.0%,99.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,99.0%,0.0%,99.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Longview Elementary School,Public,Y,LPN,60,1209 E INDIAN SCHOOL RD,PHOENIX,AZ,85014,MARICOPA COUNTY,GREATER THAN,98.3%,1.7%,100.0%,86.7%,3.3%,90.0%,86.7%,3.3%,90.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.3%,0.0%,0.0%
Lookout Mountain School,Public,N,,128,15 W CORAL GABLES DR,PHOENIX,AZ,85023,MARICOPA COUNTY,GREATER THAN,96.9%,3.1%,100.0%,97.7%,0.0%,97.7%,96.9%,3.1%,100.0%,99.2%,0.8%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,99.2%,0.8%,100.0%,5.5%,0.0%,5.5%
Loretto Catholic School,Private,N,,24,1200 E 14TH ST,DOUGLAS,AZ,85607,COCHISE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Los Amigos Elementary School,Public,Y,RN,90,2200 E DREXEL RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.8%,0.0%,97.8%,96.7%,0.0%,96.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Los Ninos Elementary School,Public,Y,RN,97,5445 S ALVERNON WAY,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,99.0%,0.0%,99.0%,99.0%,0.0%,99.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Lourdes Catholic,Private,Y,LPN,33,555 E PATAGONIA HWY,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Lowell Elementary School,Public,Y,RN,99,920 E BROADWAY RD,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,96.0%,0.0%,96.0%,98.0%,0.0%,100.0%,98.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,2.0%,0.0%
Lowell School,Public,N,,58,1121 S 3RD AVE,PHOENIX,AZ,85003,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.3%,0.0%,98.3%,98.3%,0.0%,98.3%,98.3%,0.0%,98.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,1.7%,0.0%
Luke Elementary School,Public,Y,LPN,99,7300 N DYSART RD,GLENDALE,AZ,85307,MARICOPA COUNTY,GREATER THAN,99.0%,1.0%,100.0%,97.0%,2.0%,99.0%,97.0%,2.0%,99.0%,99.0%,0.0%,99.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,2.0%,1.0%,1.0%
Macarthur Elementary School,Public,Y,RN,65,1435 E MCLELLAN RD,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,93.8%,6.2%,100.0%,90.8%,7.7%,98.5%,90.8%,7.7%,98.5%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,93.8%,6.2%,100.0%,98.5%,1.5%,100.0%,9.2%,0.0%,7.7%
Madison #1 Elementary School,Public,Y,RN,223,5525 N 16TH ST,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,94.2%,4.0%,100.0%,92.8%,4.9%,98.2%,99.1%,0.9%,100.0%,98.7%,1.3%,100.0%,99.1%,0.9%,100.0%,98.2%,1.8%,100.0%,6.3%,2.2%,0.9%
Madison Elementary School,Public,Y,RN,69,849 S SUNNYVALE,MESA,AZ,85206,MARICOPA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,92.8%,4.3%,100.0%,92.8%,4.3%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,100.0%,0.0%,100.0%,5.8%,0.0%,0.0%
Madison Meadows School,Public,Y,RN,209,225 W OCOTILLO RD,PHOENIX,AZ,85013,MARICOPA COUNTY,GREATER THAN,93.8%,1.4%,95.2%,58.9%,2.4%,61.7%,56.0%,0.0%,56.5%,94.7%,1.9%,96.7%,96.7%,1.4%,98.1%,95.7%,2.4%,98.1%,97.6%,1.4%,99.0%,4.3%,0.0%,1.4%
Madison Tradition Academy,Public,N,,92,925 E MARYLAND AVE,PHOENIX,AZ,85014,MARICOPA COUNTY,GREATER THAN,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,3.3%,0.0%,0.0%
Magee,Public,Y,RN,194,8300 E SPEEDWAY BLVD,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,96.9%,3.1%,100.0%,88.1%,3.6%,92.8%,86.1%,3.6%,90.7%,96.9%,3.1%,100.0%,97.4%,2.6%,100.0%,96.9%,3.1%,100.0%,100.0%,0.0%,100.0%,3.6%,0.0%,3.6%
Magma Ranch K-8,Public,Y,,103,10890 DESERT MOUNTAIN BLVD,FLORENCE,AZ,85132,PINAL COUNTY,GREATER THAN,93.2%,0.0%,93.2%,39.8%,2.9%,42.7%,39.8%,2.9%,42.7%,91.3%,2.9%,94.2%,94.2%,2.9%,97.1%,92.2%,2.9%,95.1%,94.2%,2.9%,97.1%,1.0%,1.9%,0.0%
Magnet Traditional,Public,Y,RN,54,2602 N 23RD AVE,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Maie Bartlett Heard School,Public,Y,,73,2301 W THOMAS RD,PHOENIX,AZ,85015,MARICOPA COUNTY,GREATER THAN,95.9%,1.4%,97.3%,91.8%,1.4%,93.2%,91.8%,1.4%,93.2%,95.9%,0.0%,95.9%,95.9%,0.0%,95.9%,97.3%,0.0%,97.3%,98.6%,0.0%,98.6%,1.4%,0.0%,0.0%
Maine Consolidated School,Public,N,,< 20,10 SPRING VALLEY RD,PARKS,AZ,86018,COCONINO COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammoth Elementary School,Public,N,,< 20,111 W DUNGAN DR,MAMMOTH,AZ,85618,PINAL COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
