SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Desert Mountain Middle School,Public,Y,RN,75,35959 N 7TH AVE,DESERT HILLS,AZ,85086,MARICOPA COUNTY,GREATER THAN,90.7%,9.3%,100.0%,93.3%,5.3%,100.0%,96.0%,4.0%,100.0%,92.0%,8.0%,100.0%,93.3%,6.7%,100.0%,96.0%,4.0%,100.0%,97.3%,2.7%,100.0%,14.7%,0.0%,0.0%
Desert Oasis Elementary School,Public,Y,LPN,106,8802 W MCDOWELL RD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,99.1%,0.9%,100.0%,98.1%,0.9%,100.0%,98.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,0.9%,0.0%,0.0%
Desert Oasis Elementary School,Public,Y,RN,51,17161 W BAJADA RD,SURPRISE,AZ,85387,MARICOPA COUNTY,GREATER THAN,96.1%,2.0%,98.0%,86.3%,9.8%,100.0%,84.3%,9.8%,98.0%,96.1%,2.0%,98.0%,98.0%,2.0%,100.0%,96.1%,2.0%,98.0%,98.0%,2.0%,100.0%,9.8%,0.0%,0.0%
Desert Palms School,Public,Y,LPN,50,11441 N 55TH AVE,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,96.0%,0.0%,96.0%,82.0%,2.0%,84.0%,76.0%,2.0%,78.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.0%,0.0%,98.0%,4.0%,0.0%,0.0%
Desert Sage Elementary School,Public,Y,RN,88,4035 W ALAMEDA RD,GLENDALE,AZ,85310,MARICOPA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,87.5%,11.4%,100.0%,86.4%,11.4%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,94.3%,5.7%,100.0%,95.5%,4.5%,100.0%,11.4%,0.0%,3.4%
Desert Sands Middle School,Public,Y,RN,393,6308 W CAMPBELL AVE,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,99.2%,0.8%,100.0%,90.6%,0.0%,90.6%,89.1%,0.8%,89.8%,99.5%,0.8%,100.3%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,99.5%,0.0%,99.5%,0.8%,0.5%,0.0%
Desert Shadows Elementary School,Public,Y,RN,88,5902 E SWEETWATER AVE,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,95.5%,3.4%,98.9%,95.5%,3.4%,98.9%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,2.3%
Desert Shadows Middle School,Public,Y,RN,234,340 BOULEVARD DEL REY DAVID,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,1.3%,100.0%,0.4%,0.9%,0.0%
Desert Sky Middle School,Public,N,,231,9850 E RANKIN LOOP,TUCSON,AZ,85747,PIMA COUNTY,GREATER THAN,98.3%,1.7%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,96.5%,3.5%,100.0%,98.3%,1.7%,100.0%,4.3%,0.0%,0.0%
Desert Spirit School,Public,Y,RN,114,7355 W ORANGEWOOD AVE,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,95.6%,0.0%,95.6%,97.4%,0.0%,97.4%,91.2%,0.0%,91.2%,97.4%,0.0%,97.4%,99.1%,0.0%,99.1%,97.4%,0.0%,97.4%,99.1%,0.0%,99.1%,0.0%,0.0%,0.0%
Desert Springs Preparatory Elementary School,Public,Y,RN,65,6010 E ACOMA DR,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,89.2%,9.2%,98.5%,87.7%,10.8%,100.0%,87.7%,10.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,90.8%,9.2%,100.0%,92.3%,7.7%,100.0%,15.4%,3.1%,9.2%
Desert Star Elementary School,Public,Y,RN,69,2131 S 157TH AVE,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,98.6%,1.4%,100.0%,94.2%,4.3%,100.0%,94.2%,4.3%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
Desert Sun Academy,Charter,N,,61,27880 N 64TH ST,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,GREATER THAN,90.2%,8.2%,98.4%,90.2%,4.9%,96.7%,91.8%,4.9%,98.4%,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,95.1%,4.9%,100.0%,93.4%,6.6%,100.0%,9.8%,0.0%,1.6%
Desert Thunder School,Public,Y,LPN,95,16750 W GARFIELD ST,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,94.7%,2.1%,100.0%,94.7%,2.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,2.1%,0.0%,1.1%
Desert Trails Elementary School,Public,Y,RN,91,4315 E CASHMAN DR,PHOENIX,AZ,85050,MARICOPA COUNTY,GREATER THAN,97.8%,2.2%,100.0%,90.1%,7.7%,100.0%,86.8%,2.2%,100.0%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,95.6%,4.4%,100.0%,98.9%,1.1%,100.0%,20.9%,0.0%,20.9%
Desert Valley Elementary,Public,Y,RN,75,12901 N 63RD AVE,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,89.3%,8.0%,97.3%,86.7%,8.0%,94.7%,85.3%,8.0%,93.3%,90.7%,8.0%,98.7%,92.0%,6.7%,98.7%,90.7%,8.0%,98.7%,93.3%,6.7%,100.0%,8.0%,0.0%,8.0%
Desert View Elementary,Public,N,,127,1508 N 10TH AVE,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Desert Vista Elementary School,Public,Y,LPN,107,3701 E BROADWAY AVE,APACHE JUNCTION,AZ,85119,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.8%,0.0%,2.8%
Desert Willow Elementary,Public,N,,78,4322 E DESERT WILLOW PKWY,CAVE CREEK,AZ,85331,MARICOPA COUNTY,GREATER THAN,93.6%,6.4%,100.0%,88.5%,9.0%,97.4%,88.5%,9.0%,97.4%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,93.6%,5.1%,98.7%,94.9%,5.1%,100.0%,9.0%,0.0%,3.8%
Desert Wind Middle School,Public,Y,RN,38,35565 W HONEYCUTT RD,MARICOPA,,85239,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,86.8%,0.0%,100.0%,86.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Destiny School,Public,N,,28,798 E PRICKLY PEAR DR,GLOBE,AZ,85501,GILA COUNTY,GREATER THAN,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,89.3%,10.7%,100.0%,10.7%,0.0%,10.7%
Devereux Of Arizona,Private,Y,RN,< 20,6436 E SWEETWATER AVE,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diamond Canyon Elementary,Public,Y,RN,122,40004 N LIBERTY BELL WAY,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,95.1%,4.9%,100.0%,88.5%,11.5%,100.0%,88.5%,11.5%,100.0%,95.9%,3.3%,99.2%,95.1%,4.9%,100.0%,95.1%,4.1%,99.2%,97.5%,0.0%,97.5%,13.9%,0.8%,13.9%
Dietz Elementary School,Public,Y,RN,62,7575 E PALMA ST,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,93.5%,0.0%,93.5%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,93.5%,0.0%,93.5%,98.4%,1.6%,100.0%,96.8%,0.0%,96.8%,100.0%,0.0%,100.0%,1.6%,0.0%,0.0%
