SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,59,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,84.7%,5.1%,89.8%,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,1.7%,0.0%,1.7%
ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,TUCSON,PIMA,85710,NO,,CHARTER,70,98.6%,1.4%,100.0%,91.4%,2.9%,97.1%,90.0%,2.9%,95.7%,88.6%,1.4%,90.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,1.4%
ACCEL - METRO CAMPUS (LATCH SCHOOL),10251 N 35TH AVE,PHOENIX,MARICOPA,85051,YES,LPN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,21,95.2%,4.8%,100.0%,61.9%,9.5%,71.4%,61.9%,9.5%,71.4%,90.5%,4.8%,95.2%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,9.5%,0.0%,4.8%
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,43,88.4%,0.0%,88.4%,97.7%,0.0%,97.7%,93.0%,0.0%,93.0%,100.0%,0.0%,100.0%,90.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,,NO,,CHARTER,59,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,13.6%,0.0%,5.1%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,112,99.1%,0.9%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.7%,0.0%,0.0%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,43,88.4%,11.6%,100.0%,90.7%,9.3%,100.0%,93.0%,7.0%,100.0%,93.0%,7.0%,100.0%,95.3%,4.7%,100.0%,88.4%,11.6%,100.0%,100.0%,0.0%,100.0%,55.8%,4.7%,0.0%
ADVENTURE SCHOOL,5757 E PIMA ST,TUCSON,PIMA,85712,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,84,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,3.6%,0.0%,3.6%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,NO,,PUBLIC,39,100.0%,0.0%,100.0%,97.4%,0.0%,97.4%,97.4%,0.0%,97.4%,94.9%,0.0%,94.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,LPN,PUBLIC,93,98.9%,0.0%,100.0%,97.8%,1.1%,98.9%,97.8%,1.1%,98.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.9%,0.0%,100.0%,100.0%,0.0%,100.0%,1.1%,0.0%,0.0%
ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,PIMA,85711,YES,RN,PUBLIC,268,97.0%,2.6%,99.6%,97.0%,2.6%,99.6%,96.6%,2.6%,99.3%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.5%,99.6%,98.5%,1.5%,100.0%,3.4%,3.4%,0.7%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,68,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,0.0%
ALPINE ELEMENTARY SCHOOL,COUNTY RD 2052,ALPINE,APACHE,85920,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,76,98.7%,1.3%,100.0%,97.4%,1.3%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,121,97.5%,1.7%,99.2%,93.4%,2.5%,96.7%,90.1%,3.3%,94.2%,96.7%,1.7%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,100.0%,0.0%,100.0%,5.0%,0.0%,0.0%
ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,TUCSON,PIMA,85735,NO,,PUBLIC,79,100.0%,0.0%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,78,100.0%,0.0%,100.0%,94.9%,3.8%,100.0%,94.9%,3.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.8%,0.0%,1.3%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,59,91.5%,8.5%,100.0%,72.9%,23.7%,100.0%,71.2%,23.7%,100.0%,89.8%,10.2%,100.0%,88.1%,11.9%,100.0%,91.5%,8.5%,100.0%,89.8%,10.2%,100.0%,25.4%,1.7%,8.5%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,151,98.0%,2.0%,100.0%,74.8%,17.9%,99.3%,73.5%,18.5%,98.7%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.7%,3.3%,100.0%,98.0%,2.0%,100.0%,19.9%,0.7%,2.6%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,55,89.1%,10.9%,100.0%,80.0%,18.2%,100.0%,80.0%,18.2%,100.0%,87.3%,12.7%,100.0%,90.9%,9.1%,100.0%,89.1%,10.9%,100.0%,94.5%,5.5%,100.0%,25.5%,0.0%,7.3%
AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,23908 S HAWES RD,QUEEN CREEK,MARICOPA,,NO,,CHARTER,173,91.3%,8.7%,100.0%,79.8%,20.2%,100.0%,78.0%,22.0%,100.0%,93.6%,6.4%,100.0%,89.6%,10.4%,100.0%,89.6%,10.4%,100.0%,92.5%,7.5%,100.0%,24.3%,0.0%,6.4%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,101,98.0%,2.0%,100.0%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,98.0%,2.0%,100.0%,97.0%,3.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,10.9%,0.0%,3.0%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,51,96.1%,3.9%,100.0%,76.5%,21.6%,100.0%,80.4%,17.6%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,21.6%,0.0%,3.9%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,150,93.3%,6.7%,100.0%,70.7%,26.0%,98.7%,69.3%,27.3%,98.7%,92.7%,7.3%,100.0%,94.0%,6.0%,100.0%,94.0%,6.0%,100.0%,94.0%,6.0%,100.0%,30.7%,1.3%,5.3%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,43,95.3%,4.7%,100.0%,76.7%,20.9%,100.0%,74.4%,20.9%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,20.9%,0.0%,4.7%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,25,100.0%,0.0%,100.0%,84.0%,0.0%,88.0%,84.0%,0.0%,88.0%,96.0%,0.0%,96.0%,100.0%,0.0%,100.0%,96.0%,0.0%,96.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,24,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,91.7%,0.0%,100.0%,95.8%,0.0%,95.8%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,41,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,92.7%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,TUCSON,PIMA,85705,YES,RN,PUBLIC,233,97.4%,1.3%,100.0%,97.4%,1.7%,99.6%,97.4%,1.7%,99.6%,97.4%,1.3%,100.0%,97.9%,1.3%,99.1%,98.3%,1.3%,100.0%,99.1%,0.9%,100.0%,2.1%,2.1%,0.9%
AMY L. HOUSTON ACADEMY,7139 S 10TH ST,PHOENIX,MARICOPA,85042,YES,Both,PUBLIC,27,85.2%,0.0%,85.2%,85.2%,0.0%,85.2%,85.2%,0.0%,85.2%,85.2%,0.0%,85.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,42,100.0%,0.0%,100.0%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,0.0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,164,97.0%,3.0%,100.0%,93.9%,6.1%,100.0%,94.5%,5.5%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,96.3%,3.7%,100.0%,95.7%,4.3%,100.0%,9.1%,0.0%,3.0%
ANNUNCIATION CATHOLIC SCHOOL,32648 N CAVE CREEK RD,CAVE CREEK,MARICOPA,85331,YES,RN,PRIVATE,26,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,26.9%,7.7%,34.6%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,7.7%,0.0%,7.7%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,94,96.8%,3.2%,100.0%,93.6%,2.1%,95.7%,93.6%,2.1%,95.7%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,98.9%,1.1%,100.0%,5.3%,0.0%,2.1%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,79,97.5%,2.5%,100.0%,92.4%,7.6%,100.0%,89.9%,10.1%,100.0%,94.9%,5.1%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,100.0%,0.0%,100.0%,12.7%,0.0%,0.0%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,63,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,96.8%,3.2%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,7.9%,0.0%,4.8%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,207,98.1%,1.9%,100.0%,94.2%,1.9%,100.0%,94.7%,1.9%,100.0%,98.6%,1.4%,100.0%,97.6%,1.9%,99.5%,98.1%,1.9%,100.0%,97.1%,2.9%,100.0%,2.9%,2.9%,1.0%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,93,95.7%,4.3%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,96.8%,3.2%,100.0%,97.8%,2.2%,100.0%,96.8%,3.2%,100.0%,97.8%,2.2%,100.0%,5.4%,0.0%,2.2%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,96,100.0%,0.0%,100.0%,94.8%,3.1%,99.0%,94.8%,3.1%,99.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,ARIZONA CITY,PINAL,,NO,,PUBLIC,95,95.8%,1.1%,96.8%,68.4%,1.1%,69.5%,64.2%,1.1%,65.3%,93.7%,1.1%,94.7%,95.8%,1.1%,96.8%,94.7%,1.1%,95.8%,96.8%,2.1%,98.9%,2.1%,1.1%,1.1%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,217,88.0%,12.0%,100.0%,66.4%,15.2%,82.9%,64.5%,17.5%,83.4%,87.6%,12.4%,100.0%,87.6%,12.4%,100.0%,85.3%,12.0%,97.2%,88.5%,11.5%,100.0%,18.0%,0.0%,11.5%
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,PHOENIX,MARICOPA,,NO,,CHARTER,71,88.7%,11.3%,100.0%,87.3%,12.7%,100.0%,85.9%,14.1%,100.0%,85.9%,12.7%,100.0%,87.3%,12.7%,100.0%,85.9%,12.7%,100.0%,88.7%,11.3%,100.0%,16.9%,0.0%,9.9%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,67,100.0%,0.0%,100.0%,97.0%,0.0%,97.0%,97.0%,0.0%,97.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,109,100.0%,0.0%,100.0%,94.5%,0.0%,100.0%,93.6%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA SCHOOL FOR THE DEAF & BLIND,1200 W SPEEDWAY BLVD,TUCSON,PIMA,85745,YES,Both,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,37,91.9%,8.1%,100.0%,83.8%,8.1%,91.9%,83.8%,8.1%,91.9%,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,8.1%,0.0%,8.1%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,69,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,97.1%,2.9%,100.0%,94.2%,5.8%,100.0%,7.2%,0.0%,2.9%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,73,97.3%,1.4%,98.6%,93.2%,1.4%,94.5%,93.2%,1.4%,94.5%,97.3%,1.4%,98.6%,97.3%,1.4%,98.6%,98.6%,1.4%,100.0%,95.9%,4.1%,100.0%,4.1%,0.0%,1.4%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,33,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ASANTE PREPARATORY ACADEMY,23251 N 166TH DR,SURPRISE,MARICOPA,85387,YES,LPN,PUBLIC,38,97.4%,2.6%,100.0%,84.2%,13.2%,100.0%,86.8%,13.2%,100.0%,97.4%,2.6%,100.0%,94.7%,5.3%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,13.2%,0.0%,2.6%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,25,96.0%,4.0%,100.0%,88.0%,4.0%,92.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,4.0%,4.0%,4.0%
ASHLAND ELEMENTARY,1945 S ASHLAND RANCH,GILBERT,MARICOPA,85295,YES,RN,PUBLIC,119,92.4%,2.5%,95.0%,88.2%,4.2%,96.6%,91.6%,5.0%,96.6%,98.3%,1.7%,100.0%,98.3%,0.8%,99.2%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,8.4%,0.0%,0.0%
ASHTON RANCH ELEMENTARY SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,80,96.3%,3.8%,100.0%,93.8%,5.0%,100.0%,93.8%,5.0%,100.0%,96.3%,3.8%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,96.3%,3.8%,100.0%,6.3%,0.0%,3.8%
ASU PREPARATORY ACADEMY - PHOENIX MIDDLE SCHOOL,735 E FILLMORE ST,PHOENIX,MARICOPA,,YES,RN,CHARTER,117,99.1%,0.9%,100.0%,91.5%,3.4%,100.0%,90.6%,4.3%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,3.4%,0.0%,0.9%
