SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
CRISMON ELEMENTARY SCHOOL,825 W MEDINA AVE,MESA,MARICOPA,85210,NO,,PUBLIC,51,78.4%,0.0%,100.0%,76.5%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,5.9%,0.0%,2.0%
CROWN CHARTER SCHOOL,12450 W MARYLAND AVE,LITCHFIELD PARK,MARICOPA,85340,NO,,CHARTER,22,9.1%,0.0%,86.4%,9.1%,0.0%,86.4%,86.4%,0.0%,86.4%,68.2%,0.0%,86.4%,86.4%,0.0%,86.4%,77.3%,0.0%,77.3%,0.0%,0.0%,0.0%
DAVIS BILINGUAL MAGNET SCHOOL,500 W ST MARY'S RD,TUCSON,PIMA,85701,YES,LPN,PUBLIC,57,78.9%,1.8%,98.2%,78.9%,1.8%,98.2%,94.7%,1.8%,96.5%,96.5%,1.8%,98.2%,94.7%,1.8%,96.5%,96.5%,1.8%,98.2%,1.8%,0.0%,1.8%
DEGRAZIA ELEMENTARY SCHOOL,5051 W OVERTON RD,TUCSON,PIMA,85742,NO,,PUBLIC,44,72.7%,4.5%,77.3%,72.7%,4.5%,77.3%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,4.5%
DENNEHOTSO BOARDING SCHOOL,EAST HWY. 160,DENNEHOTSO,APACHE,86535,NO,,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
DESERT CANYON ELEMENTARY,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,MARICOPA,85255,YES,RN,PUBLIC,133,76.7%,1.5%,99.2%,69.9%,2.3%,98.5%,92.5%,7.5%,100.0%,91.7%,8.3%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,9.0%,0.0%,1.5%
DESERT CHRISTIAN K-8 SCHOOL - E WRIGHTSTOWN RD,9415 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,PRIVATE,37,78.4%,21.6%,100.0%,78.4%,21.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,21.6%,0.0%,0.0%
DESERT COVE ELEMENTARY SCHOOL,11020 N 28TH ST,PHOENIX,MARICOPA,85028,YES,RN,CHARTER,62,62.9%,0.0%,96.8%,62.9%,0.0%,96.8%,98.4%,0.0%,98.4%,98.4%,0.0%,98.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,88,69.3%,4.5%,97.7%,67.0%,4.5%,97.7%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,97.7%,2.3%,100.0%,5.7%,0.0%,2.3%
DESERT HEIGHTS PREPARATORY ACADEMY,3540 W UNION HILLS DR,GLENDALE,MARICOPA,85308,NO,,CHARTER,73,84.9%,1.4%,100.0%,80.8%,4.1%,100.0%,95.9%,4.1%,100.0%,94.5%,5.5%,100.0%,97.3%,2.7%,100.0%,98.6%,1.4%,100.0%,17.8%,0.0%,1.4%
DESERT HORIZON ELEMENTARY SCHOOL,8525 W OSBORN RD,PHOENIX,MARICOPA,85037,NO,,PUBLIC,87,72.4%,5.7%,100.0%,72.4%,5.7%,100.0%,94.3%,4.6%,100.0%,97.7%,2.3%,100.0%,95.4%,3.4%,100.0%,97.7%,2.3%,100.0%,5.7%,0.0%,2.3%
DESERT MARIGOLD SCHOOL,6210 S 28TH ST,PHOENIX,MARICOPA,85042,NO,,CHARTER,30,53.3%,36.7%,93.3%,43.3%,40.0%,83.3%,70.0%,30.0%,100.0%,70.0%,30.0%,100.0%,70.0%,30.0%,100.0%,70.0%,30.0%,100.0%,40.0%,0.0%,33.3%
DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,LAVEEN,MARICOPA,85339,NO,,PUBLIC,98,56.1%,2.0%,95.9%,57.1%,2.0%,95.9%,89.8%,1.0%,90.8%,87.8%,2.0%,89.8%,89.8%,1.0%,90.8%,88.8%,2.0%,90.8%,2.0%,0.0%,1.0%
DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305,NO,,PUBLIC,69,84.1%,4.3%,100.0%,81.2%,4.3%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,7.2%,0.0%,1.4%
DESERT MOUNTAIN ELEMENTARY - 85142,22301 S HAWES RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,126,75.4%,9.5%,100.0%,74.6%,9.5%,100.0%,91.3%,8.7%,100.0%,92.1%,7.9%,100.0%,92.9%,7.1%,100.0%,99.2%,0.8%,100.0%,12.7%,0.0%,4.0%
DESERT MOUNTAIN SCHOOL - 85086,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,57,80.7%,19.3%,100.0%,77.2%,21.1%,98.2%,89.5%,10.5%,100.0%,91.2%,8.8%,100.0%,93.0%,7.0%,100.0%,94.7%,5.3%,100.0%,21.1%,0.0%,10.5%
DESERT OASIS ELEMENTARY SCHOOL-85037,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037,NO,,PUBLIC,80,18.8%,0.0%,100.0%,15.0%,0.0%,100.0%,97.5%,0.0%,100.0%,96.3%,0.0%,100.0%,97.5%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT OASIS ELEMENTARY SCHOOL-85387,17161 W BAJADA RD,SURPRISE,MARICOPA,85387,NO,,PUBLIC,72,75.0%,1.4%,100.0%,75.0%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,45,15.6%,0.0%,71.1%,13.3%,0.0%,68.9%,93.3%,0.0%,100.0%,100.0%,0.0%,100.0%,97.8%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,86,83.7%,5.8%,100.0%,84.9%,5.8%,100.0%,97.7%,2.3%,100.0%,96.5%,3.5%,100.0%,96.5%,2.3%,98.8%,97.7%,2.3%,100.0%,5.8%,0.0%,1.2%
DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,61,77.0%,18.0%,100.0%,70.5%,18.0%,100.0%,91.8%,8.2%,100.0%,91.8%,6.6%,100.0%,90.2%,8.2%,100.0%,93.4%,6.6%,100.0%,19.7%,0.0%,14.8%
DESERT SHADOWS MIDDLE SCHOOL,340 BLVD DEL REY DAVID,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,251,98.0%,1.2%,100.0%,98.4%,0.8%,100.0%,98.0%,1.2%,99.6%,99.2%,0.8%,100.0%,98.8%,0.8%,99.6%,99.6%,0.4%,100.0%,1.6%,0.0%,0.0%
DESERT SKY MIDDLE SCHOOL,9850 E RANKIN LOOP,TUCSON,PIMA,85747,NO,,PUBLIC,252,78.6%,1.6%,98.8%,78.6%,1.6%,98.8%,98.0%,1.6%,100.0%,98.4%,1.6%,100.0%,98.0%,1.6%,100.0%,97.2%,1.6%,98.8%,1.6%,0.0%,1.6%
DESERT SONORA ELEMENTARY SCHOOL,301 N CARLISLE AVE,SOMERTON,YUMA,85350,NO,,PUBLIC,61,96.7%,1.6%,100.0%,95.1%,1.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,0.0%,0.0%
DESERT SPIRIT,7355 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,81,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.2%,0.0%,0.0%
DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,58,75.9%,3.4%,100.0%,60.3%,12.1%,96.6%,89.7%,6.9%,96.6%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,15.5%,0.0%,6.9%
DESERT STAR ACADEMY,"5599 S HWY 95, UNIT 2",FORT MOHAVE,MOHAVE,86426,NO,,CHARTER,49,83.7%,14.3%,98.0%,83.7%,14.3%,98.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,14.3%,0.0%,14.3%
DESERT STAR SCHOOL,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338,YES,LPN,PUBLIC,66,56.1%,3.0%,100.0%,54.5%,4.5%,100.0%,93.9%,6.1%,100.0%,95.5%,4.5%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,6.1%,0.0%,3.0%
DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266,NO,,PUBLIC,52,90.4%,9.6%,100.0%,75.0%,9.6%,100.0%,88.5%,11.5%,100.0%,90.4%,9.6%,100.0%,90.4%,9.6%,100.0%,90.4%,9.6%,100.0%,26.9%,0.0%,9.6%
DESERT THUNDER SCHOOL,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338,YES,LPN,PUBLIC,99,72.7%,0.0%,100.0%,70.7%,2.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.0%,0.0%,0.0%
DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,95,64.2%,0.0%,97.9%,61.1%,7.4%,96.8%,100.0%,0.0%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,91.6%,8.4%,100.0%,15.8%,0.0%,10.5%
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,60,65.0%,1.7%,96.7%,60.0%,1.7%,96.7%,93.3%,3.3%,96.7%,98.3%,1.7%,100.0%,96.7%,3.3%,100.0%,98.3%,1.7%,100.0%,3.3%,0.0%,1.7%
DESERT VIEW ELEMENTARY - SAN LUIS,1508 N 10TH AVE,SAN LUIS,YUMA,85349,NO,,PUBLIC,112,99.1%,0.0%,100.0%,99.1%,0.0%,100.0%,98.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT VIEW ELEMENTARY SCHOOL - PHOENIX,8621 N 3RD ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,50,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,0.0%
DESERT VIEW MIDDLE SCHOOL,3777 W 22ND LANE,YUMA,YUMA,85364,NO,,CHARTER,84,91.7%,2.4%,100.0%,91.7%,2.4%,100.0%,100.0%,0.0%,100.0%,98.8%,1.2%,100.0%,100.0%,0.0%,100.0%,98.8%,1.2%,100.0%,2.4%,0.0%,0.0%
DESERT WILLOW ELEMENTARY SCHOOL - CAVE CREEK,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,70,85.7%,12.9%,100.0%,84.3%,14.3%,100.0%,85.7%,14.3%,100.0%,87.1%,12.9%,100.0%,87.1%,12.9%,100.0%,87.1%,12.9%,100.0%,17.1%,0.0%,12.9%
DESERT WIND MIDDLE SCHOOL,35565 W HONEYCUTT RD,MARICOPA,PINAL,85139,YES,RN,PUBLIC,294,67.3%,5.8%,99.0%,65.0%,6.8%,99.0%,96.6%,2.4%,99.0%,96.6%,2.7%,99.3%,96.9%,2.0%,99.0%,97.6%,1.7%,99.3%,7.5%,0.0%,7.5%
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,30,93.3%,6.7%,100.0%,86.7%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,6.7%,0.0%,6.7%
DIAMOND CANYON ELEMENTARY,40004 NORTH LIBERTY BELL WAY,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,100,75.0%,12.0%,93.0%,80.0%,11.0%,99.0%,89.0%,10.0%,99.0%,90.0%,9.0%,99.0%,90.0%,8.0%,98.0%,90.0%,9.0%,99.0%,15.0%,0.0%,8.0%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,LPN,PUBLIC,45,93.3%,0.0%,97.8%,93.3%,0.0%,97.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,68,95.6%,1.5%,100.0%,95.6%,1.5%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,2.9%,0.0%,0.0%
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,99,46.5%,1.0%,97.0%,24.2%,1.0%,97.0%,89.9%,1.0%,97.0%,93.9%,1.0%,94.9%,94.9%,1.0%,96.0%,94.9%,2.0%,97.0%,1.0%,0.0%,1.0%
DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,TUCSON,PIMA,85712,YES,LPN,PUBLIC,141,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,98.6%,1.4%,100.0%,99.3%,0.7%,100.0%,98.6%,1.4%,100.0%,99.3%,0.7%,100.0%,1.4%,0.0%,0.7%
DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,RN,PUBLIC,167,85.6%,1.2%,97.6%,82.6%,1.2%,94.6%,97.0%,0.0%,98.2%,97.6%,0.0%,98.2%,96.4%,0.6%,98.2%,97.6%,0.0%,97.6%,1.8%,0.0%,0.0%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,77,84.4%,0.0%,84.4%,85.7%,0.0%,85.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,72,98.6%,1.4%,100.0%,48.6%,1.4%,98.6%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
DOVE MOUNTAIN K-8,5650 W MOORE RD,MARANA,PIMA,85658,NO,,PUBLIC,112,91.1%,3.6%,94.6%,91.1%,3.6%,94.6%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,97.3%,1.8%,99.1%,98.2%,1.8%,100.0%,2.7%,0.0%,1.8%
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,NO,,PUBLIC,65,52.3%,47.7%,100.0%,44.6%,55.4%,100.0%,93.8%,6.2%,100.0%,93.8%,6.2%,100.0%,96.9%,3.1%,100.0%,98.5%,1.5%,100.0%,15.4%,0.0%,3.1%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,81,85.2%,6.2%,98.8%,77.8%,8.6%,98.8%,91.4%,7.4%,98.8%,91.4%,7.4%,98.8%,93.8%,4.9%,98.8%,93.8%,4.9%,98.8%,4.9%,0.0%,3.7%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,119,82.4%,11.8%,100.0%,81.5%,12.6%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,14.3%,0.8%,2.5%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,31,96.8%,0.0%,100.0%,96.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DREAM CITY CHRISTIAN SCHOOLS,21000 N 75TH AVE,GLENDALE,MARICOPA,85308,YES,RN,PRIVATE,44,65.9%,31.8%,100.0%,56.8%,38.6%,100.0%,77.3%,22.7%,100.0%,77.3%,22.7%,100.0%,77.3%,22.7%,100.0%,77.3%,22.7%,100.0%,38.6%,38.6%,18.2%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,75,78.7%,0.0%,98.7%,77.3%,0.0%,98.7%,98.7%,0.0%,98.7%,98.7%,0.0%,98.7%,98.7%,0.0%,98.7%,98.7%,0.0%,98.7%,0.0%,0.0%,0.0%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,34,91.2%,8.8%,100.0%,88.2%,8.8%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,91.2%,8.8%,100.0%,94.1%,5.9%,100.0%,8.8%,0.0%,8.8%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,99,88.9%,4.0%,100.0%,88.9%,4.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,4.0%,0.0%,2.0%
DYSART MIDDLE SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,161,76.4%,1.2%,100.0%,74.5%,1.2%,100.0%,98.1%,1.2%,100.0%,98.8%,1.2%,100.0%,98.1%,1.2%,99.4%,98.1%,1.2%,100.0%,2.5%,0.6%,1.2%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,35,91.4%,0.0%,91.4%,91.4%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,24,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLE COLLEGE PREP - S MOUNTAIN,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,60,100.0%,0.0%,100.0%,65.0%,1.7%,98.3%,95.0%,3.3%,98.3%,96.7%,1.7%,98.3%,96.7%,1.7%,98.3%,96.7%,1.7%,100.0%,3.3%,0.0%,3.3%
EAGLE RIDGE ELEMENTARY SCHOOL - PHONEIX,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,45,86.7%,0.0%,95.6%,82.2%,0.0%,95.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,NO,RN,PUBLIC,82,54.9%,37.8%,92.7%,53.7%,39.0%,92.7%,73.2%,26.8%,100.0%,73.2%,26.8%,100.0%,75.6%,23.2%,98.8%,76.8%,23.2%,100.0%,41.5%,0.0%,17.1%
ECHO CANYON K-8 - SCOTTSDALE,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,29,75.9%,0.0%,100.0%,72.4%,0.0%,100.0%,96.6%,3.4%,100.0%,93.1%,6.9%,100.0%,96.6%,3.4%,100.0%,93.1%,6.9%,100.0%,10.3%,0.0%,3.4%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,47,93.6%,6.4%,100.0%,91.5%,8.5%,100.0%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,6.4%,0.0%,6.4%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,NO,,PUBLIC,113,98.2%,0.0%,100.0%,97.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,84,82.1%,11.9%,94.0%,82.1%,11.9%,94.0%,86.9%,11.9%,98.8%,86.9%,11.9%,98.8%,88.1%,11.9%,100.0%,89.3%,10.7%,100.0%,13.1%,0.0%,9.5%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,23,47.8%,8.7%,100.0%,47.8%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,8.7%,0.0%,8.7%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,162,72.8%,11.1%,100.0%,72.2%,12.3%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,90.1%,9.9%,100.0%,91.4%,8.6%,100.0%,16.7%,0.6%,0.0%
EDUPRIZE SCHOOL - QUEEN CREEK,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,186,72.0%,4.3%,100.0%,69.9%,4.3%,100.0%,89.2%,10.2%,99.5%,89.8%,10.2%,100.0%,89.8%,9.7%,99.5%,90.9%,9.1%,100.0%,20.4%,0.0%,7.5%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,69,94.2%,0.0%,98.6%,89.9%,0.0%,97.1%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,97.1%,0.0%,97.1%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EL CAPITAN PUBLIC SCHOOL,255 N COTTONWOOD ST,COLORADO CITY,MOHAVE,86021,YES,RN,PUBLIC,32,37.5%,46.9%,84.4%,0.0%,59.4%,59.4%,34.4%,50.0%,84.4%,25.0%,56.3%,81.3%,31.3%,53.1%,84.4%,31.3%,50.0%,81.3%,59.4%,0.0%,59.4%
ELGIN ELEMENTARY SCHOOL,23 ELGIN ROAD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,20,45.0%,5.0%,85.0%,40.0%,5.0%,85.0%,85.0%,5.0%,95.0%,85.0%,5.0%,95.0%,85.0%,10.0%,95.0%,85.0%,0.0%,85.0%,10.0%,5.0%,5.0%
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,80,85.0%,3.8%,100.0%,85.0%,3.8%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,5.0%,0.0%,1.3%
ELOY JUNIOR HIGH SCHOOL - E PHOENIX AVE,404 E PHOENIX AVE,ELOY,PINAL,85131,NO,,PUBLIC,61,96.7%,1.6%,100.0%,96.7%,1.6%,100.0%,96.7%,0.0%,96.7%,96.7%,0.0%,96.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,0.0%,0.0%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,116,92.2%,0.9%,100.0%,92.2%,0.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.9%,0.0%,0.0%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,108,91.7%,4.6%,100.0%,90.7%,4.6%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,94.4%,4.6%,100.0%,97.2%,2.8%,100.0%,6.5%,0.0%,2.8%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,NO,,PRIVATE,<20,22.2%,66.7%,100.0%,11.1%,77.8%,100.0%,61.1%,38.9%,100.0%,61.1%,38.9%,100.0%,61.1%,38.9%,100.0%,61.1%,38.9%,100.0%,83.3%,0.0%,38.9%
EMMANUEL LUTHERAN SCHOOL,715 W SOUTHERN AVE,TEMPE,MARICOPA,85282,NO,,PRIVATE,<20,60.0%,0.0%,100.0%,60.0%,0.0%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,13.3%,0.0%,13.3%
EMPOWER COLLEGE PREP,2411 W COLTER ST,PHOENIX,MARICOPA,85015,NO,,CHARTER,80,25.0%,0.0%,30.0%,22.5%,0.0%,100.0%,73.8%,0.0%,73.8%,75.0%,0.0%,75.0%,73.8%,0.0%,73.8%,78.8%,0.0%,78.8%,0.0%,0.0%,0.0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,68,85.3%,5.9%,100.0%,83.8%,5.9%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,97.1%,2.9%,100.0%,13.2%,0.0%,1.5%
