SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,79,99%,1%,100%,97%,1%,99%,97%,1%,99%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,41,90%,10%,100%,90%,10%,100%,78%,22%,100%,90%,10%,100%,90%,10%,100%,88%,12%,100%,90%,10%,100%,10%,0%,10%
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,77,97%,3%,100%,100%,0%,100%,100%,0%,100%,97%,3%,100%,99%,1%,100%,97%,3%,100%,99%,1%,100%,3%,0%,1%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,23,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
AIRE LIBRE ELEMENTARY SCHOOL,16428 N 21ST ST,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,38,95%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
ALFRED F GARCIA SCHOOL,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,46,98%,2%,100%,98%,0%,100%,98%,0%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,0%,2%,0%
ALHAMBRA TRADITIONAL SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,YES,LPN,PUBLIC,88,99%,1%,100%,90%,2%,92%,89%,2%,91%,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,3%,0%,1%
ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,PIMA,85711,YES,RN,PUBLIC,242,100%,0%,100%,97%,1%,98%,96%,4%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,3%,2%,0%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,69,99%,1%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,99%,1%,100%,4%,0%,1%
ALPINE ELEMENTARY SCHOOL,COUNTY RD 2052,ALPINE,APACHE,85920,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,97,99%,1%,100%,81%,1%,82%,81%,1%,82%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,0%,0%,1%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,105,98%,1%,100%,97%,1%,98%,96%,1%,97%,97%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,2%,1%
ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,TUCSON,PIMA,85735,NO,,PUBLIC,71,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,81,96%,2%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,95%,2%,98%,0%,0%,2%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,25,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,92%,4%,96%,96%,4%,100%,96%,4%,100%,4%,0%,4%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,76,89%,11%,100%,61%,34%,97%,55%,39%,97%,83%,14%,97%,83%,17%,100%,87%,12%,99%,89%,11%,100%,43%,0%,12%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,159,93%,7%,100%,73%,23%,100%,72%,23%,100%,91%,8%,99%,92%,8%,100%,92%,8%,100%,92%,8%,100%,28%,1%,7%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,64,94%,6%,100%,73%,17%,100%,75%,16%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,92%,8%,100%,25%,2%,3%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,75,93%,7%,100%,83%,13%,97%,84%,12%,97%,92%,8%,100%,91%,9%,100%,92%,8%,100%,93%,7%,100%,19%,1%,8%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,42,95%,5%,100%,90%,7%,100%,90%,7%,100%,93%,5%,98%,95%,5%,100%,95%,5%,100%,95%,5%,100%,10%,0%,5%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,127,87%,13%,100%,80%,18%,99%,76%,20%,98%,83%,14%,97%,88%,12%,100%,87%,13%,100%,89%,11%,100%,24%,1%,6%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,22,95%,0%,95%,68%,27%,95%,68%,27%,95%,95%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,27%,0%,0%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,45,91%,9%,100%,73%,22%,100%,73%,22%,100%,84%,13%,98%,87%,13%,100%,89%,11%,100%,91%,9%,100%,31%,2%,9%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,133,92%,8%,100%,84%,14%,100%,83%,15%,100%,92%,7%,98%,92%,8%,100%,92%,8%,100%,95%,5%,100%,19%,0%,6%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,26,96%,0%,96%,88%,0%,88%,92%,0%,92%,92%,0%,92%,92%,0%,92%,100%,0%,100%,96%,0%,96%,0%,0%,0%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,21,95%,0%,95%,90%,0%,95%,90%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,95%,0%,95%,0%,0%,0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,22,95%,5%,100%,82%,18%,100%,82%,18%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,95%,5%,100%,18%,9%,0%
AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,TUCSON,PIMA,85705,YES,RN,PUBLIC,278,96%,2%,100%,99%,1%,100%,97%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
AMY L. HOUSTON ACADEMY,7139 S 10TH ST,PHOENIX,MARICOPA,85042,YES,Both,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,48,98%,2%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,169,99%,1%,100%,92%,4%,100%,93%,4%,100%,99%,1%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,9%,0%,0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,105,97%,3%,100%,89%,4%,93%,90%,3%,93%,97%,3%,100%,96%,4%,100%,98%,2%,100%,97%,3%,100%,5%,1%,3%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,76,91%,8%,99%,86%,12%,97%,86%,12%,97%,92%,8%,100%,91%,9%,100%,89%,11%,100%,92%,8%,100%,17%,1%,8%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,64,98%,2%,100%,95%,3%,98%,94%,5%,98%,100%,0%,100%,100%,0%,100%,98%,0%,100%,100%,0%,100%,3%,0%,2%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,239,98%,2%,100%,94%,3%,97%,94%,3%,97%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,3%,0%,2%
APACHE ELEMENTARY SCHOOL,10482 N. SKELETON CANYON RD,PORTAL,COCHISE,85632,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,89,99%,1%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
APOLLO MIDDLE SCHOOL,265 W NEBRASKA,TUCSON,PIMA,,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARCADIA NEIGHBORHOOD LEARNING CENTER,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,52,94%,6%,100%,90%,6%,96%,88%,6%,94%,96%,4%,100%,94%,6%,100%,96%,4%,100%,94%,6%,100%,10%,0%,4%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,135,93%,7%,100%,93%,7%,100%,91%,9%,100%,92%,8%,100%,94%,6%,100%,93%,7%,100%,95%,5%,100%,12%,0%,4%
ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY,2920 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,21,100%,0%,100%,100%,0%,100%,90%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,97,98%,2%,100%,96%,3%,100%,96%,3%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,275,88%,12%,99%,79%,19%,98%,79%,19%,98%,88%,11%,99%,86%,13%,99%,88%,12%,100%,88%,12%,100%,20%,0%,19%
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,PHOENIX,MARICOPA,,NO,,CHARTER,53,92%,8%,100%,96%,4%,100%,87%,13%,100%,100%,0%,100%,92%,8%,100%,94%,6%,100%,92%,8%,100%,23%,0%,23%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,23,96%,4%,100%,87%,4%,100%,87%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,121,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,71,100%,0%,100%,89%,0%,93%,89%,0%,93%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA SCHOOL FOR THE DEAF & BLIND,1200 W SPEEDWAY BLVD,TUCSON,PIMA,85745,YES,Both,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,24,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL-85032,3820 E NISBET RD,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,49,94%,4%,98%,98%,0%,98%,96%,4%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,96%,4%,100%,0%,4%,0%
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,84,96%,4%,100%,93%,7%,100%,93%,7%,100%,96%,4%,100%,95%,5%,100%,98%,2%,100%,98%,2%,100%,8%,0%,4%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,75,99%,1%,100%,92%,3%,96%,91%,3%,95%,99%,1%,100%,97%,3%,100%,99%,1%,100%,97%,3%,100%,4%,0%,1%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,29,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,0%
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,158,99%,0%,99%,99%,0%,100%,70%,0%,100%,99%,0%,99%,99%,0%,99%,99%,0%,99%,97%,0%,97%,3%,0%,0%
ASH CREEK ELEMENTARY,6460 E HIGHWAY 181,PEARCE,COCHISE,85625,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,31,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ASHTON RANCH ELEMENTARY SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,77,94%,4%,97%,86%,9%,96%,86%,10%,96%,94%,4%,97%,94%,4%,97%,94%,4%,97%,94%,4%,97%,12%,0%,5%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,85,99%,1%,100%,95%,2%,99%,95%,2%,99%,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,2%,0%,1%
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212,NO,,PUBLIC,75,95%,5%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,92%,8%,100%,96%,4%,100%,95%,5%,100%,8%,0%,5%
ATONEMENT LUTHERAN SCHOOL,4001 W BEARDSLEY RD,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,143,95%,5%,100%,100%,0%,100%,90%,10%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,97%,3%,100%,9%,1%,4%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,146,94%,6%,100%,90%,6%,98%,89%,8%,98%,95%,5%,100%,95%,5%,100%,97%,3%,100%,95%,5%,100%,8%,0%,3%
AUGUSTUS H SHAW JR SCHOOL,123 N 13TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,26,96%,4%,100%,92%,8%,100%,92%,8%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,8%,0%,4%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,,CHARTER,30,100%,0%,100%,80%,7%,100%,73%,0%,80%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,7%,0%,0%
AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,YES,LPN,PUBLIC,138,96%,0%,96%,85%,0%,85%,82%,0%,82%,98%,0%,98%,98%,0%,98%,98%,0%,98%,99%,0%,99%,0%,0%,0%
AWAKENING SEED SCHOOL,6630 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AZ ASPIRE ACADEMY,2150 E SOUTHERN AVE,TEMPE,MARICOPA,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAGDAD ELEMENTARY SCHOOL,515 BREEZY CIR,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,40,100%,0%,100%,98%,3%,100%,98%,3%,100%,100%,0%,100%,98%,3%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,103,99%,1%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,100%,0%,100%,3%,0%,0%
BALSZ SCHOOL,4309 E BELLEVIEW ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,195,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
BARBARA BUSH ELEMENTARY SCHOOL,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,75,97%,3%,100%,92%,7%,100%,89%,8%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,9%,0%,0%
BARCELONA ELEMENTARY SCHOOL,6530 N 44TH AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,138,99%,1%,100%,99%,1%,99%,99%,1%,99%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,0%,1%,0%
BASHA ELEMENTARY,3535 S BASHA RD,CHANDLER,MARICOPA,85248,NO,,PUBLIC,109,96%,4%,100%,91%,9%,100%,91%,9%,100%,97%,3%,100%,93%,7%,100%,94%,6%,100%,97%,3%,100%,17%,1%,3%
