SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Aire Libre Elementary School,Public,Y,RN,39,16428 N 21ST ST,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Ajo Elementary,Public,Y,,29,111 N WELL RD,AJO,AZ,85321,PIMA COUNTY,GREATER THAN,96.6%,3.4%,100.0%,96.6%,0.0%,96.6%,82.8%,0.0%,82.8%,96.6%,0.0%,96.6%,96.6%,0.0%,96.6%,3.4%,0.0%,0.0%
Alfred F Garcia School,Public,Y,LPN,48,1441 S 27TH AVE,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,89.6%,0.0%,89.6%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,97.9%,0.0%,97.9%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Alhambra Traditional School,Public,Y,LPN,97,3736 W OSBORN RD,PHOENIX,AZ,85019,MARICOPA COUNTY,GREATER THAN,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.1%,0.0%,0.0%
Alice Byrne Elementary School,Public,N,,45,811 W 16TH ST,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,4.4%,0.0%,4.4%
All Aboard Charter School,Charter,N,,24,5827 N 35TH AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,91.7%,4.2%,95.8%,91.7%,4.2%,95.8%,87.5%,4.2%,91.7%,95.8%,4.2%,100.0%,4.2%,0.0%,4.2%
All Saints Catholic School,Private,N,,≤ 20,1425 E YAQUI ST,SIERRA VISTA,AZ,85650,COCHISE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All Saints Episcopal Day School,Private,Y,RN,44,6300 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,93.2%,4.5%,97.7%,95.5%,4.5%,100.0%,9.1%,0.0%,2.3%
Alpine Elementary School,Private,N,,≤ 20,#101 COUNTY ROAD 2311,ALPINE,AZ,85920,APACHE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alta E Butler School,Public,N,,807,2037 W TONTO ST,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,99.6%,0.1%,99.8%,99.5%,0.1%,99.6%,99.9%,0.1%,100.0%,99.5%,0.1%,99.6%,100.0%,0.0%,100.0%,0.1%,0.0%,0.0%
Alta Loma School,Public,Y,RN,92,9750 N 87TH AVE,PEORIA,AZ,85345,MARICOPA COUNTY,GREATER THAN,96.7%,1.1%,97.8%,96.7%,1.1%,97.8%,98.9%,0.0%,98.9%,96.7%,1.1%,97.8%,100.0%,0.0%,100.0%,1.1%,0.0%,0.0%
Alta Vista Elementary,Public,Y,RN,87,8710 N 31ST AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,93.1%,1.1%,94.3%,95.4%,0.0%,95.4%,100.0%,0.0%,100.0%,94.3%,0.0%,94.3%,98.9%,1.1%,100.0%,2.3%,0.0%,0.0%
Ambassador Academy,Charter,N,,≤ 20,3820 E RAY RD,PHOENIX,AZ,85044,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amberlea Elementary,Public,N,,76,8455 W VIRGINIA AVE,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,94.7%,3.9%,98.7%,98.7%,1.3%,100.0%,96.1%,3.9%,100.0%,97.4%,2.6%,100.0%,96.1%,3.9%,100.0%,3.9%,0.0%,0.0%
American Heritage Academy,Charter,N,,≤ 20,2030 E CHERRY ST,COTTONWOOD,AZ,86326,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Heritage Academy,Charter,N,,≤ 20,132 W GENERAL CROOK TRL,CAMP VERDE,AZ,86322,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Leadership Academy - Gilbert,Charter,N,,108,3155 S SAN TAN VILLAGE PKWY,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,85.2%,13.9%,99.1%,88.0%,12.0%,100.0%,87.0%,13.0%,100.0%,88.9%,9.3%,98.1%,92.6%,7.4%,100.0%,15.7%,0.9%,6.5%
American Leadership Academy - Mesa,Charter,N,,90,4507 S MOUNTAIN RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,92.2%,6.7%,98.9%,93.3%,6.7%,100.0%,96.7%,3.3%,100.0%,93.3%,6.7%,100.0%,96.7%,3.3%,100.0%,8.9%,0.0%,2.2%
American Leadership Academy - San Tan,Charter,N,,95,34969 N VILLAGE LN,SAN TAN VALLEY,AZ,85142,MARICOPA COUNTY,GREATER THAN,90.5%,8.4%,98.9%,91.6%,8.4%,100.0%,92.6%,7.4%,100.0%,92.6%,6.3%,98.9%,93.7%,6.3%,100.0%,8.4%,0.0%,4.2%
American Leadership Academy Anthem South Campus,Charter,N,,70,4380 N HUNT HWY,FLORENCE,AZ,85132,PINAL COUNTY,GREATER THAN,82.9%,12.9%,95.7%,82.9%,12.9%,95.7%,85.7%,14.3%,100.0%,88.6%,11.4%,100.0%,90.0%,10.0%,100.0%,15.7%,5.7%,10.0%
American Leadership Academy Ironwood Elementary Campus,Charter,N,,87,650 W COMBS RD,QUEEN CREEK,AZ,85140,PINAL COUNTY,GREATER THAN,94.3%,5.7%,100.0%,93.1%,5.7%,98.9%,95.4%,4.6%,100.0%,93.1%,5.7%,98.9%,94.3%,5.7%,100.0%,9.2%,0.0%,2.3%
American Leadership Acadmey - Queen Creek Elementary,Charter,N,,97,19843 E CHANDLER HEIGHTS RD,CHANDLER HTS,AZ,85142,MARICOPA COUNTY,GREATER THAN,88.7%,11.3%,100.0%,87.6%,12.4%,100.0%,89.7%,10.3%,100.0%,88.7%,11.3%,100.0%,91.8%,8.2%,100.0%,14.4%,0.0%,7.2%
Amerischools Academy - Camelback,Charter,N,,24,1333 W CAMELBACK RD,PHOENIX,AZ,85013,MARICOPA COUNTY,GREATER THAN,87.5%,12.5%,100.0%,83.3%,12.5%,95.8%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,12.5%,0.0%,12.5%
Amerischools Academy - Country Club,Charter,N,,21,1150 N COUNTRY CLUB RD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,90.5%,0.0%,90.5%,90.5%,0.0%,90.5%,95.2%,0.0%,95.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Amerischools Academy - Yuma South Campus,Charter,N,,46,2098 S 3RD AVE,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
Amerischools Academy North,Charter,N,,42,1220 S 4TH AVE,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,95.2%,0.0%,95.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Amy L. Houston Academy,Public,Y,LPN,≤ 20,7139 S 10TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anasazi Elementary School,Public,N,,63,12121 N 124TH ST,SCOTTSDALE,AZ,85259,MARICOPA COUNTY,GREATER THAN,92.1%,7.9%,100.0%,93.7%,6.3%,100.0%,92.1%,7.9%,100.0%,93.7%,6.3%,100.0%,92.1%,7.9%,100.0%,6.3%,0.0%,6.3%
Anlc,Public,Y,RN,37,4330 N 62ND ST,SCOTTSDALE,AZ,85251,MARICOPA COUNTY,GREATER THAN,86.5%,13.5%,100.0%,86.5%,13.5%,100.0%,86.5%,13.5%,100.0%,86.5%,13.5%,100.0%,100.0%,0.0%,100.0%,18.9%,0.0%,0.0%
Anna Henry Elementary School,Public,Y,RN,64,650 N IGO WAY,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,96.9%,0.0%,96.9%,98.4%,0.0%,98.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Anna Marie Jacobson  Elementary School,Public,N,,106,1515 NW JACARANDA PKWY,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,99.1%,0.9%,100.0%,95.3%,4.7%,100.0%,6.6%,0.9%,3.8%
Annie Kellond Elementary School,Public,Y,RN,82,6606 E LEHIGH DR,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,96.3%,1.2%,97.6%,1.2%,0.0%,0.0%
Annunciation Catholic School,Private,Y,RN,≤ 20,32648 N CAVE CREEK RD,CAVE CREEK,AZ,85331,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthem K-8 School,Public,N,,62,2700 N ANTHEM WAY,FLORENCE,,85232,PINAL COUNTY,GREATER THAN,85.5%,8.1%,93.5%,88.7%,8.1%,96.8%,90.3%,8.1%,98.4%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,8.1%,0.0%,0.0%
Anthem Preparatory Academy,Charter,N,,59,39808 N GAVILAN PEAK PKWY,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,91.5%,6.8%,98.3%,93.2%,6.8%,100.0%,93.2%,3.4%,96.6%,88.1%,10.2%,98.3%,93.2%,5.1%,98.3%,10.2%,0.0%,6.8%
