SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Knox Elementary School,Public,N,,64,700 W ORCHID LN,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,3.1%,0.0%,0.0%
Kyrene De La Colina,Public,N,,58,13612 S 36TH ST,PHOENIX,AZ,85044,MARICOPA COUNTY,GREATER THAN,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,91.4%,8.6%,100.0%,100.0%,0.0%,100.0%,12.1%,0.0%,0.0%
Kyrene De La Esperanza,Public,N,,95,14841 S 41ST PL,PHOENIX,AZ,85044,MARICOPA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,98.9%,1.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,0.0%
Kyrene De La Estrella Elementary School,Public,N,,45,2620 E LIBERTY LN,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,93.3%,6.7%,100.0%,100.0%,0.0%,100.0%,13.3%,0.0%,0.0%
Kyrene De La Mariposa School,Public,N,,66,50 E KNOX RD,TEMPE,AZ,85284,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,97.0%,1.5%,98.5%,98.5%,1.5%,100.0%,1.5%,0.0%,1.5%
Kyrene De La Mirada School,Public,N,,84,5500 W GALVESTON ST,CHANDLER,AZ,85226,MARICOPA COUNTY,GREATER THAN,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,4.8%,0.0%,3.6%
Kyrene De La Paloma,Public,N,,62,5000 W WHITTEN ST,CHANDLER,AZ,85226,MARICOPA COUNTY,GREATER THAN,93.5%,0.0%,93.5%,93.5%,0.0%,93.5%,93.5%,0.0%,93.5%,91.9%,0.0%,91.9%,96.8%,0.0%,96.8%,8.1%,1.6%,8.1%
Kyrene De La Sierra,Public,N,,88,1122 E LIBERTY LN,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
Kyrene De Las Brisas School,Public,N,,101,777 N DESERT BREEZE BLVD E,CHANDLER,AZ,85226,MARICOPA COUNTY,GREATER THAN,89.1%,2.0%,91.1%,91.1%,2.0%,93.1%,89.1%,2.0%,91.1%,96.0%,2.0%,98.0%,97.0%,2.0%,99.0%,2.0%,0.0%,0.0%
Kyrene De Las Lomas School,Public,N,,88,11820 S WARNER ELLIOT LOOP,PHOENIX,AZ,85044,MARICOPA COUNTY,GREATER THAN,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,3.4%,96.6%,98.9%,1.1%,100.0%,5.7%,1.1%,0.0%
Kyrene De Las Manitas School,Public,Y,RN,83,1201 W COURTNEY LN,TEMPE,AZ,85284,MARICOPA COUNTY,GREATER THAN,89.2%,7.2%,96.4%,90.4%,4.8%,95.2%,95.2%,3.6%,98.8%,90.4%,6.0%,96.4%,97.6%,2.4%,100.0%,10.8%,0.0%,1.2%
Kyrene De Los Cerritos,Public,N,RN,61,14620 S DESERT FOOTHILLS PKWY,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,9.8%,0.0%,0.0%
Kyrene De Los Lagos School,Private,N,,98,17001 S 34TH WAY,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,88.8%,11.2%,100.0%,90.8%,9.2%,100.0%,90.8%,9.2%,100.0%,90.8%,9.2%,100.0%,100.0%,0.0%,100.0%,13.3%,0.0%,0.0%
Kyrene De Los Ninos School,Public,N,,70,1330 E DAVA DR,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,92.9%,4.3%,97.1%,94.3%,4.3%,98.6%,91.4%,5.7%,97.1%,92.9%,4.3%,97.1%,95.7%,2.9%,98.6%,5.7%,0.0%,4.3%
Kyrene Del Cielo School,Public,Y,RN,105,1350 N LAKESHORE DR,CHANDLER,AZ,85226,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,99.0%,1.0%,100.0%,97.1%,2.9%,100.0%,98.1%,1.9%,100.0%,99.0%,1.0%,100.0%,3.8%,0.0%,1.0%
Kyrene Del Milenio,Private,N,,94,4630 E FRYE RD,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,94.7%,4.3%,98.9%,94.7%,4.3%,98.9%,94.7%,4.3%,98.9%,94.7%,4.3%,98.9%,94.7%,5.3%,100.0%,5.3%,0.0%,4.3%
Kyrene Del Norte,Public,N,,95,1331 E REDFIELD RD,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,95.8%,4.2%,100.0%,96.8%,3.2%,100.0%,100.0%,0.0%,100.0%,5.3%,0.0%,3.2%
Kyrene Del Sureno School,Public,N,,97,3375 W GALVESTON ST,CHANDLER,AZ,85226,MARICOPA COUNTY,GREATER THAN,93.8%,2.1%,95.9%,94.8%,2.1%,96.9%,92.8%,2.1%,94.8%,95.9%,2.1%,97.9%,97.9%,2.1%,100.0%,2.1%,0.0%,2.1%
Kyrene Monte Vista,Public,Y,RN,121,15221 S RAY RD,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,97.5%,2.5%,100.0%,96.7%,3.3%,100.0%,98.3%,1.7%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,2.5%,0.8%,1.7%
L.m. Prince Elementary,Public,N,,111,125 E PRINCE RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,91.9%,0.9%,92.8%,95.5%,0.9%,96.4%,97.3%,0.0%,97.3%,93.7%,0.0%,93.7%,98.2%,0.0%,98.2%,0.9%,0.0%,0.0%
La Paloma Academy,Charter,N,,112,8140 E DESERT COVE CIR.,TUCSON,AZ,85730,PIMA COUNTY,GREATER THAN,99.1%,0.9%,100.0%,98.2%,0.9%,99.1%,98.2%,0.9%,99.1%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,0.9%,0.0%,0.0%
La Paloma Academy - Central Campus,Charter,N,,89,2050 N WILMOT RD,TUCSON,AZ,85712,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
La Paloma Academy South,Charter,N,,45,5660 S 12TH AVE,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.8%,0.0%,97.8%,100.0%,0.0%,100.0%,0.0%,2.2%,0.0%
La Tierra Community School,Charter,N,,≤ 20,124 N VIRGINIA ST,PRESCOTT,AZ,86301,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lafe Nelson School,Public,Y,RN,70,1100 S 10TH AVE,SAFFORD,AZ,85546,GRAHAM COUNTY,GREATER THAN,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,0.0%,0.0%,0.0%
Laguna,Public,N,,42,5001 N SHANNON RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,0.0%,0.0%,0.0%
Laguna Elementary School,Public,Y,RN,62,10475 E LAKEVIEW DR,SCOTTSDALE,AZ,85258,MARICOPA COUNTY,GREATER THAN,91.9%,8.1%,100.0%,90.3%,9.7%,100.0%,88.7%,11.3%,100.0%,88.7%,11.3%,100.0%,93.5%,6.5%,100.0%,11.3%,0.0%,0.0%
Laird School,Public,Y,RN,55,1500 N SCOVEL ST,TEMPE,AZ,85281,MARICOPA COUNTY,GREATER THAN,90.9%,1.8%,92.7%,96.4%,1.8%,98.2%,92.7%,1.8%,94.5%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,1.8%,0.0%,0.0%
Lake Pleasant Elementary,Public,Y,RN,63,31501 N WESTLAND RD,PEORIA,AZ,85383,MARICOPA COUNTY,GREATER THAN,93.7%,3.2%,96.8%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,0.0%
Lake Valley Elementary School,Public,Y,RN,72,3900 N STARLIGHT DR,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,80.6%,5.6%,86.1%,84.7%,5.6%,90.3%,81.9%,5.6%,87.5%,88.9%,5.6%,94.4%,91.7%,5.6%,97.2%,6.9%,0.0%,5.6%
Lakeview Elementary School,Public,N,,56,3040 W YUCCA ST,PHOENIX,AZ,85029,MARICOPA COUNTY,GREATER THAN,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,96.4%,3.6%,100.0%,5.4%,0.0%,1.8%
Lamb's Gate Christian School,Private,N,,≤ 20,4700 N SWAN RD,TUCSON,AZ,85718,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larkspur Elementary School,Public,Y,RN,53,2430 E LARKSPUR DR,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,96.2%,3.8%,100.0%,94.3%,5.7%,100.0%,96.2%,3.8%,100.0%,98.1%,1.9%,100.0%,5.7%,0.0%,5.7%
Larry C Kennedy School,Public,Y,RN,64,2702 E OSBORN RD,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,96.9%,1.6%,98.4%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,1.6%,3.1%,1.6%
Las Brisas Academy,Public,N,,62,18211 W LAS BRISAS DR,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,98.4%,1.6%,100.0%,95.2%,4.8%,100.0%,6.5%,0.0%,6.5%
Las Brisas Elementary School,Public,Y,RN,99,5805 W ALAMEDA RD,GLENDALE,AZ,85310,MARICOPA COUNTY,GREATER THAN,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,90.9%,8.1%,99.0%,92.9%,7.1%,100.0%,96.0%,4.0%,100.0%,8.1%,1.0%,0.0%
Las Sendas Elementary School,Public,Y,RN,102,3120 N RED MTN,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,93.1%,6.9%,100.0%,94.1%,5.9%,100.0%,93.1%,6.9%,100.0%,95.1%,4.9%,100.0%,98.0%,2.0%,100.0%,6.9%,0.0%,0.0%
Lattie Coor School,Public,Y,LPN,146,1406 N CENTRAL AVE,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,91.8%,0.7%,92.5%,92.5%,0.7%,93.2%,93.8%,0.7%,94.5%,93.8%,0.7%,94.5%,96.6%,0.7%,97.3%,0.7%,0.0%,0.7%
Laura N. Banks Elementary,Private,Y,RN,48,3200 S LEAD FLOWER AVE,TUCSON,AZ,85735,PIMA COUNTY,GREATER THAN,95.8%,0.0%,95.8%,97.9%,0.0%,97.9%,95.8%,0.0%,95.8%,97.9%,0.0%,97.9%,97.9%,0.0%,97.9%,0.0%,0.0%,0.0%
Laveen Elementary School,Public,Y,RN,50,4141 W MCNEIL ST,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,92.0%,2.0%,94.0%,96.0%,2.0%,98.0%,96.0%,2.0%,98.0%,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,0.0%,2.0%,0.0%
Laveen Traditional School,Charter,Y,,88,7900 S 43RD AVE,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,92.0%,8.0%,100.0%,94.3%,5.7%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,94.3%,5.7%,100.0%,10.2%,0.0%,10.2%
Le Pera Elementary School,Public,N,,≤ 20,19121 TAHBO RD,POSTON,AZ,85371,LA PAZ COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leading Edge Academy - East Mesa Campus,Charter,N,,≤ 20,10222 E CALYPSO AVE,MESA,AZ,85208,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leading Edge Academy - Gilbert Elementary Campus,Charter,N,,32,717 W RAY RD,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,59.4%,40.6%,100.0%,59.4%,40.6%,100.0%,59.4%,40.6%,100.0%,68.8%,31.3%,100.0%,71.9%,28.1%,100.0%,40.6%,0.0%,31.3%
Leading Edge Academy - Mountain View Campus,Charter,N,,59,4815 W HUNT HWY,QUEEN CREEK,AZ,85142,PINAL COUNTY,GREATER THAN,84.7%,15.3%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,88.1%,11.9%,100.0%,89.8%,10.2%,100.0%,15.3%,0.0%,10.2%
Leading Edge Academy Maricopa,Charter,N,,109,18700 N PORTER RD,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,89.9%,3.7%,93.6%,89.9%,3.7%,93.6%,89.9%,3.7%,93.6%,92.7%,3.7%,96.3%,94.5%,3.7%,98.2%,3.7%,0.0%,0.0%
Learning Foundation And Performing Arts Alta Mesa,Charter,N,,26,5761 E BROWN RD,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,61.5%,34.6%,96.2%,69.2%,30.8%,100.0%,69.2%,30.8%,100.0%,65.4%,34.6%,100.0%,69.2%,30.8%,100.0%,30.8%,0.0%,0.0%
Learning Foundation And Performing Arts Stapley,Charter,N,,24,851 N STAPLEY DR BLDG 6,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,87.5%,12.5%,100.0%,83.3%,16.7%,100.0%,87.5%,12.5%,100.0%,16.7%,0.0%,0.0%
Learning Foundation And Performing Arts Warner,Charter,N,,55,3939 E WARNER RD,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,83.6%,14.5%,98.2%,85.5%,12.7%,98.2%,83.6%,12.7%,96.4%,85.5%,14.5%,100.0%,89.1%,10.9%,100.0%,16.4%,0.0%,0.0%
Legacy Montessori Inc,Private,N,,≤ 20,45290 GARVEY AVE,MARICOPA,AZ,85139,PINAL COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Legacy Traditional School,Charter,N,,149,3500 W CORTARO FARMS RD,TUCSON,AZ,85742,PIMA COUNTY,GREATER THAN,94.0%,5.4%,99.3%,94.0%,5.4%,99.3%,92.6%,6.7%,99.3%,91.9%,6.7%,98.7%,91.9%,6.7%,98.7%,6.7%,6.0%,1.3%
Legacy Traditional School - Avondale,Charter,N,,151,12320 W VAN BUREN ST,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,95.4%,4.6%,100.0%,96.7%,3.3%,100.0%,5.3%,0.0%,1.3%
Legacy Traditional School - Casa Grande,Charter,Y,LPN,136,1274 E O'NEIL DR,CASA GRANDE,AZ,85138,PINAL COUNTY,GREATER THAN,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,95.6%,4.4%,100.0%,4.4%,0.0%,3.7%
Legacy Traditional School - Maricopa,Charter,N,,124,17760 N REGENT DR,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,89.5%,10.5%,100.0%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,93.5%,6.5%,100.0%,95.2%,4.8%,100.0%,10.5%,0.0%,0.0%
Legacy Traditional School Gilbert,Charter,N,,150,2747 S RECKER RD,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,88.0%,12.0%,100.0%,88.7%,11.3%,100.0%,88.0%,12.0%,100.0%,91.3%,8.7%,100.0%,90.7%,9.3%,100.0%,9.3%,6.7%,0.0%
Legacy Traditional School- Glendale,Charter,Y,LPN,115,13901 N 67TH AVE,GLENDALE,AZ,85306,MARICOPA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,96.5%,3.5%,100.0%,95.7%,4.3%,100.0%,96.5%,3.5%,100.0%,4.3%,0.0%,4.3%
Legacy Traditional School- North Chandler,Charter,N,,66,1900 N MCQUEEN RD,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,0.0%
Legacy Traditional School-peoria,Charter,Y,LPN,63,7877 W HILLCREST BLVD,PEORIA,AZ,85383,MARICOPA COUNTY,GREATER THAN,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,93.7%,6.3%,100.0%,92.1%,7.9%,100.0%,11.1%,0.0%,6.3%
Legacy Traditional Surprise,Charter,N,,161,14506 W SWEETWATER AVE,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,91.3%,8.7%,100.0%,91.9%,8.1%,100.0%,90.7%,9.3%,100.0%,93.2%,6.8%,100.0%,94.4%,5.6%,100.0%,11.2%,0.0%,5.6%
Legacy Traditional/ Queen Creek,Charter,N,,121,41800 N BARNES PKWY,SAN TAN VALLEY,AZ,85140,PINAL COUNTY,GREATER THAN,86.8%,13.2%,100.0%,85.1%,14.9%,100.0%,85.1%,14.9%,100.0%,90.1%,9.9%,100.0%,87.6%,12.4%,100.0%,55.4%,0.0%,9.1%
Legend Springs Elementary,Public,Y,RN,83,21150 N ARROWHEAD LOOP RD,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,94.0%,6.0%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,9.6%,1.2%,6.0%
Lehi Elementary School,Public,Y,RN,54,2555 N STAPLEY DR,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,90.7%,5.6%,96.3%,92.6%,5.6%,98.1%,94.4%,5.6%,100.0%,92.6%,5.6%,98.1%,94.4%,5.6%,100.0%,5.6%,0.0%,5.6%
Leman Academy Of Excellence,Charter,N,,47,1000 E WILCOX DR,SIERRA VISTA,AZ,85635,COCHISE COUNTY,GREATER THAN,87.2%,12.8%,100.0%,91.5%,8.5%,100.0%,95.7%,4.3%,100.0%,89.4%,10.6%,100.0%,97.9%,2.1%,100.0%,12.8%,0.0%,2.1%
Leman Academy Of Excellence,Charter,Y,RN,134,7720 N SILVERBELL RD,TUCSON,AZ,85743,PIMA COUNTY,GREATER THAN,90.3%,9.7%,100.0%,91.8%,8.2%,100.0%,91.0%,9.0%,100.0%,91.8%,8.2%,100.0%,92.5%,7.5%,100.0%,8.2%,0.7%,6.7%
Leonor Hambly K-8,Public,N,,22,824 THORNE AVENUE,WINKELMAN,AZ,85192,PINAL COUNTY,GREATER THAN,90.9%,0.0%,90.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Leupp School,Public,Y,RN,22,3285 E SPARROW AVE,FLAGSTAFF,AZ,86004,COCONINO COUNTY,GREATER THAN,95.5%,0.0%,95.5%,95.5%,0.0%,95.5%,95.5%,0.0%,95.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Arts Academy,Charter,N,,41,3015 S POWER RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,61.0%,39.0%,100.0%,80.5%,19.5%,100.0%,68.3%,31.7%,100.0%,90.2%,9.8%,100.0%,100.0%,0.0%,100.0%,14.6%,0.0%,14.6%
Liberty Elementary School,Public,Y,LPN,37,19818 W US HIGHWAY 85,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.7%,0.0%,0.0%
Liberty Elementary School,Public,Y,RN,106,5495 S LIBERTY AVE,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.9%,0.0%,0.0%
Liberty Elementary School,Public,Y,RN,59,5125 E MARILYN RD,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,89.8%,5.1%,94.9%,89.8%,5.1%,94.9%,91.5%,5.1%,96.6%,91.5%,5.1%,96.6%,93.2%,5.1%,98.3%,5.1%,0.0%,3.4%
Liberty Traditional Charter School,Charter,N,,35,4027 N 45TH AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,97.1%,0.0%,97.1%,85.7%,0.0%,85.7%,94.3%,0.0%,94.3%,97.1%,0.0%,97.1%,94.3%,0.0%,94.3%,0.0%,0.0%,0.0%
"Liberty Traditional Saddleback Charter School In Douglas,arizona",Charter,N,,25,3715 N WASHINGTON AVE,DOUGLAS,AZ,85607,COCHISE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Liberty Traditional School,Public,Y,RN,92,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,92.4%,7.6%,100.0%,92.4%,7.6%,100.0%,90.2%,9.8%,100.0%,93.5%,6.5%,100.0%,94.6%,5.4%,100.0%,10.9%,0.0%,5.4%
Lifelong Learning Academy,Charter,N,,≤ 20,3295 W ORANGE GROVE RD,TUCSON,AZ,85741,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lincoln Elementary School,Public,Y,RN,80,652 N TYLER AVE,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Lincoln Elementary School,Public,N,,55,201 PARK AVE,PRESCOTT,AZ,86303,YAVAPAI COUNTY,GREATER THAN,80.0%,7.3%,87.3%,81.8%,7.3%,89.1%,80.0%,7.3%,87.3%,87.3%,7.3%,94.5%,87.3%,7.3%,94.5%,7.3%,0.0%,7.3%
Lincoln Elementary School,Public,Y,RN,94,930 S SIRRINE,MESA,AZ,85210,MARICOPA COUNTY,GREATER THAN,97.9%,1.1%,98.9%,97.9%,1.1%,98.9%,98.9%,1.1%,100.0%,97.9%,1.1%,98.9%,98.9%,1.1%,100.0%,1.1%,0.0%,1.1%
Lindbergh Elementary School,Public,Y,RN,52,930 S LAZONA DR,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,98.1%,0.0%,98.1%,0.0%,0.0%,0.0%
Linden Elementary School,Public,N,,23,1009 SCHOOL HOUSE LN,SHOW LOW,AZ,85901,NAVAJO COUNTY,GREATER THAN,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,8.7%,0.0%,8.7%
Lineweaver Elementary School,Public,Y,RN,68,461 S BRYANT AVE,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,97.1%,2.9%,100.0%,95.6%,2.9%,98.5%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,1.5%,0.0%
Litchfield Elementary School,Charter,Y,LPN,150,272 E SAGEBRUSH ST,LITCHFIELD PARK,AZ,85340,MARICOPA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,98.0%,2.0%,100.0%,97.3%,2.7%,100.0%,98.0%,2.0%,100.0%,98.7%,1.3%,100.0%,3.3%,0.0%,3.3%
Little Explorers Early Learning Center,Public,Y,,36,3175 E GORDON DR,KINGMAN,AZ,86409,MOHAVE COUNTY,GREATER THAN,94.4%,0.0%,94.4%,94.4%,2.8%,97.2%,91.7%,8.3%,100.0%,91.7%,5.6%,97.2%,94.4%,5.6%,100.0%,11.1%,0.0%,11.1%
Little Red School House,Public,N,,24,7 DUQUESNE RD,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,95.8%,4.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.2%,0.0%,0.0%
Littleton Elementary School,Public,Y,RN,53,1252 S 115TH AVE,CASHION,AZ,85323,MARICOPA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,96.2%,3.8%,100.0%,94.3%,5.7%,100.0%,98.1%,1.9%,100.0%,96.2%,3.8%,100.0%,3.8%,1.9%,0.0%
Logos Christian Academy,Private,N,,≤ 20,9745 N TREKELL RD,CASA GRANDE,AZ,85122,PINAL COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Loma Linda Elementary School,Public,Y,LPN,62,2002 E CLARENDON AVE,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
