SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL,Column1
Accel,Private,10251 N 35th Ave.,Phoenix,Maricopa,85051,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Accel - East Campus,Private,1430 E Baseline Rd. ,Tempe,Maricopa,85283,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Accelerated Learning Laboratory,Charter,5245 N Camino De Oeste,Tucson,Pima,85745,N,,28,89.30%,10.70%,100%,78.60%,17.90%,100%,78.60%,17.90%,100%,89.30%,10.70%,100%,89.30%,10.70%,100%,89.30%,10.70%,100%,82.10%,10.70%,100%,10.70%,0.00%,0.00%,
Acclaim Academy,Charter,7624 W Indian School Rd. ,Phoenix,Maricopa,85033,N,,46,93.50%,0.00%,93.50%,56.50%,0.00%,60.90%,52.20%,0.00%,56.50%,89.10%,0.00%,89.10%,84.80%,0.00%,84.80%,91.30%,0.00%,91.30%,78.30%,0.00%,95.70%,0.00%,0.00%,0.00%,
Acorn Montessori Charter School,Charter,8556 E Loos Dr.,Prescott Valley,Yavapai,86314,N,,30,100%,0.00%,100%,76.70%,13.30%,90.00%,76.70%,13.30%,90.00%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,13.30%,0.00%,0.00%,
Adams Elementary School,Public,738 S Longmore Rd. ,Mesa,Maricopa,85202,Y,RN,87,98.90%,1.10%,100%,97.70%,1.10%,100%,97.70%,0.00%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,78.20%,0.00%,100%,1.10%,3.40%,1.10%,
Adams Traditional Academy,Charter,2323 W. Parkside Ln,Phoenix,Maricopa,85027,N,,56,91.10%,8.90%,100%,91.10%,0.00%,100%,91.10%,8.90%,100%,91.10%,8.90%,100%,91.10%,8.90%,100%,91.10%,8.90%,100%,91.10%,0.00%,100%,8.90%,0.00%,0.00%,
Agua Caliente Elementary School,Public,11420 E Limberlost Rd.,Tucson,Pima,85749,Y,RN,72,100%,0.00%,100%,98.60%,1.40%,100%,97.20%,2.80%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,100%,2.80%,0.00%,0.00%,
Aguila Elementary School,Public,50023 N 514th  Ave.,Aguila,Maricopa,85320,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Aire Libre Elementary School,Public,16428 N 21 St. ,Phoenix,Maricopa,85022,Y,RN,40,97.50%,2.50%,100%,92.50%,7.50%,100%,92.50%,7.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,85.00%,2.50%,100%,7.50%,0.00%,0.00%,
Ajo Elementary School,Public,111 Well Rd. ,Ajo,Pima,85321,N,,34,97.10%,0.00%,97.10%,85.30%,0.00%,85.30%,79.40%,0.00%,79.40%,94.10%,0.00%,94.10%,100%,0.00%,100%,100%,0.00%,100%,85.30%,0.00%,91.20%,0.00%,0.00%,0.00%,
Alfred F Garcia School,Public,1441 S. 27th Ave.,Phoenix,Maricopa,85009,Y,LPN,69,100%,0.00%,100%,98.60%,0.00%,98.60%,98.60%,0.00%,98.60%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Alhambra Traditional School,Public,3736 W. Osborn Rd.,Phoenix,Maricopa,85019,Y,LPN,78,96.20%,2.60%,98.70%,93.60%,2.60%,98.70%,92.30%,2.60%,96.20%,96.20%,3.80%,100%,97.40%,2.60%,100%,96.20%,2.60%,98.70%,82.10%,6.40%,100%,6.40%,0.00%,0.00%,
Alice Vail Middle School,Public,5350 E 16th St. ,Tucson,Pima,85711,Y,RN,205,99.00%,1.00%,100%,96.60%,1.50%,99.00%,96.60%,1.50%,99.00%,99.00%,1.00%,100%,99.00%,1.00%,100%,99.00%,1.00%,100%,95.10%,1.00%,100%,2.90%,0.50%,1.00%,
All Saints Catholic School,Private,1425 Yaqui St. ,Sierra Vista,Cochise,85650,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
All Saints Episcopal Day School,Private,6300 N Central Ave.,Phoenix,Maricopa,85012,Y,RN,61,98.40%,1.60%,100%,93.40%,6.60%,100%,93.40%,6.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,90.20%,1.60%,100%,3.30%,3.30%,1.60%,
Alpine Elementary School,Public,P.O. Box 170,Alpine,Apache,85920,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alta Loma School,Public,9750 N 87th Ave.,Peoria,Maricopa,85345,Y,RN,85,96.50%,3.50%,100%,94.10%,4.70%,100%,94.10%,4.70%,100%,95.30%,4.70%,100%,96.50%,3.50%,100%,96.50%,3.50%,100%,87.10%,3.50%,100%,4.70%,0.00%,4.70%,
Alta Vista Elementary School,Public,8710 N 31st Ave.,Phoenix,Maricopa,85051,Y,RN,91,97.80%,0.00%,97.80%,98.90%,0.00%,100%,98.90%,0.00%,100%,97.80%,0.00%,97.80%,100%,0.00%,100%,98.90%,1.10%,100%,90.10%,2.20%,100%,0.00%,3.30%,0.00%,
Altar Valley Middle School,Public,16350 W Ajo Way,Tucson,Pima,85736,Y,RN,80,100%,0.00%,100%,96.30%,2.50%,100%,97.50%,2.50%,100%,100%,0.00%,100%,98.80%,1.30%,100%,100%,0.00%,100%,100%,0.00%,100%,2.50%,0.00%,0.00%,
Ambassador Academy,Charter,3820 E Ray Rd. ,Phoenix,Maricopa,85044,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Amberlea Elementary,Public,8455 W. Virginia Ave.,Phoenix,Maricopa,85037,N,,85,100%,0.00%,100%,98.80%,0.00%,100%,98.80%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,91.80%,0.00%,100%,0.00%,0.00%,0.00%,
American Heritage Academy - Camp Verde,Charter,132 General Crook Trl.,Camp Verde,Yavapai,86322,N,,22,100%,0.00%,100%,81.80%,13.60%,95.50%,81.80%,13.60%,95.50%,95.50%,4.50%,100%,100%,0.00%,100%,95.50%,4.50%,100%,72.70%,4.50%,100%,13.60%,4.50%,18.20%,
American Heritage Academy - Cottonwood,Charter,2030 E. Cherry St.,Cottonwood,Yavapai,86326,N,,24,95.80%,4.20%,100%,45.80%,4.20%,50.00%,45.80%,4.20%,50.00%,95.80%,4.20%,100%,95.80%,4.20%,100%,95.80%,4.20%,100%,83.30%,4.20%,100%,4.20%,0.00%,4.20%,
American Leadership Academy - Anthem South Campus,Charter,4380 N Hunt Hwy,Florence,Pinal,85312,N,,41,95.10%,4.90%,100%,92.70%,4.90%,100%,90.20%,7.30%,100%,95.10%,4.90%,100%,92.70%,7.30%,100%,95.10%,4.90%,100%,82.90%,4.90%,100%,7.30%,2.40%,4.90%,
American Leadership Academy - Gilbert Campus,Charter,3155 S Santan Village Pkwy,Gilbert,Maricopa,85295,N,,75,85.30%,14.70%,100%,64.00%,32.00%,100%,64.00%,33.30%,100%,84.00%,16.00%,100%,85.30%,14.70%,100%,82.70%,17.30%,100%,73.30%,14.70%,100%,33.30%,0.00%,12.00%,
American Leadership Academy - Ironwood Elementary Campus,Charter,650 W Combs Rd. ,Queen Creek,Maricopa,85140,N,,118,87.30%,11.90%,99.20%,79.70%,16.90%,100%,79.70%,20.30%,100%,87.30%,12.70%,100%,87.30%,12.70%,100%,86.40%,13.60%,100%,72.90%,9.30%,100%,26.30%,0.00%,7.60%,
American Leadership Academy - Mesa Campus,Charter,4507 S Mountain Rd. ,Mesa,Maricopa,85212,N,,44,88.60%,11.40%,100%,84.10%,11.40%,100%,86.40%,13.60%,100%,86.40%,13.60%,100%,93.20%,6.80%,100%,88.60%,11.40%,100%,70.50%,6.80%,100%,15.90%,2.30%,9.10%,
American Leadership Academy - Queen Creek Elementary,Charter,19843 E Chandler Heights Rd. ,Queen Creek,Maricopa,85142,N,,136,91.90%,8.10%,100%,73.50%,22.10%,100%,74.30%,24.30%,100%,87.50%,12.50%,100%,86.80%,13.20%,100%,88.20%,11.80%,100%,68.40%,7.40%,99.30%,26.50%,2.90%,6.60%,
American Leadership Academy - San Tan Valley Campus,Charter,34696 N Village Ln.,San Tan Valley,Pinal,85142,N,,68,91.20%,8.80%,100%,77.90%,17.60%,100%,79.40%,17.60%,100%,89.70%,10.30%,100%,89.70%,10.30%,100%,91.20%,8.80%,100%,79.40%,7.40%,100%,19.10%,1.50%,8.80%,
Amerischools Academy - Camelback,Charter,1333 West Camelback Rd.,Phoenix,Maricopa,85013,N,,30,96.70%,3.30%,100%,80.00%,6.70%,90.00%,80.00%,6.70%,86.70%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,86.70%,0.00%,100%,6.70%,0.00%,3.30%,
Amerischools Academy - Yuma South Campus,Charter,2098 S 3rd Ave.,Yuma,Yuma,85364,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Amerischools Academy North,Charter,1220 S. 4th Ave.,Yuma,Yuma,85364,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Amerischools Academy Tucson,Charter,1150 N. Country Club Rd. ,Tucson,Pima,85716,N,,28,100%,0.00%,100%,96.40%,0.00%,96.40%,89.30%,0.00%,89.30%,92.90%,0.00%,92.90%,92.90%,0.00%,92.90%,100%,0.00%,100%,92.90%,0.00%,100%,0.00%,0.00%,0.00%,
Amphitheater Middle School,Public,315 E. Prince Rd. ,Tucson,Pima,85705,Y,RN,234,99.60%,0.40%,100%,96.60%,2.10%,100%,95.70%,2.10%,100%,99.10%,0.40%,99.60%,99.60%,0.40%,100%,99.60%,0.40%,100%,98.30%,0.40%,100%,1.30%,0.90%,0.40%,
Amy L. Houston Academy,Public,7139 S 10th St. ,Phoenix,Maricopa,85042,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andalucia Middle,Public,4730 W. Campbell Ave.,Phoenix,Maricopa,85031,N,,239,98.70%,0.00%,98.70%,95.80%,0.40%,99.20%,95.80%,0.40%,99.20%,98.70%,0.00%,98.70%,98.70%,0.40%,99.20%,98.70%,0.00%,98.70%,84.50%,0.00%,100%,0.40%,0.00%,0.00%,
Anna Lawrence Intermediate,Public,4850 W. Jeffrey Rd.,Tucson,Pima,85746,Y,RN,60,98.30%,1.70%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,96.70%,1.70%,100%,3.30%,0.00%,1.70%,
Anna Marie Jacebsen Elementary School,Public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248,N,,174,98.30%,1.70%,100%,89.70%,5.20%,98.90%,90.20%,5.20%,98.90%,98.30%,1.10%,99.40%,98.30%,1.10%,99.40%,98.90%,1.10%,100%,98.30%,0.00%,98.30%,5.70%,0.60%,0.60%,
Annunciation Catholic School,Private,32648 N Cave Creek Rd.,Cave Creek,Maricopa,85331,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthem K-8 School,Public,2700 N Anthem Way,Florence,Pinal,85232,N,,86,97.70%,1.20%,98.80%,95.30%,2.30%,98.80%,94.20%,2.30%,96.50%,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,81.40%,1.20%,100%,1.20%,0.00%,0.00%,
Anthem Preparatory Academy,Charter,39808 N Gavilan Peak Pkwy,Anthem,Maricopa,85086,N,,76,92.10%,7.90%,100%,82.90%,11.80%,96.10%,81.60%,11.80%,94.70%,88.20%,7.90%,96.10%,88.20%,9.20%,97.40%,88.20%,7.90%,96.10%,80.30%,7.90%,97.40%,11.80%,0.00%,6.60%,
Anthem School,Public,41020 N Freedmon Way,Anthem,Maricopa,85086,Y,LPN,77,94.80%,3.90%,98.70%,89.60%,6.50%,97.40%,88.30%,9.10%,97.40%,94.80%,3.90%,98.70%,96.10%,3.90%,100%,96.10%,3.90%,100%,81.80%,3.90%,100%,10.40%,0.00%,3.90%,
Anza Trail Elementary,Public,15490 S Rancho Sahuarita Blvd.,Sahuarita,Pima,85629,N,,235,98.30%,1.70%,100%,33.20%,1.70%,46.00%,74.50%,1.70%,76.20%,98.30%,1.70%,100%,97.90%,1.70%,99.60%,97.90%,1.70%,99.60%,65.50%,1.70%,100%,1.70%,0.00%,1.70%,
Apache Elementary School,Public,8633 W John Cabot Rd. ,Peoria,Maricopa,85382,Y,RN,91,95.60%,4.40%,100%,92.30%,7.70%,100%,92.30%,7.70%,100%,95.60%,4.40%,100%,95.60%,4.40%,100%,96.70%,3.30%,100%,82.40%,4.40%,100%,7.70%,0.00%,0.00%,
Apollo Middle School,Public,265 W Nebraska,Tucson,Pima,85706,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Aprende Middle School,Public,777 N Desert Breeze Blvd. E #1,Chandler,Maricopa,85226,N,,348,97.70%,2.30%,100%,91.70%,3.40%,96.60%,91.70%,3.40%,96.60%,95.70%,4.30%,100%,96.60%,3.40%,100%,96.80%,3.20%,100%,79.60%,2.00%,100%,5.20%,0.00%,1.10%,
Arcadia Neighborhood Learning Center,Public,4330 N 62nd St. ,Scottsdale,Maricopa,85251,Y,RN,64,95.30%,4.70%,100%,67.20%,6.30%,75.00%,65.60%,6.30%,73.40%,95.30%,4.70%,100%,93.80%,6.30%,100%,95.30%,4.70%,100%,71.90%,6.30%,100%,7.80%,0.00%,1.60%,
Arete Preparatory Academy,Charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234,Y,RN,98,87.80%,12.20%,100%,76.50%,17.30%,100%,76.50%,18.40%,100%,86.70%,13.30%,100%,85.70%,14.30%,100%,86.70%,13.30%,100%,68.40%,12.20%,100%,18.40%,1.00%,10.20%,
Arizona Academy Of Science And Technology,Charter,P.O. Box 13606,Phoenix,Maricopa,85002,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arizona Autism Charter School,Public,4433 North 7th St. ,Phoenix,Maricopa,85014,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arizona Charter Academy,Charter,16011 N Dysart Rd. ,Surprise,Maricopa,85378,N,,51,96.10%,3.90%,100%,82.40%,3.90%,90.20%,82.40%,3.90%,90.20%,96.10%,3.90%,100%,96.10%,3.90%,100%,96.10%,3.90%,100%,96.10%,3.90%,100%,3.90%,0.00%,3.90%,
Arizona College Prep - Oakland,Public,191 West Oakland St.,Chandler,Maricopa,85225,N,,120,99.20%,0.80%,100%,88.30%,1.70%,100%,93.30%,2.50%,100%,99.20%,0.80%,100%,98.30%,1.70%,100%,99.20%,0.80%,100%,74.20%,0.80%,100%,2.50%,0.80%,0.80%,
Arizona Connections Academy,Charter,"335 E. Germann Rd., Suite 140",Gilbert,Maricopa,85297,N,,155,85.80%,14.20%,100%,64.50%,16.10%,82.60%,64.50%,16.10%,81.90%,85.80%,13.50%,99.40%,86.50%,13.50%,100%,85.20%,14.20%,99.40%,73.50%,12.90%,100%,16.80%,0.60%,17.40%,
Arizona Conservatory For Arts And Academics,Charter,2820 W. Kelton Ln.,Phoenix,Maricopa,85053,N,,72,93.10%,6.90%,100%,86.10%,9.70%,98.60%,84.70%,9.70%,97.20%,93.10%,6.90%,100%,93.10%,6.90%,100%,93.10%,6.90%,100%,69.40%,6.90%,98.60%,9.70%,0.00%,6.90%,
Arizona Cultural Academy,Private,7810 S 42nd Pl.,Phoenix,Maricopa,85034,Y,RN,25,100%,0.00%,100%,64.00%,0.00%,100%,64.00%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,88.00%,0.00%,100%,0.00%,0.00%,0.00%,
Arizona Desert Elementary School,Public,8803 W Van Buren St. ,Tolleson,Maricopa,85353,N,,59,96.60%,3.40%,100%,93.20%,5.10%,100%,93.20%,5.10%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,93.20%,3.40%,96.60%,96.60%,3.40%,100%,5.10%,0.00%,3.40%,
Arizona Desert Elementary School,Public,P.O. Box 6870,San Luis,Yuma,85349,Y,LPN,118,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,85.60%,0.00%,100%,0.00%,0.00%,0.00%,
Arizona International Academy,Private,12430 N Scottsdale Rd. ,Scottsdale,Maricopa,85254,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arizona School For The Arts,Charter,1410 N Third St. ,Phoenix,Maricopa,85004,N,,111,100%,0.00%,100%,79.30%,9.90%,92.80%,75.70%,9.90%,89.20%,88.30%,11.70%,100%,90.10%,9.90%,100%,91.00%,9.00%,100%,79.30%,0.00%,100%,9.90%,0.00%,9.90%,
Arizona School For The Deaf And Blind Tucson Campus,Public,1200 W Speedway Blvd.,Tucson,Pima,85754,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arlington Elementary School,Public,P.O. Box 39,Arlington,Maricopa,85322,N,,23,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Arrowhead Christian Academy,Private,4030 W. Yorkshire Dr.,Glendale,Maricopa,85308,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arrowhead Elementary School,Public,7490 W. Union Hills Dr.,Glendale,Maricopa,85308,Y,LPN,77,96.10%,3.90%,100%,96.10%,3.90%,100%,96.10%,3.90%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,80.50%,2.60%,100%,5.20%,0.00%,2.60%,
Arrowhead Elementary School,Public,3820 E Nisbet Rd. ,Phoenix,Maricopa,85032,Y,RN,79,93.70%,1.30%,94.90%,92.40%,1.30%,93.70%,92.40%,1.30%,93.70%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.70%,0.00%,100%,1.30%,0.00%,0.00%,
Arroyo School,Public,4535 W Cholla St. ,Glendale,Maricopa,85304,N,,71,98.60%,1.40%,100%,97.20%,1.40%,100%,97.20%,1.40%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,87.30%,0.00%,100%,2.80%,0.00%,0.00%,
Arthur M. Hamilton Elementary School,Public,2020 W. Durango St.,Phoenix,Maricopa,85009,N,,29,100%,0.00%,100%,96.60%,0.00%,96.60%,96.60%,0.00%,96.60%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,86.20%,0.00%,100%,0.00%,0.00%,0.00%,
Arts Academy At Estrella Mountain,Charter,2504 S 91st Ave.,Tolleson,Maricopa,85353,N,,120,98.30%,0.00%,98.30%,83.30%,0.00%,85.80%,81.70%,0.00%,100%,97.50%,0.00%,97.50%,98.30%,0.00%,98.30%,98.30%,0.00%,98.30%,100%,0.00%,100%,0.80%,0.00%,0.00%,
Ash Creek Elementary,Public,6460 AZ-181,Pearce,Cochise,86525,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ash Fork Joint Unified,Public,P.O. Box 247,Ash Fork,Yavapai,86320,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashland Ranch Elementary,Public,1945 South Ashland Ranch Rd.,Gilbert,Maricopa,85295,Y,RN,108,98.10%,1.90%,100%,90.70%,7.40%,100%,90.70%,6.50%,100%,98.10%,1.90%,100%,98.10%,1.90%,100%,100%,0.00%,100%,76.90%,0.00%,100%,7.40%,0.00%,0.00%,
Ashton Ranch Elementary School,Public,14898 W Acoma Dr.,Surprise,Maricopa,85379,Y,LPN,124,97.60%,2.40%,100%,92.70%,3.20%,100%,91.90%,5.60%,100%,97.60%,2.40%,100%,97.60%,2.40%,100%,98.40%,1.60%,100%,79.00%,0.80%,100%,6.50%,0.00%,0.80%,
Asu Preparatory Academy,Charter,735 EaSt.  Filmore St. ,Phoenix,Maricopa,85006,Y,RN,89,96.60%,3.40%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,87.60%,3.40%,100%,3.40%,0.00%,3.40%,
Asu Preparatory Academy Polytechnic Elementary,Charter,6950 E. William's Field Rd.,Mesa,Maricopa,85212,N,,75,97.30%,0.00%,97.30%,94.70%,4.00%,100%,94.70%,4.00%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,98.70%,1.30%,100%,78.70%,2.70%,100%,2.70%,1.30%,2.70%,
