SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
TRIVIUM PREPARATORY ACADEMY,2001 N BULLARD AVE,GOODYEAR,MARICOPA,85395,YES,RN,CHARTER,164,93.3%,6.1%,100.0%,93.9%,6.1%,100.0%,94.5%,5.5%,100.0%,95.7%,4.3%,100.0%,95.1%,4.9%,100.0%,95.7%,4.3%,100.0%,9.1%,1.8%,3.0%
MARYVALE PREPARATORY ACADEMY,4825 W CAMELBACK RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,64,92.2%,7.8%,100.0%,92.2%,7.8%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,7.8%,0.0%,3.1%
HAPPY VALLEY SCHOOL - EAST CAMPUS,266 E WESTBROOKE RD.,SAN TAN VALLEY,PINAL,85140,NO,,CHARTER,59,84.7%,8.5%,96.6%,83.1%,10.2%,96.6%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,10.2%,0.0%,3.4%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,122,88.5%,9.0%,100.0%,89.3%,9.0%,100.0%,94.3%,5.7%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,11.5%,0.0%,4.1%
RIDGELINE ACADEMY,33625 N NORTH VALLEY PKWY,PHOENIX,MARICOPA,85085,NO,,CHARTER,82,78.0%,19.5%,98.8%,78.0%,19.5%,98.8%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,19.5%,0.0%,2.4%
FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEMENTARY SCHOOL,201 E DURANGO ST,PHOENIX,MARICOPA,85004,YES,LPN,CHARTER,38,50.0%,0.0%,50.0%,50.0%,0.0%,55.3%,94.7%,0.0%,94.7%,94.7%,0.0%,94.7%,97.4%,0.0%,97.4%,97.4%,0.0%,97.4%,0.0%,0.0%,0.0%
MESA ARTS ACADEMY,221 W SIXTH AVE,MESA,MARICOPA,85210,NO,,CHARTER,23,95.7%,0.0%,100.0%,95.7%,0.0%,95.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT HEIGHTS PREPARATORY ACADEMY,3540 W UNION HILLS DR,GLENDALE,MARICOPA,85308,NO,,CHARTER,83,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,7.2%,0.0%,7.2%
BENNETT ACADEMY - W BETHANY HOME RD,2930 W BETHANY HOME RD,PHOENIX,MARICOPA,85017,NO,,CHARTER,21,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
VAIL ACADEMY & HIGH SCHOOL,7762 E SCIENCE PARK DR,TUCSON,PIMA,85747,NO,,CHARTER,51,94.1%,2.0%,96.1%,96.1%,2.0%,98.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
