SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,53,89%,11%,100%,66%,17%,85%,66%,17%,85%,85%,15%,100%,87%,13%,100%,89%,11%,100%,89%,11%,100%,17%,2%,19%
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,87,98%,2%,100%,95%,3%,100%,95%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRE LIBRE ELEMENTARY SCHOOL,16428 N 21ST ST,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,54,98%,2%,100%,96%,2%,100%,96%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,NO,,PUBLIC,31,97%,0%,97%,55%,0%,58%,55%,0%,58%,97%,0%,97%,97%,0%,97%,100%,0%,100%,97%,0%,97%,3%,3%,0%
ALFRED F GARCIA SCHOOL,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,YES,LPN,PUBLIC,39,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ALHAMBRA TRADITIONAL SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,NO,,PUBLIC,77,97%,3%,100%,94%,4%,100%,94%,4%,100%,97%,3%,100%,97%,3%,100%,96%,3%,99%,96%,4%,100%,5%,0%,3%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,65,98%,2%,100%,89%,3%,94%,89%,3%,94%,95%,3%,98%,97%,3%,100%,98%,2%,100%,98%,2%,100%,5%,0%,3%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,94,98%,2%,100%,81%,2%,84%,81%,2%,84%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,0%,0%,2%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,YES,RN,PUBLIC,128,96%,1%,100%,99%,1%,100%,99%,1%,100%,97%,1%,100%,99%,1%,100%,97%,1%,100%,99%,1%,100%,1%,0%,1%
ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,TUCSON,PIMA,85735,NO,,PUBLIC,84,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,64,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,123 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86332,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,23,96%,4%,100%,30%,4%,35%,35%,4%,39%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,52,90%,10%,100%,67%,31%,100%,62%,37%,100%,90%,10%,100%,88%,12%,100%,92%,8%,100%,90%,10%,100%,40%,0%,8%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,140,91%,7%,100%,85%,14%,100%,82%,16%,100%,89%,11%,100%,89%,11%,100%,93%,7%,100%,91%,9%,100%,19%,0%,4%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,51,96%,4%,100%,92%,8%,100%,88%,12%,100%,96%,4%,100%,98%,2%,100%,96%,4%,100%,98%,2%,100%,12%,0%,2%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,84,93%,7%,100%,81%,19%,100%,81%,19%,100%,92%,8%,100%,93%,7%,100%,92%,8%,100%,94%,6%,100%,19%,0%,6%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,38,100%,0%,100%,84%,13%,100%,79%,16%,100%,100%,0%,100%,100%,0%,100%,97%,3%,100%,95%,5%,100%,21%,0%,0%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,130,88%,11%,100%,77%,22%,100%,75%,24%,100%,88%,12%,100%,87%,13%,100%,89%,11%,100%,88%,12%,100%,24%,1%,9%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,150,97%,3%,100%,90%,8%,100%,87%,11%,100%,93%,7%,100%,95%,5%,100%,97%,3%,100%,94%,6%,100%,15%,0%,2%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,30,93%,7%,100%,87%,13%,100%,90%,10%,100%,97%,3%,100%,90%,10%,100%,90%,10%,100%,93%,7%,100%,23%,10%,3%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,24,100%,0%,100%,83%,0%,83%,83%,0%,83%,96%,0%,96%,96%,0%,96%,100%,0%,100%,92%,0%,92%,0%,0%,0%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,37,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,TUCSON,PIMA,85705,YES,RN,PUBLIC,295,100%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
AMY L. HOUSTON ACADEMY,7139 S 10TH ST,PHOENIX,MARICOPA,85042,YES,Both,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANDALUCIA MIDDLE SCHOOL,4730 W CAMPBELL AVE,PHOENIX,MARICOPA,85031,NO,,PUBLIC,213,99%,1%,100%,94%,1%,97%,93%,1%,96%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,1%,0%,1%
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,60,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,151,97%,3%,100%,85%,7%,100%,87%,7%,100%,97%,3%,100%,96%,4%,100%,95%,5%,100%,97%,3%,100%,11%,0%,3%
ANNUNCIATION CATHOLIC SCHOOL,32648 N CAVE CREEK RD,CAVE CREEK,MARICOPA,85331,YES,RN,PRIVATE,27,100%,0%,100%,100%,0%,100%,100%,0%,100%,96%,0%,100%,96%,0%,100%,93%,0%,100%,100%,0%,100%,0%,0%,0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,100,99%,1%,100%,92%,3%,95%,90%,5%,95%,98%,2%,100%,98%,2%,100%,97%,3%,100%,100%,0%,100%,4%,2%,3%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,76,93%,5%,100%,83%,11%,97%,82%,9%,95%,99%,0%,99%,93%,5%,100%,92%,8%,100%,99%,1%,100%,12%,3%,4%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,69,94%,6%,100%,93%,7%,100%,91%,9%,100%,96%,4%,100%,96%,4%,100%,96%,3%,99%,97%,3%,100%,6%,0%,3%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,199,97%,2%,100%,87%,2%,90%,86%,2%,90%,97%,2%,100%,98%,2%,100%,97%,2%,99%,98%,2%,100%,2%,0%,2%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,80,95%,5%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,9%,0%,5%
ARCADIA NEIGHBORHOOD LEARNING CENTER,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,52,92%,8%,100%,88%,10%,100%,83%,15%,100%,94%,6%,100%,94%,6%,100%,96%,4%,100%,100%,0%,100%,15%,0%,4%
ARCHWAY CLASSICAL ACADEMY - NORTH PHOENIX,"13613 N CAVE CREEK RD, BUILDING C",PHOENIX,MARICOPA,85018,NO,,CHARTER,117,96%,4%,100%,91%,9%,100%,91%,9%,100%,93%,7%,100%,93%,7%,100%,95%,5%,100%,95%,5%,100%,14%,1%,3%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,95,98%,2%,100%,100%,0%,100%,91%,3%,97%,98%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,3%,0%,1%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,201,87%,13%,100%,74%,18%,97%,74%,18%,97%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,18%,1%,14%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,YES,RN,PRIVATE,22,95%,5%,100%,77%,5%,100%,82%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,5%,5%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,129,100%,0%,100%,95%,0%,100%,94%,0%,100%,99%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,NO,,PUBLIC,68,96%,1%,100%,78%,1%,79%,78%,1%,79%,97%,1%,100%,99%,1%,100%,97%,1%,100%,99%,1%,100%,1%,0%,1%
ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,112,99%,0%,99%,100%,0%,100%,90%,0%,100%,99%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,29,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,84,95%,5%,100%,92%,7%,100%,92%,8%,100%,95%,5%,100%,95%,5%,100%,96%,4%,100%,98%,2%,100%,7%,0%,4%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,89,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,1%,0%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,117,100%,0%,100%,94%,6%,100%,93%,7%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,8%,0%,0%
ASH FORK MIDDLE SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,91,98%,2%,100%,92%,4%,99%,92%,4%,99%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
ATHOS TRADITIONAL ACADEMY,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,YES,RN,CHARTER,111,90%,10%,100%,87%,11%,100%,87%,11%,100%,90%,10%,100%,89%,11%,100%,90%,10%,100%,91%,9%,100%,12%,1%,9%
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,130,98%,2%,100%,86%,0%,100%,85%,7%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,97%,3%,100%,2%,0%,0%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,172,98%,2%,100%,94%,2%,99%,92%,3%,98%,98%,2%,100%,97%,3%,100%,96%,4%,100%,98%,2%,100%,8%,1%,1%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,,CHARTER,36,100%,0%,100%,89%,6%,100%,83%,6%,92%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,6%,0%,0%
AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,YES,RN,PUBLIC,131,100%,0%,100%,92%,0%,92%,90%,0%,91%,99%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
B.U.S.D. #20 - BAGDAD SPECIAL NEEDS PRESCHOOL,6 SOUTH LINDAHL,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,31,100%,0%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,97,96%,3%,100%,96%,1%,97%,96%,1%,97%,96%,3%,100%,96%,3%,100%,96%,3%,100%,95%,5%,100%,7%,0%,0%
BALSZ SCHOOL,4309 E BELLEVIEW ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,76,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,0%,0%,1%
BARBARA BUSH ELEMENTARY SCHOOL,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,81,99%,1%,100%,93%,5%,100%,93%,5%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,5%,0%,1%
BARCELONA MIDDLE SCHOOL,6530 N 44TH AVE,GLENDALE,MARICOPA,85301,YES,RN,PUBLIC,135,100%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,1%,0%
BASHA ELEMENTARY,3535 S BASHA RD,CHANDLER,MARICOPA,85248,NO,,PUBLIC,121,96%,4%,100%,94%,2%,100%,93%,4%,98%,96%,4%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,9%,0%,3%
BASHA HIGH SCHOOL,5990 S VAL VISTA,CHANDLER,MARICOPA,85249,YES,RN,PUBLIC,72,99%,1%,100%,96%,1%,100%,96%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
BASIS - AHWATUKEE,10210 S 50TH PL,PHOENIX,MARICOPA,85044,NO,,CHARTER,133,92%,8%,100%,92%,8%,100%,87%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,8%,0%,8%
BASIS - CHANDLER,4825 S. ARIZONA AVE,CHANDLER,MARICOPA,85248,NO,,CHARTER,175,98%,2%,100%,88%,4%,100%,86%,6%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,7%,0%,1%
BASIS - FLAGSTAFF,1700 N GEMINI DR,FLAGSTAFF,COCONINO,86001,NO,,CHARTER,95,91%,9%,100%,86%,12%,100%,84%,14%,100%,88%,12%,100%,93%,7%,100%,92%,8%,100%,92%,8%,100%,16%,0%,6%
BASIS - MESA,5010 S EASTMARK PKWY,MESA,MARICOPA,85212,NO,,CHARTER,104,95%,5%,100%,81%,8%,100%,80%,9%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,14%,0%,0%
BASIS - ORO VALLEY,11155 N ORACLE RD,ORO VALLEY,PIMA,,NO,,CHARTER,124,98%,2%,100%,94%,3%,100%,92%,5%,100%,97%,3%,100%,98%,2%,100%,95%,5%,100%,98%,2%,100%,6%,3%,2%
BASIS - PEORIA,9902 W YEARLING ROAD,PEORIA,MARICOPA,,NO,,CHARTER,162,94%,6%,100%,72%,20%,100%,71%,20%,100%,95%,5%,100%,94%,6%,100%,94%,6%,100%,92%,8%,100%,22%,1%,3%
BASIS - PHOENIX,11850 N 32ND ST,PHOENIX,MARICOPA,85028,NO,,CHARTER,122,98%,2%,100%,86%,8%,100%,84%,10%,100%,97%,3%,100%,96%,4%,100%,98%,2%,100%,97%,3%,100%,13%,0%,2%
BASIS - SCOTTSDALE,10400 N. 128TH ST,SCOTTSDALE,MARICOPA,85259,NO,,CHARTER,186,99%,1%,100%,94%,3%,100%,91%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,5%,1%,1%
BASIS - TUCSON NORTH,5740 E RIVER RD,TUCSON,PIMA,85750,NO,,CHARTER,154,100%,0%,100%,98%,0%,100%,97%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,1%,0%
BASIS GOODYEAR,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338,NO,,CHARTER,90,96%,4%,100%,89%,4%,100%,88%,6%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,8%,0%,4%
BASIS PHOENIX CENTRAL PRIMARY,201 E INDIANOLA AVE,PHOENIX,MARICOPA,85012,NO,,CHARTER,58,98%,2%,100%,91%,5%,100%,91%,5%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,5%,0%,2%
BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,PRESCOTT,YAVAPAI,86301,YES,RN,PUBLIC,91,90%,10%,100%,75%,25%,100%,71%,29%,100%,87%,13%,100%,86%,14%,100%,88%,12%,100%,90%,10%,100%,36%,36%,8%
