,Unnamed: 0,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,mmr_vax_count,exempt_count_mmr,unvax_mmr,missing_forms_mmr,polio_vax_count,exempt_count_polio,unvax_polio,missing_forms_polio,dtap_vax_count,exempt_count_dtap,unvax_dtap,missing_forms_dtap,hep_vax_count,exempt_count_hep,unvax_hep,missing_forms_hep,var_vax_count,exempt_count_var,unvax_var,missing_forms_var,mf2_mmr,mf2_polio,mf2_dtap,mf2_hep,mf2_var,mmr_herd_immune,polio_herd_immune,dtap_herd_immune,hep_herd_immune,var_herd_immune
32,32,all aboard charter school,charter,5827 n 35th ave.,phoenix,maricopa,85017.0,n,22.0,1.0,1.0,1.0,1.0,0.9550000000000001,0.0,0.0,0.0,0.0,0.0,2015,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
34,34,all saints episcopal day school,private,6300 n central ave.,phoenix,maricopa,85012.0,y,38.0,0.9740000000000001,0.9740000000000001,0.9740000000000001,0.9470000000000001,0.9209999999999999,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.053,0.026000000000000002,2015,38.0,1.0,0.0,-1.0,38.0,1.0,0.0,-1.0,38.0,1.0,0.0,-1.0,36.0,2.0,2.0,0.0,35.0,1.0,3.0,2.0,no,no,no,no,yes,yes,yes,yes,no,no
36,36,alta e butler school,public,3843 w roosevelt st. ,phoenix,maricopa,85009.0,n,121.0,0.9259999999999999,0.9500000000000001,0.9670000000000001,0.983,0.893,0.0,0.0,0.0,0.0,0.0,2015,118.0,0.0,3.0,3.0,115.0,0.0,6.0,6.0,113.0,0.0,8.0,8.0,119.0,0.0,2.0,2.0,109.0,0.0,12.0,12.0,yes,yes,yes,yes,yes,yes,yes,no,yes,no
37,37,alta loma school,public,9750 n 87th ave.,peoria,maricopa,85345.0,y,62.0,0.968,0.935,0.9840000000000001,0.9840000000000001,0.919,0.016,0.016,0.016,0.016,0.016,2015,62.0,1.0,0.0,-1.0,58.0,1.0,4.0,3.0,61.0,1.0,1.0,0.0,62.0,1.0,0.0,-1.0,57.0,1.0,5.0,4.0,no,yes,no,no,yes,yes,no,yes,yes,no
38,38,alta vista elementary school,public,8710 n 31st ave.,phoenix,maricopa,85051.0,y,92.0,0.978,0.9890000000000001,0.9890000000000001,0.9570000000000001,0.946,0.0,0.0,0.0,0.011000000000000001,0.011000000000000001,2015,91.0,0.0,1.0,1.0,91.0,0.0,1.0,1.0,90.0,0.0,2.0,2.0,89.0,1.0,3.0,2.0,88.0,1.0,4.0,3.0,no,no,yes,yes,yes,yes,yes,yes,yes,no
40,40,amberlea elementary,public,8455 w. virginia ave.,phoenix,maricopa,85037.0,n,93.0,1.0,0.9890000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2015,93.0,0.0,0.0,0.0,92.0,0.0,1.0,1.0,93.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
43,43,american leadership academy - anthem south campus,charter,4380 n hunt hwy,florence,pinal,85312.0,n,63.0,0.873,0.8890000000000001,0.873,0.9209999999999999,0.698,0.127,0.111,0.127,0.079,0.079,2015,55.0,7.0,8.0,1.0,57.0,7.0,6.0,-1.0,55.0,7.0,8.0,1.0,59.0,5.0,4.0,-1.0,44.0,4.0,19.0,15.0,no,no,no,no,yes,no,no,no,no,no
44,44,american leadership academy - gilbert campus,charter,3155 s santan village pkwy,gilbert,maricopa,85295.0,n,115.0,0.8170000000000001,0.8170000000000001,0.835,0.87,0.652,0.18300000000000002,0.18300000000000002,0.165,0.13,0.139,2015,97.0,17.0,18.0,1.0,94.0,18.0,21.0,3.0,94.0,18.0,21.0,3.0,101.0,14.0,14.0,0.0,75.0,11.0,40.0,29.0,no,yes,yes,no,yes,no,no,no,no,no
45,45,american leadership academy - ironwood elementary campus,charter,650 w combs rd.,queen creek,maricopa,85140.0,n,86.0,0.8370000000000001,0.872,0.8370000000000001,0.872,0.733,0.151,0.128,0.163,0.11599999999999999,0.09300000000000001,2015,72.0,12.0,14.0,2.0,75.0,10.0,11.0,1.0,72.0,11.0,14.0,3.0,75.0,9.0,11.0,2.0,64.0,6.0,22.0,16.0,yes,no,yes,yes,yes,no,no,no,no,no
46,46,american leadership academy - mesa campus,charter,4507 s mountain rd.,mesa,maricopa,85212.0,n,78.0,0.885,0.885,0.885,0.885,0.654,0.115,0.115,0.115,0.115,0.077,2015,70.0,9.0,8.0,-1.0,70.0,9.0,8.0,-1.0,70.0,9.0,8.0,-1.0,70.0,9.0,8.0,-1.0,52.0,5.0,26.0,21.0,no,no,no,no,yes,no,no,no,no,no
