,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,exempt_tdap
24,All Saints Catholic School,Private,1425 Yaqui St. ,Sierra Vista,Cochise,85650.0,N,<20,,,,,,,,,,,2015,
25,All Saints Episcopal Day School,Private,6300 N Central Ave.,Phoenix,Maricopa,85012.0,Y,61,93.40%,98.40%,98.40%,98.40%,90.20%,6.60%,1.60%,1.60%,1.60%,1.60%,2015,
26,Alpine Elementary School,Public,P.O. Box 170,Alpine,Apache,85920.0,N,<20,,,,,,,,,,,2015,
27,Alta Loma School,Public,9750 N 87th Ave.,Peoria,Maricopa,85345.0,Y,85,94.10%,95.30%,96.50%,96.50%,87.10%,4.70%,4.70%,3.50%,3.50%,3.50%,2015,
28,Alta Vista Elementary School,Public,8710 N 31st Ave.,Phoenix,Maricopa,85051.0,Y,91,98.90%,97.80%,100%,98.90%,90.10%,0.00%,0.00%,0.00%,1.10%,2.20%,2015,
29,Altar Valley Middle School,Public,16350 W Ajo Way,Tucson,Pima,85736.0,Y,80,96.30%,100%,98.80%,100%,100%,2.50%,0.00%,1.30%,0.00%,0.00%,2015,
30,Ambassador Academy,Charter,3820 E Ray Rd. ,Phoenix,Maricopa,85044.0,N,<20,,,,,,,,,,,2015,
31,Amberlea Elementary,Public,8455 W. Virginia Ave.,Phoenix,Maricopa,85037.0,N,85,98.80%,100%,100%,100%,91.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
32,American Heritage Academy - Camp Verde,Charter,132 General Crook Trl.,Camp Verde,Yavapai,86322.0,N,22,81.80%,95.50%,100%,95.50%,72.70%,13.60%,4.50%,0.00%,4.50%,4.50%,2015,
33,American Heritage Academy - Cottonwood,Charter,2030 E. Cherry St.,Cottonwood,Yavapai,86326.0,N,24,45.80%,95.80%,95.80%,95.80%,83.30%,4.20%,4.20%,4.20%,4.20%,4.20%,2015,
34,American Leadership Academy - Anthem South Campus,Charter,4380 N Hunt Hwy,Florence,Pinal,85312.0,N,41,92.70%,95.10%,92.70%,95.10%,82.90%,4.90%,4.90%,7.30%,4.90%,4.90%,2015,
35,American Leadership Academy - Gilbert Campus,Charter,3155 S Santan Village Pkwy,Gilbert,Maricopa,85295.0,N,75,64.00%,84.00%,85.30%,82.70%,73.30%,32.00%,16.00%,14.70%,17.30%,14.70%,2015,
36,American Leadership Academy - Ironwood Elementary Campus,Charter,650 W Combs Rd. ,Queen Creek,Maricopa,85140.0,N,118,79.70%,87.30%,87.30%,86.40%,72.90%,16.90%,12.70%,12.70%,13.60%,9.30%,2015,
37,American Leadership Academy - Mesa Campus,Charter,4507 S Mountain Rd. ,Mesa,Maricopa,85212.0,N,44,84.10%,86.40%,93.20%,88.60%,70.50%,11.40%,13.60%,6.80%,11.40%,6.80%,2015,
38,American Leadership Academy - Queen Creek Elementary,Charter,19843 E Chandler Heights Rd. ,Queen Creek,Maricopa,85142.0,N,136,73.50%,87.50%,86.80%,88.20%,68.40%,22.10%,12.50%,13.20%,11.80%,7.40%,2015,
39,American Leadership Academy - San Tan Valley Campus,Charter,34696 N Village Ln.,San Tan Valley,Pinal,85142.0,N,68,77.90%,89.70%,89.70%,91.20%,79.40%,17.60%,10.30%,10.30%,8.80%,7.40%,2015,
40,Amerischools Academy - Camelback,Charter,1333 West Camelback Rd.,Phoenix,Maricopa,85013.0,N,30,80.00%,96.70%,96.70%,96.70%,86.70%,6.70%,3.30%,3.30%,3.30%,0.00%,2015,
41,Amerischools Academy - Yuma South Campus,Charter,2098 S 3rd Ave.,Yuma,Yuma,85364.0,N,<20,,,,,,,,,,,2015,
42,Amerischools Academy North,Charter,1220 S. 4th Ave.,Yuma,Yuma,85364.0,N,<20,,,,,,,,,,,2015,
43,Amerischools Academy Tucson,Charter,1150 N. Country Club Rd. ,Tucson,Pima,85716.0,N,28,96.40%,92.90%,92.90%,100%,92.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
44,Amphitheater Middle School,Public,315 E. Prince Rd. ,Tucson,Pima,85705.0,Y,234,96.60%,99.10%,99.60%,99.60%,98.30%,2.10%,0.40%,0.40%,0.40%,0.40%,2015,
45,Amy L. Houston Academy,Public,7139 S 10th St. ,Phoenix,Maricopa,85042.0,Y,<20,,,,,,,,,,,2015,
46,Andalucia Middle,Public,4730 W. Campbell Ave.,Phoenix,Maricopa,85031.0,N,239,95.80%,98.70%,98.70%,98.70%,84.50%,0.40%,0.00%,0.40%,0.00%,0.00%,2015,
47,Anna Lawrence Intermediate,Public,4850 W. Jeffrey Rd.,Tucson,Pima,85746.0,Y,60,96.70%,98.30%,98.30%,98.30%,96.70%,3.30%,1.70%,1.70%,1.70%,1.70%,2015,
48,Anna Marie Jacebsen Elementary School,Public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248.0,N,174,89.70%,98.30%,98.30%,98.90%,98.30%,5.20%,1.10%,1.10%,1.10%,0.00%,2015,
49,Annunciation Catholic School,Private,32648 N Cave Creek Rd.,Cave Creek,Maricopa,85331.0,Y,<20,,,,,,,,,,,2015,
50,Anthem K-8 School,Public,2700 N Anthem Way,Florence,Pinal,85232.0,N,86,95.30%,98.80%,98.80%,98.80%,81.40%,2.30%,1.20%,1.20%,1.20%,1.20%,2015,
51,Anthem Preparatory Academy,Charter,39808 N Gavilan Peak Pkwy,Anthem,Maricopa,85086.0,N,76,82.90%,88.20%,88.20%,88.20%,80.30%,11.80%,7.90%,9.20%,7.90%,7.90%,2015,
52,Anthem School,Public,41020 N Freedmon Way,Anthem,Maricopa,85086.0,Y,77,89.60%,94.80%,96.10%,96.10%,81.80%,6.50%,3.90%,3.90%,3.90%,3.90%,2015,
53,Anza Trail Elementary,Public,15490 S Rancho Sahuarita Blvd.,Sahuarita,Pima,85629.0,N,235,33.20%,98.30%,97.90%,97.90%,65.50%,1.70%,1.70%,1.70%,1.70%,1.70%,2015,
54,Apache Elementary School,Public,8633 W John Cabot Rd. ,Peoria,Maricopa,85382.0,Y,91,92.30%,95.60%,95.60%,96.70%,82.40%,7.70%,4.40%,4.40%,3.30%,4.40%,2015,
55,Apollo Middle School,Public,265 W Nebraska,Tucson,Pima,85706.0,Y,<20,,,,,,,,,,,2015,
56,Aprende Middle School,Public,777 N Desert Breeze Blvd. E #1,Chandler,Maricopa,85226.0,N,348,91.70%,95.70%,96.60%,96.80%,79.60%,3.40%,4.30%,3.40%,3.20%,2.00%,2015,
57,Arcadia Neighborhood Learning Center,Public,4330 N 62nd St. ,Scottsdale,Maricopa,85251.0,Y,64,67.20%,95.30%,93.80%,95.30%,71.90%,6.30%,4.70%,6.30%,4.70%,6.30%,2015,
58,Arete Preparatory Academy,Charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234.0,Y,98,76.50%,86.70%,85.70%,86.70%,68.40%,17.30%,13.30%,14.30%,13.30%,12.20%,2015,
59,Arizona Academy Of Science And Technology,Charter,P.O. Box 13606,Phoenix,Maricopa,85002.0,N,<20,,,,,,,,,,,2015,
60,Arizona Autism Charter School,Public,4433 North 7th St. ,Phoenix,Maricopa,85014.0,N,<20,,,,,,,,,,,2015,
61,Arizona Charter Academy,Charter,16011 N Dysart Rd. ,Surprise,Maricopa,85378.0,N,51,82.40%,96.10%,96.10%,96.10%,96.10%,3.90%,3.90%,3.90%,3.90%,3.90%,2015,
62,Arizona College Prep - Oakland,Public,191 West Oakland St.,Chandler,Maricopa,85225.0,N,120,88.30%,99.20%,98.30%,99.20%,74.20%,1.70%,0.80%,1.70%,0.80%,0.80%,2015,
63,Arizona Connections Academy,Charter,"335 E. Germann Rd., Suite 140",Gilbert,Maricopa,85297.0,N,155,64.50%,85.80%,86.50%,85.20%,73.50%,16.10%,13.50%,13.50%,14.20%,12.90%,2015,
64,Arizona Conservatory For Arts And Academics,Charter,2820 W. Kelton Ln.,Phoenix,Maricopa,85053.0,N,72,86.10%,93.10%,93.10%,93.10%,69.40%,9.70%,6.90%,6.90%,6.90%,6.90%,2015,
65,Arizona Cultural Academy,Private,7810 S 42nd Pl.,Phoenix,Maricopa,85034.0,Y,25,64.00%,100%,100%,100%,88.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
66,Arizona Desert Elementary School,Public,8803 W Van Buren St. ,Tolleson,Maricopa,85353.0,N,59,93.20%,96.60%,96.60%,93.20%,96.60%,5.10%,3.40%,3.40%,3.40%,3.40%,2015,
67,Arizona Desert Elementary School,Public,P.O. Box 6870,San Luis,Yuma,85349.0,Y,118,100%,100%,100%,100%,85.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
68,Arizona International Academy,Private,12430 N Scottsdale Rd. ,Scottsdale,Maricopa,85254.0,N,<20,,,,,,,,,,,2015,
69,Arizona School For The Arts,Charter,1410 N Third St. ,Phoenix,Maricopa,85004.0,N,111,79.30%,88.30%,90.10%,91.00%,79.30%,9.90%,11.70%,9.90%,9.00%,0.00%,2015,
70,Arizona School For The Deaf And Blind Tucson Campus,Public,1200 W Speedway Blvd.,Tucson,Pima,85754.0,Y,<20,,,,,,,,,,,2015,
71,Arlington Elementary School,Public,P.O. Box 39,Arlington,Maricopa,85322.0,N,23,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
72,Arrowhead Christian Academy,Private,4030 W. Yorkshire Dr.,Glendale,Maricopa,85308.0,N,<20,,,,,,,,,,,2015,
73,Arrowhead Elementary School,Public,7490 W. Union Hills Dr.,Glendale,Maricopa,85308.0,Y,77,96.10%,97.40%,97.40%,97.40%,80.50%,3.90%,2.60%,2.60%,2.60%,2.60%,2015,
74,Arrowhead Elementary School,Public,3820 E Nisbet Rd. ,Phoenix,Maricopa,85032.0,Y,79,92.40%,100%,100%,100%,98.70%,1.30%,0.00%,0.00%,0.00%,0.00%,2015,
75,Arroyo School,Public,4535 W Cholla St. ,Glendale,Maricopa,85304.0,N,71,97.20%,100%,100%,100%,87.30%,1.40%,0.00%,0.00%,0.00%,0.00%,2015,
76,Arthur M. Hamilton Elementary School,Public,2020 W. Durango St.,Phoenix,Maricopa,85009.0,N,29,96.60%,100%,100%,100%,86.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
77,Arts Academy At Estrella Mountain,Charter,2504 S 91st Ave.,Tolleson,Maricopa,85353.0,N,120,83.30%,97.50%,98.30%,98.30%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
78,Ash Creek Elementary,Public,6460 AZ-181,Pearce,Cochise,86525.0,N,<20,,,,,,,,,,,2015,
79,Ash Fork Joint Unified,Public,P.O. Box 247,Ash Fork,Yavapai,86320.0,Y,<20,,,,,,,,,,,2015,
80,Ashland Ranch Elementary,Public,1945 South Ashland Ranch Rd.,Gilbert,Maricopa,85295.0,Y,108,90.70%,98.10%,98.10%,100%,76.90%,7.40%,1.90%,1.90%,0.00%,0.00%,2015,
81,Ashton Ranch Elementary School,Public,14898 W Acoma Dr.,Surprise,Maricopa,85379.0,Y,124,92.70%,97.60%,97.60%,98.40%,79.00%,3.20%,2.40%,2.40%,1.60%,0.80%,2015,
82,Asu Preparatory Academy,Charter,735 EaSt.  Filmore St. ,Phoenix,Maricopa,85006.0,Y,89,96.60%,96.60%,96.60%,96.60%,87.60%,3.40%,3.40%,3.40%,3.40%,3.40%,2015,
83,Asu Preparatory Academy Polytechnic Elementary,Charter,6950 E. William's Field Rd.,Mesa,Maricopa,85212.0,N,75,94.70%,97.30%,97.30%,98.70%,78.70%,4.00%,2.70%,2.70%,1.30%,2.70%,2015,
84,Athos Traditional Academy,Charter,3201 S Gilbert Rd. ,Chandler,Maricopa,85286.0,N,137,83.90%,94.20%,92.70%,93.40%,70.80%,14.60%,5.80%,7.30%,6.60%,7.30%,2015,
85,Atonement Lutheran School,Private,4001 W. Beardsley Rd.,Glendale,Maricopa,85308.0,N,<20,,,,,,,,,,,2015,
86,Audrey And Robert Ryan Elementary,Public,4600 S Bright Angel Way,Chandler,Maricopa,85249.0,N,157,89.20%,98.70%,96.20%,96.20%,98.10%,9.60%,1.30%,3.80%,3.80%,1.90%,2015,
87,Augusta Ranch Elementary,Public,9430 E. Neville Ave.,Mesa,Maricopa,85209.0,Y,155,93.50%,96.80%,97.40%,96.10%,80.60%,3.90%,3.20%,2.60%,3.20%,1.90%,2015,
88,Augustus H Shaw Jr School,Public,123 N 13th St. ,Phoenix,Maricopa,85034.0,Y,24,87.50%,91.70%,91.70%,91.70%,87.50%,8.30%,8.30%,8.30%,8.30%,8.30%,2015,
89,Avalon Elementary,Charter,1045 S. San Marcos Dr. ,Apache Junction,Pinal,85120.0,N,27,66.70%,92.60%,100%,96.30%,74.10%,11.10%,0.00%,0.00%,3.70%,18.50%,2015,
90,Avondale Middle School,Public,1406 N Central Ave.,Avondale,Maricopa,85323.0,Y,106,96.20%,98.10%,99.10%,98.10%,82.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
91,Baboquivari Middle School,Public,Highway 86 Milepost 115.5,Sells,Pima,85634.0,N,75,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
92,Bagdad Unified School District,Private,P.O. Box 427,Bagdad,Yavapai,86321.0,N,23,91.30%,100%,100%,100%,78.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
93,Bales Elementary School,Public,25400 W Maricopa Rd. ,Buckeye,Maricopa,85326.0,N,97,92.80%,95.90%,96.90%,95.90%,75.30%,4.10%,3.10%,3.10%,3.10%,2.10%,2015,
94,Balsz Elementary School,Public,4309 E. Belleview St. ,Phoenix,Maricopa,85008.0,Y,70,100%,100%,100%,100%,95.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
95,Barbara Bush Elementary School,Public,4925 E Ingram St. ,Mesa,Maricopa,85205.0,Y,85,92.90%,96.50%,96.50%,95.30%,81.20%,4.70%,3.50%,3.50%,4.70%,0.00%,2015,
96,Barcelona Middle School,Public,6530 N 44th Ave.,Glendale,Maricopa,85301.0,N,124,100%,100%,100%,100%,83.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
97,Basha Elementary,Public,3535 S Basha Rd. ,Chandler,Maricopa,85248.0,N,122,83.60%,95.10%,95.90%,100%,74.60%,10.70%,4.90%,4.10%,0.00%,2.50%,2015,
98,Basis - Ahwatukee,Charter,10210 S 50th Pl.,Phoenix,Maricopa,85044.0,N,152,90.80%,98.70%,97.40%,98.00%,87.50%,2.60%,1.30%,2.60%,2.00%,0.70%,2015,
99,Basis - Chandler,Charter,1800 E  Chandler Blvd.,Chandler,Maricopa,85225.0,N,122,87.70%,98.40%,98.40%,96.70%,86.10%,5.70%,1.60%,1.60%,3.30%,1.60%,2015,
100,Basis - Flagstaff,Charter,1700 N. Gemini Dr.,Flagstaff,Coconino,86001.0,N,93,82.80%,92.50%,91.40%,90.30%,86.00%,15.10%,7.50%,8.60%,9.70%,9.70%,2015,
101,Basis - Goodyear,Charter,15800 W. Sherman St. ,Goodyear,Maricopa,85338.0,N,64,79.70%,93.80%,92.20%,93.80%,85.90%,14.10%,6.30%,7.80%,6.30%,6.30%,2015,
102,Basis - Mesa,Charter,5010 S Eastmark Pkwy,Mesa,Maricopa,85212.0,N,113,61.90%,94.70%,93.80%,92.90%,93.80%,28.30%,5.30%,6.20%,7.10%,6.20%,2015,
103,Basis - Oro Valley,Charter,11155 North Oracle Rd.,Oro Valley,Pima,85737.0,N,122,96.70%,99.20%,97.50%,99.20%,85.20%,1.60%,0.80%,2.50%,0.80%,0.80%,2015,
104,Basis - Peoria,Charter,25950 N Lake Pleasant Rd. ,Peoria,Maricopa,85383.0,N,161,78.90%,94.40%,95.00%,95.00%,87.00%,14.90%,5.60%,5.00%,5.00%,3.10%,2015,
105,Basis - Phoenix Central,Charter,201 E Indianola Ave.,Phoenix,Maricopa,85012.0,N,67,88.10%,97.00%,97.00%,94.00%,89.60%,6.00%,3.00%,3.00%,6.00%,3.00%,2015,
106,Basis - Phoenix Charter School,Charter,11850 N 32nd St. ,Phoenix,Maricopa,85028.0,N,151,86.10%,95.40%,96.00%,94.00%,83.40%,11.30%,4.60%,4.00%,6.00%,3.30%,2015,
107,Basis - Prescott,Charter,1901 Prescott Lakes Pkwy,Prescott,Yavapai,86301.0,N,92,76.10%,85.90%,85.90%,83.70%,75.00%,22.80%,14.10%,14.10%,16.30%,14.10%,2015,
108,Basis - Scottsdale,Charter,11440 N 136th St. ,Scottsdale,Maricopa,85259.0,N,94,86.20%,97.90%,95.70%,97.90%,88.30%,9.60%,2.10%,4.30%,2.10%,3.20%,2015,
109,Basis - Tucson Middle School,Charter,3825 E 2nd St. ,Tucson,Pima,85716.0,N,75,84.00%,94.70%,94.70%,94.70%,84.00%,12.00%,5.30%,5.30%,5.30%,5.30%,2015,
110,Basis - Tucson North,Charter,5740 E River Rd. ,Tucson,Pima,85750.0,N,152,84.90%,97.40%,98.70%,98.00%,82.20%,8.60%,2.60%,1.30%,2.00%,3.30%,2015,
111,Bayer Private School,Private,23555 N. 67th Ave.,Glendale,Maricopa,85310.0,Y,<20,,,,,,,,,,,2015,
112,Beaver Creek School,Public,4810 East Beaver Creek Rd.,Rimrock,Yavapai,86335.0,N,30,80.00%,100%,96.70%,100%,83.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
113,Beaver Dam Elementary School,Public,3436 East Rio Virgin Rd.,Beaver Dam,Mohave,86432.0,N,29,13.80%,89.70%,89.70%,89.70%,89.70%,10.30%,10.30%,10.30%,10.30%,10.30%,2015,
114,Bella Vista Academy,Charter,P.O. Box 28096,Scottsdale,Maricopa,85266.0,N,<20,,,,,,,,,,,2015,
115,Bella Vista Elementary School,Public,801 N Lenzner Ave.,Sierra Vista,Cochise,85635.0,Y,55,96.40%,98.20%,98.20%,98.20%,92.70%,1.80%,1.80%,1.80%,1.80%,0.00%,2015,
116,Bellair Elementary School,Public,4701 W Grovers Ave. ,Glendale,Maricopa,85308.0,Y,65,95.40%,95.40%,92.30%,95.40%,87.70%,0.00%,4.60%,0.00%,0.00%,1.50%,2015,
117,Benchmark School,Charter,4120 E. Acoma Dr.,Phoenix,Maricopa,85032.0,N,42,19.00%,90.50%,90.50%,88.10%,61.90%,9.50%,9.50%,9.50%,9.50%,9.50%,2015,
118,Benjamin Franklin Charter School - Gilbert,Charter,1475 S Val Vista Dr.,Gilbert,Maricopa,85296.0,Y,65,76.90%,92.30%,92.30%,92.30%,70.80%,21.50%,7.70%,7.70%,7.70%,4.60%,2015,
119,Benjamin Franklin Charter School - Power,Charter,22951 S Power Rd. ,Queen Creek,Maricopa,85142.0,Y,114,70.20%,90.40%,90.40%,88.60%,68.40%,27.20%,9.60%,9.60%,11.40%,9.60%,2015,
120,Benjamin Franklin Charter School - Queen,Charter,22120 Queen Creek Rd.,Queen Creek,Maricopa,85142.0,Y,73,82.20%,93.20%,93.20%,89.00%,80.80%,16.40%,6.80%,6.80%,11.00%,6.80%,2015,
121,Bennett Academy,Charter,2930 W Bethany Home Rd. ,Phoenix,Maricopa,85017.0,N,31,96.80%,96.80%,96.80%,96.80%,93.50%,3.20%,3.20%,3.20%,3.20%,3.20%,2015,
122,Benson Middle School,Public,360 S Patagonia St. ,Benson,Cochise,85602.0,Y,89,92.10%,96.60%,96.60%,98.90%,92.10%,4.50%,2.20%,2.20%,0.00%,3.40%,2015,
123,Bernard Black Elementary,Public,6550 S 27th Ave.,Phoenix,Maricopa,85041.0,Y,98,100%,100%,100%,100%,96.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
124,Bethany Christian School,Private,6304 S. Price Rd.,Tempe,Maricopa,85283.0,Y,25,92.00%,96.00%,96.00%,96.00%,76.00%,8.00%,4.00%,4.00%,4.00%,4.00%,2015,
125,Bicentennial North School,Public,7237 W Missouri Ave.,Glendale,Maricopa,85303.0,Y,161,95.70%,100%,100%,100%,91.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
126,Big Park Community School,Public,25 W Saddlehorn Ct.,Sedona,Yavapai,86351.0,N,22,86.40%,90.90%,90.90%,90.90%,86.40%,13.60%,9.10%,9.10%,9.10%,9.10%,2015,
127,Billy Lane Lauffer Middle School,Public,5385 E Littletown Rd. ,Tucson,Pima,85706.0,Y,169,91.10%,99.40%,99.40%,99.40%,99.40%,0.60%,0.60%,0.60%,0.60%,0.60%,2015,
128,Biltmore Prep,Public,4601 N 34th St. ,Phoenix,Maricopa,85018.0,Y,32,96.90%,100%,100%,100%,78.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
129,Black Mountain Elementary School (Cave Creek),Public,33016 N 60th St. ,Cave Creek,Maricopa,85327.0,Y,87,95.40%,96.60%,96.60%,97.70%,92.00%,4.60%,3.40%,3.40%,2.30%,2.30%,2015,
130,Black Mountain Elementary School (Golden Valley),Public,3404 Santa Maria Rd. ,Golden Valley,Mohave,86413.0,Y,60,50.00%,100%,98.30%,98.30%,41.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
131,Blue Elementary,Public,P.O. Box 1595,Clifton,Greenlee,85533.0,N,<20,,,,,,,,,,,2015,
132,Blue Ridge Middle School,Public,1200 W White Mountain Blvd.,Lakeside,Navajo,85929.0,N,173,88.40%,96.50%,96.00%,96.50%,96.00%,4.60%,3.50%,4.00%,3.50%,4.00%,2015,
133,Bonita Elementary School,Public,18008 S Ft Grant Rd. ,Bonita,Graham,85643.0,N,<20,,,,,,,,,,,2015,
134,Bonnie Brennan School,Public,100 Cochise Dr.,Winslow,Navajo,86047.0,N,78,97.40%,97.40%,100%,100%,78.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
135,Booth-fickett Math/science Magnet School,Public,450 S Montego Dr.,Tucson,Pima,85710.0,Y,241,98.80%,100%,99.60%,99.20%,91.70%,1.20%,0.00%,0.40%,0.80%,0.40%,2015,
136,Boulder Creek Elementary (Mesa),Public,8045 E Portobello Ave.,Mesa,Maricopa,85212.0,Y,96,93.80%,95.80%,95.80%,96.90%,85.40%,2.10%,4.20%,0.00%,3.10%,2.10%,2015,
137,Boulder Creek Elementary School (Phoenix),Public,22801 N. 22nd St. ,Phoenix,Maricopa,85024.0,Y,104,91.30%,95.20%,95.20%,97.10%,86.50%,7.70%,4.80%,4.80%,2.90%,1.90%,2015,
138,Bouse Elementary School,Public,44936 Joshua Dr. ,Bouse,La Paz,85325.0,N,<20,,,,,,,,,,,2015,
139,Bowie Unified School District,Public,P. O. Box 157,Bowie,Cochise,85605.0,N,<20,,,,,,,,,,,2015,
140,Bradley Academy,Charter,16060 W. Lower Buckeye Pkwy,Goodyear,Maricopa,85338.0,N,22,90.90%,100%,100%,100%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
141,Bright Beginnings School #1,Charter,400 N Andersen Blvd.,Chandler,Maricopa,85224.0,N,<20,,,,,,,,,,,2015,
142,Brinton Elementary,Public,11455 E Sunland Ave.,Mesa,Maricopa,85208.0,Y,89,92.10%,97.80%,97.80%,98.90%,86.50%,2.20%,2.20%,2.20%,1.10%,0.00%,2015,
